1728233969
0xfee2 0xff04 0xff1a 0xff37 0xff2c 0xff1b 0xfef8 0xfedd 0xfe8f 0xfe19 0xfe06 0xfe13 0xfd49 0xfc55 0xfca6 0xfdb1 
0xff2c 0xff2f 0xff3e 0xff40 0xff32 0xff07 0xfede 0xfe97 0xfe54 0xfe6a 0xfe5d 0xfd6e 0xfc00 0xfc07 0xfc4f 0xfcf2 
0xff17 0xff20 0xff21 0xff31 0xff00 0xfebb 0xfe91 0xfe42 0xfe84 0xfe0a 0xfcda 0xfb49 0xfb5b 0xfb9b 0xfbfe 0xfc60 
0xff37 0xff33 0xff34 0xff1f 0xfee4 0xfe99 0xfe89 0xfe8f 0xfdd8 0xfc08 0xfaa4 0xfad6 0xfb15 0xfb9b 0xfbf0 0xfc61 
0xff07 0xff0e 0xff0c 0xfef1 0xfe83 0xfe73 0xfe77 0xfdcb 0xfb1b 0xf9fc 0xfa3e 0xfa89 0xfadb 0xfb52 0xfbba 0xfc2f 
0xff0e 0xfefd 0xfef7 0xfeb2 0xfe4f 0xfe20 0xfca5 0xfa2d 0xf9d7 0xf9d4 0xfa39 0xfa77 0xfad4 0xfb46 0xfbb8 0xfc32 
0xfe9d 0xfea6 0xfe7c 0xfe07 0xfca1 0xfae5 0xf9db 0xf9a9 0xf9a5 0xf9c1 0xfa2f 0xfa70 0xfab8 0xfb2f 0xfba8 0xfc25 
0xfe48 0xfdf2 0xfd1a 0xfbae 0xfa95 0xfa26 0xf9f8 0xf9ee 0xf9e0 0xfa05 0xfa67 0xfa98 0xfad8 0xfb58 0xfbe7 0xfc45 
0xfc92 0xfbf1 0xfb5e 0xfae9 0xfa6f 0xfa0e 0xfa06 0xf9ea 0xf9de 0xfa25 0xfa4f 0xfaa9 0xfaf9 0xfb62 0xfbe0 0xfc52 
0xfc4e 0xfbd4 0xfb72 0xfb1c 0xfac8 0xfa76 0xfa5f 0xfa41 0xfa38 0xfa65 0xfab2 0xfaf6 0xfb46 0xfbab 0xfc33 0xfc82 
0xfc1e 0xfbc6 0xfb76 0xfb32 0xfaf3 0xfaa0 0xfaa1 0xfa87 0xfa7f 0xfa84 0xfade 0xfb12 0xfb78 0xfbc8 0xfc32 0xfcb6 
0xfc37 0xfbd3 0xfbb1 0xfb4e 0xfb1a 0xfaea 0xfaed 0xfab6 0xfadc 0xfad7 0xfb36 0xfb6b 0xfbca 0xfc14 0xfc91 0xfd59 
0x55b0 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc7 0xf5c8 0x1fd8 0xd775 0xfffc 0xfffd 0x0005 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057d 0x15f5 0x15f5 0x15f5 0x15f5 0x15f5 0x15f5 0x15f5 0xfdc6 0xccbc 0xced2 0xd7f1 0xffff 0xfff9 0x000b 0x000e 
