1728234029
0xfcdd 0xfbd5 0xfba4 0xfb40 0xfae8 0xfaac 0xfa96 0xfa73 0xfa87 0xfa84 0xfac2 0xfaf2 0xfb3c 0xfb82 0xfbfc 0xfca7 
0xfc32 0xfbac 0xfb54 0xfaf8 0xfa9c 0xfa46 0xfa27 0xfa08 0xf9f9 0xfa2d 0xfa83 0xfaad 0xfb0d 0xfb4c 0xfbba 0xfc17 
0xfbd4 0xfb56 0xfb00 0xfa9a 0xfa3d 0xf9e7 0xf9ac 0xf9ab 0xf995 0xf9b9 0xfa00 0xfa55 0xfa9b 0xfb03 0xfb8d 0xfbea 
0xfbc2 0xfb3b 0xfad7 0xfa65 0xf9ec 0xf997 0xf964 0xf94c 0xf948 0xf974 0xf9cc 0xfa13 0xfa65 0xfac7 0xfb5f 0xfbcc 
0xfb8d 0xfaf0 0xfa96 0xfa29 0xf9a8 0xf94a 0xf925 0xf91e 0xf904 0xf945 0xf98f 0xf9d7 0xfa19 0xfa93 0xfb30 0xfbae 
0xfb75 0xfb05 0xfa8f 0xfa14 0xf996 0xf941 0xf92c 0xf8fb 0xf8f1 0xf92e 0xf977 0xf9b0 0xfa19 0xfa94 0xfb26 0xfbc3 
0xfb68 0xfad6 0xfa72 0xf9fe 0xf97f 0xf917 0xf908 0xf90b 0xf8d0 0xf902 0xf948 0xf9ad 0xfa19 0xfa7d 0xfb31 0xfba5 
0xfb79 0xfaf8 0xfa9d 0xfa10 0xf9a2 0xf95c 0xf95d 0xf926 0xf90b 0xf944 0xf988 0xf9d5 0xfa32 0xfaad 0xfb37 0xfbcc 
0xfb75 0xfaf8 0xfaa3 0xfa3d 0xf9d0 0xf96b 0xf93b 0xf943 0xf953 0xf94a 0xf998 0xfa18 0xfa55 0xfab7 0xfb66 0xfbd2 
0xfb97 0xfb30 0xfad7 0xfa71 0xfa0e 0xf9d0 0xf9cd 0xf98c 0xf9ae 0xf9a4 0xf9f6 0xfa5e 0xfaa0 0xfb11 0xfb95 0xfc08 
0xfba2 0xfb3d 0xfb02 0xfabc 0xfa65 0xfa10 0xfa12 0xf9e1 0xf9e2 0xf9f9 0xfa32 0xfa7b 0xfae7 0xfb3d 0xfbbc 0xfc29 
0xfc28 0xfb55 0xfb24 0xfaba 0xfa7e 0xfa50 0xfa56 0xfa43 0xfa3c 0xfa5d 0xfaa8 0xfae0 0xfb3e 0xfb8f 0xfbf8 0xfc52 
0x56a2 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd28 0xf544 0x217e 0xd7f7 0xfff7 0xfffa 0x0008 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0598 0x1660 0x1660 0x1660 0x1660 0x1660 0x1660 0x1660 0xfd23 0xcc4e 0xcf2a 0xd722 0xfff8 0xfff5 0x0008 0x000b 
