1728234029
0xfc0f 0xfba6 0xfb71 0xfb1f 0xfab5 0xfa7c 0xfa67 0xfa41 0xfa40 0xfa52 0xfa93 0xfaf0 0xfb1c 0xfb59 0xfbe2 0xfc92 
0xfbfa 0xfb9b 0xfb3f 0xfade 0xfa7a 0xfa2a 0xfa07 0xfa03 0xf9e2 0xfa05 0xfa43 0xfa8a 0xfaec 0xfb4b 0xfbbe 0xfc2d 
0xfba9 0xfb46 0xfad9 0xfa6b 0xfa17 0xf9af 0xf9a5 0xf98e 0xf974 0xf983 0xf9de 0xfa46 0xfa81 0xfaea 0xfb82 0xfbec 
0xfba0 0xfb1c 0xfab1 0xfa4f 0xf9b9 0xf988 0xf959 0xf93f 0xf947 0xf95b 0xf9d7 0xfa1a 0xfa7e 0xfae4 0xfb63 0xfbfb 
0xfb7b 0xfaec 0xfa77 0xfa16 0xf991 0xf930 0xf904 0xf8f7 0xf8fb 0xf916 0xf979 0xf9c2 0xfa2a 0xfab4 0xfb52 0xfbc4 
0xfb7d 0xfaf3 0xfa81 0xfa0e 0xf96f 0xf91c 0xf905 0xf8ce 0xf8ea 0xf91a 0xf962 0xf9c5 0xfa50 0xfacd 0xfb51 0xfbcb 
0xfb71 0xfad3 0xfa64 0xf9e1 0xf97d 0xf907 0xf8d8 0xf8ff 0xf8c6 0xf8fb 0xf977 0xf9c5 0xfa45 0xfab9 0xfb54 0xfbd9 
0xfc09 0xfaf9 0xfa9f 0xfa39 0xf99c 0xf959 0xf939 0xf906 0xf909 0xf941 0xf9a6 0xf9fb 0xfa68 0xfaec 0xfb7d 0xfbf6 
0xfc13 0xfb82 0xfa95 0xfa49 0xf9cd 0xf9de 0xf94b 0xf940 0xf939 0xf96a 0xf9ba 0xfa38 0xfa77 0xfb07 0xfb83 0xfc14 
0xfcc2 0xfc23 0xfb39 0xfa83 0xfa48 0xf9ed 0xf9ba 0xf9b2 0xf9a6 0xf9c8 0xfa2f 0xfa99 0xfae0 0xfb44 0xfbca 0xfc56 
0xfd28 0xfc6b 0xfbf3 0xfaf5 0xfa70 0xfa33 0xfa17 0xfa0c 0xf9ee 0xfa20 0xfa84 0xfad5 0xfb1f 0xfb93 0xfc02 0xfcf3 
0xfd35 0xfd01 0xfc7f 0xfbbd 0xfaec 0xfa79 0xfa7d 0xfa52 0xfa58 0xfa8b 0xfaf8 0xfb19 0xfb7f 0xfbd3 0xfc8d 0xfda3 
0x56b8 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd72 0xf5b5 0x2031 0xd790 0xfff9 0xfffa 0x0007 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05bf 0x16fe 0x16fe 0x16fe 0x16fe 0x16fd 0x16fd 0x16fd 0xfd6e 0xcb8f 0xce3b 0xd6fe 0xfff7 0xfff4 0x0007 0x0008 
