1728234059
0xfc15 0xfbac 0xfb75 0xfb25 0xfabb 0xfa7f 0xfa6c 0xfa48 0xfa45 0xfa55 0xfa9c 0xfaf6 0xfb21 0xfb5c 0xfbe2 0xfc94 
0xfbfe 0xfb9e 0xfb44 0xfae5 0xfa7f 0xfa2f 0xfa0e 0xfa09 0xf9ea 0xfa0b 0xfa49 0xfa90 0xfaf0 0xfb50 0xfbc2 0xfc31 
0xfbad 0xfb4b 0xfae1 0xfa70 0xfa1d 0xf9b3 0xf9af 0xf995 0xf97b 0xf988 0xf9e5 0xfa4c 0xfa84 0xfaf0 0xfb86 0xfbef 
0xfba6 0xfb24 0xfab6 0xfa55 0xf9c1 0xf991 0xf963 0xf949 0xf951 0xf965 0xf9df 0xfa21 0xfa85 0xfae9 0xfb67 0xfbfd 
0xfb81 0xfaf2 0xfa7c 0xfa1d 0xf999 0xf938 0xf910 0xf904 0xf906 0xf921 0xf981 0xf9ca 0xfa2f 0xfab5 0xfb57 0xfbcb 
0xfb85 0xfafa 0xfa86 0xfa13 0xf973 0xf925 0xf910 0xf8d7 0xf8f5 0xf923 0xf969 0xf9cd 0xfa56 0xfad3 0xfb56 0xfbd0 
0xfb7c 0xfad9 0xfa6a 0xf9e6 0xf987 0xf90d 0xf8e2 0xf905 0xf8cf 0xf907 0xf981 0xf9cf 0xfa4d 0xfac0 0xfb58 0xfbe1 
0xfbf9 0xfafb 0xfaa5 0xfa3e 0xf9a2 0xf95e 0xf944 0xf910 0xf90f 0xf948 0xf9aa 0xfa02 0xfa70 0xfaf3 0xfb81 0xfbf9 
0xfc22 0xfb16 0xfa97 0xfa4f 0xf9d4 0xf9e3 0xf953 0xf949 0xf93e 0xf96f 0xf9c0 0xfa3d 0xfa7d 0xfb0c 0xfb86 0xfc14 
0xfc7a 0xfba0 0xfae6 0xfa87 0xfa51 0xf9f0 0xf9c2 0xf9b8 0xf9ac 0xf9d0 0xfa35 0xfaa0 0xfae7 0xfb49 0xfbcd 0xfc5b 
0xfce9 0xfc0d 0xfb1a 0xfac7 0xfa75 0xfa39 0xfa1c 0xfa13 0xf9f2 0xfa27 0xfa8b 0xfadb 0xfb24 0xfb98 0xfc06 0xfcf5 
0xfcfb 0xfc63 0xfba7 0xfaeb 0xfacc 0xfa7a 0xfa83 0xfa57 0xfa5b 0xfa92 0xfafc 0xfb1d 0xfb85 0xfbd6 0xfc93 0xfda6 
0x56db 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd71 0xf5b7 0x203f 0xd790 0xfff6 0xfff8 0x0006 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05bc 0x16f0 0x16f0 0x16f0 0x16f0 0x16f0 0x16f0 0x16f0 0xfd6e 0xcb8e 0xce3c 0xd6fe 0xfffa 0xfff5 0x0008 0x000a 
