1728234089
0xfce9 0xfbe4 0xfbb4 0xfb52 0xfafc 0xfac6 0xfaad 0xfa89 0xfa9e 0xfac4 0xfbd1 0xfcfa 0xfd97 0xfdc6 0xfdd3 0xfe02 
0xfc3e 0xfbba 0xfb66 0xfb0a 0xfab1 0xfa5f 0xfa3e 0xfa20 0xfa16 0xfa49 0xfaa1 0xfafa 0xfc41 0xfd32 0xfd8b 0xfdcb 
0xfbe2 0xfb67 0xfb12 0xfaae 0xfa50 0xfa00 0xf9c8 0xf9c8 0xf9b2 0xf9d6 0xfa1c 0xfa72 0xfabb 0xfb75 0xfccc 0xfd64 
0xfbd4 0xfb4a 0xfaeb 0xfa79 0xfa06 0xf9af 0xf981 0xf969 0xf964 0xf991 0xf9ea 0xfa2e 0xfa80 0xfae2 0xfb80 0xfc7c 
0xfb9c 0xfb00 0xfaa8 0xfa3d 0xf9c1 0xf965 0xf941 0xf93a 0xf923 0xf963 0xf9ab 0xf9ef 0xfa33 0xfaaf 0xfb43 0xfbc4 
0xfb86 0xfb17 0xfaa3 0xfa29 0xf9b0 0xf95a 0xf948 0xf914 0xf90d 0xf948 0xf994 0xf9c9 0xfa33 0xfaa8 0xfb39 0xfbd4 
0xfb7b 0xfae8 0xfa85 0xfa14 0xf998 0xf931 0xf91f 0xf923 0xf8ef 0xf91c 0xf965 0xf9c6 0xfa33 0xfa96 0xfb44 0xfbb6 
0xfb8b 0xfb0b 0xfaaf 0xfa27 0xf9ba 0xf973 0xf977 0xf940 0xf926 0xf95e 0xf9a2 0xf9ec 0xfa46 0xfac3 0xfb4b 0xfbdb 
0xfb84 0xfb0a 0xfab5 0xfa53 0xf9e8 0xf986 0xf954 0xf95c 0xf96b 0xf964 0xf9b4 0xfa31 0xfa6e 0xfac8 0xfb78 0xfbe1 
0xfba5 0xfb41 0xfae7 0xfa88 0xfa23 0xf9e4 0xf9e6 0xf9a4 0xf9c5 0xf9bb 0xfa0f 0xfa73 0xfab5 0xfb23 0xfba6 0xfc19 
0xfbb6 0xfb4d 0xfb11 0xfad2 0xfa7b 0xfa27 0xfa29 0xf9f8 0xf9f9 0xfa13 0xfa47 0xfa8f 0xfafa 0xfb4c 0xfbca 0xfc38 
0xfc39 0xfb64 0xfb34 0xfac9 0xfa8f 0xfa67 0xfa6b 0xfa54 0xfa4f 0xfa71 0xfabf 0xfaf4 0xfb4f 0xfba0 0xfc06 0xfc60 
0x56ca 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd36 0xf546 0x2193 0xd7f9 0xfff9 0xfffa 0x000a 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0593 0x164f 0x164f 0x164f 0x164f 0x164f 0x164f 0x164f 0xfd31 0xcc4f 0xcf2d 0xd724 0xfffc 0xfff9 0x0009 0x000d 
