1728234119
0xfced 0xfbe7 0xfbb5 0xfb54 0xfafd 0xfac7 0xfab1 0xfa8b 0xfaa0 0xfaa3 0xfb19 0xfc3a 0xfd4c 0xfd9b 0xfde3 0xfdd7 
0xfc40 0xfbc0 0xfb66 0xfb09 0xfab5 0xfa60 0xfa40 0xfa23 0xfa18 0xfa4d 0xfaa0 0xfacf 0xfb9f 0xfce4 0xfd6a 0xfd9b 
0xfbe5 0xfb6a 0xfb16 0xfab2 0xfa57 0xfa04 0xf9ce 0xf9cc 0xf9b5 0xf9d8 0xfa1e 0xfa74 0xfab9 0xfb37 0xfc84 0xfd47 
0xfbd7 0xfb50 0xfaee 0xfa7c 0xfa0a 0xf9b1 0xf984 0xf96e 0xf96d 0xf995 0xf9ed 0xfa30 0xfa85 0xfae3 0xfb7a 0xfc45 
0xfb9c 0xfb04 0xfaad 0xfa41 0xf9c5 0xf96b 0xf942 0xf941 0xf928 0xf965 0xf9af 0xf9f4 0xfa38 0xfab3 0xfb48 0xfbc4 
0xfb8a 0xfb1b 0xfaa7 0xfa2f 0xf9b5 0xf95c 0xf94b 0xf919 0xf915 0xf94d 0xf998 0xf9cc 0xfa37 0xfaad 0xfb3d 0xfbd6 
0xfb7d 0xfaef 0xfa89 0xfa19 0xf99e 0xf938 0xf923 0xf928 0xf8f5 0xf925 0xf96b 0xf9cc 0xfa37 0xfa9c 0xfb45 0xfbb8 
0xfb8f 0xfb0e 0xfab4 0xfa29 0xf9c2 0xf976 0xf978 0xf942 0xf92c 0xf964 0xf9a5 0xf9f4 0xfa4b 0xfac6 0xfb4e 0xfbdf 
0xfb87 0xfb0d 0xfab9 0xfa58 0xf9ef 0xf98d 0xf956 0xf961 0xf971 0xf968 0xf9b9 0xfa36 0xfa70 0xface 0xfb7a 0xfbe4 
0xfbab 0xfb43 0xfaec 0xfa8b 0xfa29 0xf9eb 0xf9e7 0xf9a8 0xf9cb 0xf9c0 0xfa10 0xfa76 0xfabb 0xfb27 0xfba9 0xfc1c 
0xfbb6 0xfb52 0xfb16 0xfad5 0xfa7c 0xfa2a 0xfa2b 0xf9fe 0xfa00 0xfa17 0xfa4b 0xfa91 0xfafc 0xfb4f 0xfbca 0xfc3b 
0xfc39 0xfb68 0xfb37 0xfacd 0xfa95 0xfa69 0xfa70 0xfa5a 0xfa53 0xfa76 0xfac1 0xfaf4 0xfb50 0xfba4 0xfc09 0xfc62 
0x56e3 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd35 0xf546 0x219e 0xd7f6 0xfff9 0xfffb 0x0009 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0592 0x1648 0x1648 0x1648 0x1648 0x1647 0x1647 0x1647 0xfd33 0xcc4d 0xcf2a 0xd721 0xfffb 0xfff9 0x000a 0x000c 
