1728234119
0xfc20 0xfbb8 0xfb84 0xfb31 0xfaca 0xfa91 0xfa7f 0xfa59 0xfa56 0xfa67 0xfaaa 0xfb02 0xfb2f 0xfb68 0xfbf0 0xfc9c 
0xfc0b 0xfbaa 0xfb51 0xfaf7 0xfa91 0xfa42 0xfa21 0xfa1a 0xf9fb 0xfa1a 0xfa5a 0xfaa3 0xfafe 0xfb61 0xfbce 0xfc3c 
0xfbbb 0xfb59 0xfaef 0xfa82 0xfa34 0xf9ca 0xf9c3 0xf9ac 0xf991 0xf9a0 0xf9f9 0xfa5e 0xfa99 0xfb00 0xfb92 0xfbfb 
0xfbb1 0xfb30 0xfac6 0xfa68 0xf9d7 0xf9a7 0xf979 0xf95e 0xf967 0xf97c 0xf9f3 0xfa35 0xfa94 0xfafb 0xfb76 0xfc0d 
0xfb8f 0xfb01 0xfa8f 0xfa2f 0xf9ad 0xf94f 0xf921 0xf919 0xf91c 0xf938 0xf996 0xf9e3 0xfa42 0xfaca 0xfb65 0xfbd7 
0xfb99 0xfb0b 0xfa97 0xfa26 0xf989 0xf93c 0xf927 0xf8f3 0xf90a 0xf93a 0xf980 0xf9e2 0xfa67 0xfae2 0xfb64 0xfbda 
0xfb92 0xfae9 0xfa7d 0xf9fc 0xf99a 0xf924 0xf8f8 0xf91e 0xf8e6 0xf91e 0xf996 0xf9e3 0xfa5f 0xfad2 0xfb65 0xfbed 
0xfc0d 0xfb0c 0xfab6 0xfa52 0xf9b6 0xf977 0xf957 0xf927 0xf926 0xf95e 0xf9c0 0xfa16 0xfa82 0xfb02 0xfb8f 0xfc05 
0xfc63 0xfb1c 0xfaa6 0xfa63 0xf9e9 0xf9f9 0xf969 0xf95f 0xf956 0xf986 0xf9d3 0xfa4f 0xfa8c 0xfb1d 0xfb97 0xfc25 
0xfcf7 0xfb91 0xfaf8 0xfa99 0xfa62 0xfa08 0xf9d5 0xf9cb 0xf9c0 0xf9e5 0xfa47 0xfaae 0xfaf9 0xfb58 0xfbdc 0xfc64 
0xfd23 0xfbfb 0xfb1c 0xfad8 0xfa86 0xfa49 0xfa30 0xfa26 0xfa08 0xfa3a 0xfa9b 0xfaeb 0xfb34 0xfba7 0xfc13 0xfcff 
0xfd0e 0xfc75 0xfb7c 0xfaf8 0xfada 0xfa8a 0xfa91 0xfa66 0xfa6c 0xfaa2 0xfb0b 0xfb2d 0xfb93 0xfbe1 0xfc9b 0xfdab 
0x5720 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd74 0xf5ba 0x205d 0xd790 0xfff9 0xfffb 0x0006 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b6 0x16d8 0x16d8 0x16d8 0x16d8 0x16d7 0x16d7 0x16d7 0xfd70 0xcb8a 0xce3a 0xd6fd 0xfffa 0xfff8 0x0009 0x000e 
