1728234269
0xfcf7 0xfbf5 0xfbc4 0xfb63 0xfb0e 0xfad9 0xfac2 0xfa9e 0xfab0 0xfab2 0xfaeb 0xfb19 0xfb5e 0xfb9f 0xfc16 0xfc9e 
0xfc4c 0xfbcb 0xfb79 0xfb1f 0xfac8 0xfa73 0xfa56 0xfa37 0xfa2d 0xfa5b 0xfab2 0xfad9 0xfb32 0xfb6e 0xfbdd 0xfc66 
0xfbf2 0xfb79 0xfb29 0xfac7 0xfa6d 0xfa1c 0xf9e4 0xf9e3 0xf9cb 0xf9ee 0xfa34 0xfa83 0xfac7 0xfb2d 0xfbb1 0xfc2e 
0xfbe4 0xfb62 0xfb03 0xfa95 0xfa20 0xf9ce 0xf99c 0xf988 0xf982 0xf9a9 0xfa05 0xfa43 0xfa96 0xfaf3 0xfb86 0xfc10 
0xfbae 0xfb18 0xfac1 0xfa5b 0xf9e2 0xf987 0xf95d 0xf95b 0xf942 0xf97e 0xf9c5 0xfa0a 0xfa49 0xfac1 0xfb57 0xfbf7 
0xfb9b 0xfb2c 0xfabe 0xfa46 0xf9cf 0xf97c 0xf96d 0xf934 0xf92e 0xf969 0xf9b1 0xf9e3 0xfa4c 0xfabf 0xfb50 0xfc1a 
0xfb8c 0xfaff 0xfa9e 0xfa34 0xf9b7 0xf953 0xf941 0xf946 0xf910 0xf93f 0xf987 0xf9e5 0xfa4d 0xfab2 0xfb57 0xfc15 
0xfb9d 0xfb20 0xfac9 0xfa43 0xf9d7 0xf994 0xf995 0xf961 0xf947 0xf97d 0xf9be 0xfa0e 0xfa60 0xfadb 0xfb5f 0xfc66 
0xfb93 0xfb1f 0xfacc 0xfa6d 0xfa04 0xf9a5 0xf973 0xf97c 0xf98c 0xf983 0xf9d5 0xfa4d 0xfa85 0xfae1 0xfb8d 0xfca7 
0xfbb8 0xfb55 0xfafe 0xfa9d 0xfa3d 0xfa00 0xfa01 0xf9bf 0xf9e4 0xf9d8 0xfa28 0xfa8f 0xfacf 0xfb39 0xfbbd 0xfd0c 
0xfbbf 0xfb5d 0xfb23 0xfae4 0xfa90 0xfa3d 0xfa40 0xfa14 0xfa12 0xfa2c 0xfa62 0xfaa9 0xfb12 0xfb5f 0xfbec 0xfd48 
0xfc3b 0xfb72 0xfb43 0xfae0 0xfaa7 0xfa7b 0xfa82 0xfa6b 0xfa68 0xfa8a 0xfad4 0xfb0c 0xfb73 0xfbc8 0xfc61 0xfd75 
0x574f 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd3f 0xf54b 0x21d3 0xd7f9 0xfffa 0xfff9 0x0009 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0587 0x161e 0x161e 0x161e 0x161e 0x161d 0x161d 0x161d 0xfd3d 0xcc47 0xcf29 0xd725 0xfffa 0xfff9 0x000c 0x000e 
