1728234329
0xfd0e 0xfc07 0xfbd5 0xfb75 0xfb2c 0xfaee 0xfad5 0xfab4 0xfacd 0xface 0xfb06 0xfbfe 0xfd95 0xfe0f 0xfe59 0xfe73 
0xfc63 0xfbe3 0xfb89 0xfb33 0xfae4 0xfa94 0xfa70 0xfa51 0xfa4c 0xfa81 0xfad1 0xfc09 0xfd98 0xfe15 0xfe61 0xfe8a 
0xfc0b 0xfb95 0xfb3e 0xfade 0xfa8a 0xfa3d 0xf9ff 0xfa00 0xf9eb 0xfa11 0xfa59 0xfbde 0xfd48 0xfe15 0xfe67 0xfe97 
0xfbfd 0xfb78 0xfb18 0xfaac 0xfa41 0xf9ee 0xf9be 0xf9a5 0xf9a8 0xf9d1 0xfa2a 0xfbc3 0xfd45 0xfe1b 0xfe7f 0xfe6f 
0xfbc7 0xfb31 0xfad8 0xfa76 0xfa03 0xf9a9 0xf97c 0xf97d 0xf969 0xf9a5 0xf9ed 0xfbc7 0xfd3f 0xfe0c 0xfe6a 0xfe7a 
0xfbb2 0xfb49 0xfad4 0xfa62 0xf9f3 0xf9a0 0xf988 0xf955 0xf954 0xf990 0xf9da 0xfb9a 0xfd45 0xfdfa 0xfe5b 0xfe8c 
0xfba7 0xfb1b 0xfab7 0xfa4e 0xf9db 0xf97a 0xf961 0xf965 0xf933 0xf964 0xf9ac 0xfb9f 0xfd7c 0xfddb 0xfe68 0xfe8e 
0xfbb6 0xfb3b 0xfade 0xfa5e 0xf9fb 0xf9b6 0xf9b3 0xf97e 0xf96d 0xf9a6 0xf9e9 0xfbb0 0xfd8c 0xfdf5 0xfe73 0xfeba 
0xfbac 0xfb34 0xfae2 0xfa87 0xfa25 0xf9c7 0xf991 0xf99a 0xf9ae 0xf9aa 0xf9f9 0xfbcb 0xfd91 0xfde1 0xfe7a 0xfeb2 
0xfbce 0xfb6b 0xfb13 0xfab5 0xfa5d 0xfa24 0xfa1c 0xf9db 0xfa06 0xf9fd 0xfa4f 0xfbd2 0xfdae 0xfdf7 0xfe76 0xfea9 
0xfbd6 0xfb74 0xfb36 0xfaf9 0xfaac 0xfa5c 0xfa59 0xfa2d 0xfa35 0xfa50 0xfa85 0xfbac 0xfda8 0xfde0 0xfe5f 0xfe8e 
0xfc58 0xfb8b 0xfb55 0xfaef 0xfabf 0xfa94 0xfa98 0xfa82 0xfa88 0xfaa9 0xfaf1 0xfbba 0xfd9b 0xfdf6 0xfe51 0xfe72 
0x5767 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd7a 0xf54d 0x21df 0xd7f9 0xffff 0x0002 0x0008 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0585 0x1614 0x1614 0x1614 0x1614 0x1613 0x1613 0x1613 0xfd74 0xcc48 0xcf29 0xd724 0x0000 0xfffc 0x000b 0x000b 
