1728234389
0xfc46 0xfbe3 0xfbb3 0xfb6a 0xfb0b 0xfad0 0xfabf 0xfa9e 0xfa99 0xfaac 0xfae7 0xfb3d 0xfb67 0xfb99 0xfc18 0xfcb9 
0xfc34 0xfbd9 0xfb89 0xfb2f 0xfad2 0xfa89 0xfa69 0xfa66 0xfa48 0xfa66 0xfaa0 0xfae2 0xfb3c 0xfb92 0xfbf9 0xfc62 
0xfbe7 0xfb90 0xfb2a 0xfac5 0xfa7a 0xfa18 0xfa11 0xf9fc 0xf9e3 0xf9f1 0xfa44 0xfaa5 0xfada 0xfb39 0xfbc4 0xfc23 
0xfbe3 0xfb69 0xfb03 0xfaaa 0xfa24 0xf9f7 0xf9c9 0xf9b3 0xf9bc 0xf9cf 0xfa43 0xfa7c 0xfad7 0xfb35 0xfbaa 0xfc33 
0xfbbf 0xfb3a 0xfacc 0xfa76 0xf9fd 0xf9a1 0xf97f 0xf971 0xf975 0xf990 0xf9e6 0xfa2d 0xfa8a 0xfb07 0xfb99 0xfc02 
0xfbc1 0xfb43 0xfad8 0xfa6c 0xf9dc 0xf992 0xf980 0xf94c 0xf965 0xf98f 0xf9d5 0xfa2f 0xfaac 0xfb1e 0xfb99 0xfc0a 
0xfb98 0xfb24 0xfabd 0xfa42 0xf9e9 0xf97b 0xf955 0xf978 0xf942 0xf975 0xf9e6 0xfa31 0xfaa3 0xfb0c 0xfb9d 0xfc1b 
0xfbb8 0xfb42 0xfaf3 0xfa95 0xfa04 0xf9ca 0xf9af 0xf97f 0xf97e 0xf9b4 0xfa10 0xfa5f 0xfac3 0xfb47 0xfbca 0xfc32 
0xfbaa 0xfb4b 0xfae3 0xfaa4 0xfa33 0xfa45 0xf9bc 0xf9b2 0xf9ab 0xf9da 0xfa20 0xfa97 0xfacf 0xfb69 0xfbca 0xfc4e 
0xfbde 0xfb8d 0xfb2d 0xfad7 0xfaa3 0xfa50 0xfa21 0xfa19 0xfa0c 0xfa33 0xfa8f 0xfaef 0xfb35 0xfb92 0xfc0d 0xfc8b 
0xfbfe 0xfb8f 0xfb4c 0xfb10 0xfac5 0xfa8e 0xfa72 0xfa6c 0xfa4e 0xfa7e 0xfadb 0xfb28 0xfb6b 0xfbda 0xfc3d 0xfd17 
0xfc7e 0xfbb1 0xfb80 0xfb2d 0xfb12 0xfac7 0xfad1 0xfaa9 0xfaab 0xfae0 0xfb43 0xfb63 0xfbc4 0xfc11 0xfcb8 0xfdb3 
0x584b 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd76 0xf5c7 0x20e4 0xd793 0xfffb 0xfff9 0x0008 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0599 0x1667 0x1667 0x1667 0x1667 0x1666 0x1666 0x1666 0xfd73 0xcb7a 0xce36 0xd6fa 0xfff9 0xfff8 0x0009 0x000b 
