1728234509
0xfd04 0xfc0c 0xfbe0 0xfb82 0xfb31 0xfafd 0xfae6 0xfac8 0xfadd 0xfb26 0xfcdb 0xfd85 0xfdf4 0xfe21 0xfe41 0xfe3c 
0xfc61 0xfbe7 0xfb94 0xfb3c 0xfaec 0xfa9f 0xfa80 0xfa65 0xfa5d 0xfa93 0xfbc1 0xfd4b 0xfdd3 0xfe0b 0xfe55 0xfe5e 
0xfc0f 0xfb96 0xfb48 0xfaea 0xfa96 0xfa4b 0xfa13 0xfa11 0xf9ff 0xfa23 0xfa7a 0xfc53 0xfd7a 0xfd9b 0xfe2c 0xfe60 
0xfc00 0xfb7f 0xfb24 0xfab9 0xfa4b 0xf9fe 0xf9d2 0xf9bb 0xf9b9 0xf9e1 0xfa37 0xfada 0xfce5 0xfda5 0xfdf0 0xfe44 
0xfbcd 0xfb37 0xfae4 0xfa80 0xfa0e 0xf9b7 0xf990 0xf98f 0xf978 0xf9b8 0xf9fa 0xfa42 0xfb79 0xfd49 0xfde6 0xfe3e 
0xfbb9 0xfb50 0xfae2 0xfa6f 0xf9fe 0xf9ad 0xf99b 0xf969 0xf966 0xf99f 0xf9e6 0xfa1a 0xfa96 0xfc81 0xfdc3 0xfe2d 
0xfbab 0xfb23 0xfac3 0xfa5a 0xf9eb 0xf987 0xf975 0xf977 0xf94a 0xf975 0xf9b8 0xfa17 0xfa80 0xfb35 0xfd5a 0xfe0e 
0xfbbc 0xfb44 0xfaea 0xfa6a 0xfa08 0xf9c3 0xf9c8 0xf992 0xf97e 0xf9b1 0xf9f0 0xfa3c 0xfa8f 0xfb0a 0xfc5a 0xfde3 
0xfbb3 0xfb40 0xfaf3 0xfa98 0xfa33 0xf9d7 0xf9a3 0xf9ac 0xf9bb 0xf9b4 0xfa00 0xfa78 0xfab4 0xfb0a 0xfbb9 0xfd4e 
0xfbd3 0xfb76 0xfb1f 0xfac3 0xfa6a 0xfa2e 0xfa2b 0xf9ec 0xfa12 0xfa07 0xfa55 0xfab8 0xfaf8 0xfb5b 0xfbd5 0xfc75 
0xfbdd 0xfb7d 0xfb45 0xfb08 0xfaba 0xfa69 0xfa69 0xfa3c 0xfa40 0xfa58 0xfa8a 0xfad0 0xfb33 0xfb7f 0xfbf4 0xfc62 
0xfc57 0xfb8f 0xfb63 0xfb00 0xfacb 0xfaa1 0xfaa8 0xfa8f 0xfa8e 0xfaae 0xfaf8 0xfb26 0xfb7f 0xfbd0 0xfc2c 0xfc82 
0x57c3 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd51 0xf54f 0x220e 0xd7fc 0xfffd 0xfffe 0x000a 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057c 0x15f1 0x15f1 0x15f1 0x15f1 0x15f0 0x15f0 0x15f0 0xfd4e 0xcc44 0xcf28 0xd725 0xfffd 0xfff8 0x0009 0x000b 
