1728234539
0xfdf9 0xfdf5 0xfdad 0xfd00 0xfae9 0xfa97 0xfa67 0xfa62 0xfa55 0xfa64 0xfaa1 0xfad7 0xfb1e 0xfb5e 0xfbe2 0xfcc5 
0xfe1d 0xfe00 0xfd9d 0xfbf8 0xfa77 0xfa30 0xfa1a 0xf9fb 0xf9e2 0xf9fe 0xfa4a 0xfa8d 0xfad3 0xfb48 0xfbc1 0xfc26 
0xfde9 0xfdad 0xfd1b 0xfae1 0xfa0e 0xf9bc 0xf991 0xf980 0xf977 0xf9a8 0xf9ec 0xfa3a 0xfa7d 0xfaf6 0xfb82 0xfbf6 
0xfdf6 0xfd8f 0xfc51 0xfa79 0xf9d2 0xf970 0xf95d 0xf946 0xf93d 0xf95a 0xf9b0 0xfa19 0xfa66 0xfae9 0xfb72 0xfbe3 
0xfdc1 0xfd3d 0xfb38 0xfa2a 0xf998 0xf948 0xf90f 0xf902 0xf8e7 0xf91d 0xf96f 0xf9cc 0xfa43 0xfa94 0xfb28 0xfbc5 
0xfdb0 0xfcd8 0xfaa0 0xfa16 0xf984 0xf935 0xf912 0xf8fe 0xf8df 0xf91f 0xf98c 0xf9d2 0xfa30 0xfadb 0xfb42 0xfbc2 
0xfd75 0xfbfe 0xfa71 0xf9fc 0xf978 0xf910 0xf8e9 0xf8de 0xf8ef 0xf920 0xf98a 0xf9d0 0xfa34 0xfab0 0xfb45 0xfbe4 
0xfd54 0xfb61 0xfa91 0xfa1e 0xf9a6 0xf94f 0xf930 0xf91c 0xf90f 0xf944 0xf992 0xf9e5 0xfa69 0xfad8 0xfb70 0xfbf6 
0xfcf6 0xfb14 0xfaa3 0xfa49 0xf9c4 0xf97a 0xf963 0xf943 0xf956 0xf96b 0xf9ea 0xfa2f 0xfa8c 0xfaf1 0xfb7d 0xfc0d 
0xfc95 0xfb40 0xfae2 0xfa94 0xfa1a 0xf9ed 0xf9ca 0xf9b0 0xf9b9 0xf9e8 0xfa40 0xfa8c 0xfae0 0xfb52 0xfbd8 0xfc5d 
0xfc42 0xfb61 0xfb0f 0xfac2 0xfa6b 0xfa26 0xfa0b 0xf9f8 0xf9fa 0xfa36 0xfa9f 0xfad4 0xfb2a 0xfb8a 0xfc18 0xfcc7 
0xfc74 0xfb79 0xfb55 0xfaf2 0xfab7 0xfa76 0xfa69 0xfa69 0xfa71 0xfa91 0xfafc 0xfb35 0xfb7c 0xfbd3 0xfc82 0xfdb4 
0x5380 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd73 0xf5aa 0x2028 0xd953 0xfffd 0xfffc 0x0006 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057c 0x15f2 0x15f2 0x15f2 0x15f2 0x15f1 0x15f1 0x15f1 0xfd6f 0xce06 0xd0e4 0xd8ee 0xfffc 0xfff7 0x0009 0x000b 
