1728234629
0xfd12 0xfc17 0xfbea 0xfb8b 0xfb3b 0xfb06 0xfaed 0xfacc 0xfae0 0xfadf 0xfb15 0xfb43 0xfb88 0xfbc9 0xfc38 0xfc83 
0xfc6e 0xfbee 0xfba3 0xfb4a 0xfaf7 0xfaa4 0xfa86 0xfa68 0xfa5c 0xfa8f 0xfadb 0xfb03 0xfb5e 0xfb96 0xfc02 0xfc58 
0xfc17 0xfba2 0xfb53 0xfaf1 0xfa9c 0xfa4d 0xfa14 0xfa17 0xf9ff 0xfa23 0xfa63 0xfab6 0xfaf6 0xfb54 0xfbd6 0xfc2f 
0xfc09 0xfb88 0xfb2d 0xfac2 0xfa52 0xfa04 0xf9d4 0xf9be 0xf9ba 0xf9e2 0xfa35 0xfa77 0xfac4 0xfb1e 0xfbae 0xfc13 
0xfbd3 0xfb40 0xfaf1 0xfa89 0xfa13 0xf9c1 0xf998 0xf992 0xf979 0xf9b5 0xf9fa 0xfa3c 0xfa7c 0xfaef 0xfb81 0xfbf9 
0xfbbe 0xfb57 0xfae9 0xfa77 0xfa05 0xf9b2 0xf9a3 0xf96e 0xf967 0xf9a1 0xf9e7 0xfa17 0xfa7d 0xfaed 0xfb7a 0xfc0e 
0xfbb5 0xfb2b 0xfacd 0xfa63 0xf9ed 0xf98a 0xf97a 0xf97f 0xf949 0xf977 0xf9b8 0xfa17 0xfa7d 0xfade 0xfb84 0xfbf0 
0xfbc5 0xfb4a 0xfaf5 0xfa72 0xfa0a 0xf9c9 0xf9ce 0xf999 0xf980 0xf9b6 0xf9f5 0xfa3f 0xfa93 0xfb0a 0xfb8a 0xfc16 
0xfbbb 0xfb47 0xfafa 0xfa9a 0xfa35 0xf9d9 0xf9a9 0xf9b2 0xf9c2 0xf9bc 0xfa08 0xfa7a 0xfab5 0xfb10 0xfbb4 0xfc1b 
0xfbdd 0xfb7d 0xfb29 0xfaca 0xfa6c 0xfa30 0xfa32 0xf9f1 0xfa18 0xfa0c 0xfa5b 0xfabe 0xfafc 0xfb65 0xfbe2 0xfc50 
0xfbe5 0xfb86 0xfb4b 0xfb11 0xfabe 0xfa6c 0xfa6d 0xfa43 0xfa42 0xfa5f 0xfa93 0xfad5 0xfb3c 0xfb8c 0xfc0b 0xfc8c 
0xfc59 0xfb96 0xfb6b 0xfb07 0xfacf 0xfaa5 0xfaae 0xfa9b 0xfa99 0xfab9 0xfaff 0xfb41 0xfba1 0xfbe9 0xfc48 0xfcea 
0x57c8 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd70 0xf550 0x2210 0xd7fb 0xfffb 0xfffc 0x000b 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057b 0x15ef 0x15ef 0x15ef 0x15ef 0x15ee 0x15ee 0x15ee 0xfd6a 0xcc3f 0xcf27 0xd724 0xfffd 0xfff8 0x000d 0x000d 
