1728234659
0xfd0f 0xfc16 0xfbec 0xfb8e 0xfb3b 0xfb07 0xfaef 0xfacd 0xfadf 0xfae0 0xfb16 0xfb43 0xfb8a 0xfbcc 0xfc39 0xfc84 
0xfc72 0xfbf4 0xfba1 0xfb48 0xfaf7 0xfaa3 0xfa86 0xfa69 0xfa60 0xfa8e 0xfadd 0xfb06 0xfb5e 0xfb99 0xfc03 0xfc5c 
0xfc1a 0xfba3 0xfb52 0xfaf3 0xfa9c 0xfa4e 0xfa14 0xfa14 0xf9fe 0xfa1f 0xfa64 0xfab4 0xfaf5 0xfb56 0xfbda 0xfc2e 
0xfc0e 0xfb88 0xfb2d 0xfac3 0xfa53 0xfa01 0xf9d3 0xf9bb 0xf9b9 0xf9de 0xfa34 0xfa74 0xfac4 0xfb1f 0xfbaf 0xfc15 
0xfbd7 0xfb42 0xfaf0 0xfa89 0xfa15 0xf9bd 0xf996 0xf992 0xf97a 0xf9b6 0xf9f9 0xfa3b 0xfa79 0xfaf2 0xfb7f 0xfbfb 
0xfbc2 0xfb5a 0xfae9 0xfa78 0xfa06 0xf9b0 0xf9a0 0xf96d 0xf966 0xf99c 0xf9e6 0xfa16 0xfa7d 0xfaed 0xfb7a 0xfc0c 
0xfbb6 0xfb2b 0xfacd 0xfa61 0xf9ec 0xf989 0xf979 0xf97d 0xf94a 0xf977 0xf9ba 0xfa18 0xfa7e 0xfadf 0xfb84 0xfbf0 
0xfbc5 0xfb4c 0xfaf6 0xfa71 0xfa0d 0xf9c8 0xf9cd 0xf997 0xf980 0xf9b4 0xf9f3 0xfa3d 0xfa93 0xfb09 0xfb8a 0xfc17 
0xfbbc 0xfb47 0xfaf9 0xfa9b 0xfa33 0xf9da 0xf9a7 0xf9b0 0xf9bf 0xf9ba 0xfa04 0xfa7d 0xfab7 0xfb11 0xfbb7 0xfc1c 
0xfbdc 0xfb7c 0xfb28 0xfacc 0xfa6e 0xfa35 0xfa30 0xf9f4 0xfa17 0xfa0c 0xfa5a 0xfabd 0xfb00 0xfb66 0xfbe2 0xfc52 
0xfbe5 0xfb85 0xfb4e 0xfb0f 0xfac0 0xfa6d 0xfa6e 0xfa43 0xfa46 0xfa5e 0xfa93 0xfad9 0xfb40 0xfb9b 0xfc1c 0xfc7f 
0xfc59 0xfb97 0xfb6b 0xfb06 0xfacf 0xfaa8 0xfaaf 0xfa9b 0xfa93 0xfab8 0xfb06 0xfb4f 0xfb9e 0xfbe3 0xfc43 0xfc9b 
0x57b9 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd6e 0xf54f 0x2209 0xd7fb 0xfffa 0xfffb 0x000a 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057d 0x15f4 0x15f4 0x15f4 0x15f4 0x15f3 0x15f3 0x15f3 0xfd6b 0xcc41 0xcf28 0xd725 0xfffe 0xfff7 0x000b 0x000b 
