1728234689
0xfd24 0xfc28 0xfbf8 0xfb9b 0xfb4b 0xfb16 0xfb00 0xfadc 0xfaef 0xfaf3 0xfb28 0xfb59 0xfba0 0xfc99 0xfdb3 0xfe07 
0xfc83 0xfc04 0xfbb1 0xfb57 0xfb06 0xfab6 0xfa98 0xfa7a 0xfa71 0xfaa2 0xfaf0 0xfb1c 0xfb74 0xfc1e 0xfd86 0xfdf6 
0xfc29 0xfbb3 0xfb62 0xfb03 0xfaaf 0xfa5f 0xfa29 0xfa26 0xfa0f 0xfa33 0xfa77 0xfac8 0xfb0f 0xfb8d 0xfd20 0xfd7e 
0xfc1b 0xfb9a 0xfb3f 0xfad2 0xfa64 0xfa13 0xf9e4 0xf9ce 0xf9ca 0xf9f3 0xfa4b 0xfa8b 0xfadb 0xfb3c 0xfcb1 0xfd59 
0xfbea 0xfb57 0xfaff 0xfa9c 0xfa23 0xf9ce 0xf9a7 0xf9a1 0xf98a 0xf9c7 0xfa0d 0xfa50 0xfa91 0xfb0a 0xfc33 0xfd88 
0xfbd4 0xfb6a 0xfafc 0xfa88 0xfa14 0xf9c1 0xf9af 0xf981 0xf979 0xf9b4 0xf9fa 0xfa2b 0xfa92 0xfb04 0xfbe0 0xfd79 
0xfbc7 0xfb41 0xfadc 0xfa73 0xf9fd 0xf99c 0xf98b 0xf98c 0xf95a 0xf98a 0xf9cc 0xfa2f 0xfa94 0xfaf5 0xfbb6 0xfd50 
0xfbd8 0xfb5d 0xfb07 0xfa84 0xfa1b 0xf9d9 0xf9db 0xf9a9 0xf98f 0xf9c9 0xfa07 0xfa51 0xfaa8 0xfb20 0xfba8 0xfd2f 
0xfbd0 0xfb5a 0xfb0b 0xfaab 0xfa47 0xf9ec 0xf9ba 0xf9c3 0xf9d1 0xf9cc 0xfa1c 0xfa90 0xfacc 0xfb28 0xfbcf 0xfcf9 
0xfbf0 0xfb8f 0xfb39 0xfada 0xfa7f 0xfa45 0xfa42 0xfa05 0xfa29 0xfa1e 0xfa70 0xfad2 0xfb15 0xfb7b 0xfbfb 0xfcee 
0xfbf9 0xfb99 0xfb5d 0xfb21 0xfad0 0xfa7f 0xfa7e 0xfa53 0xfa57 0xfa71 0xfaa6 0xfaed 0xfb59 0xfbb5 0xfc28 0xfcea 
0xfc72 0xfba6 0xfb7b 0xfb19 0xfae2 0xfab7 0xfabf 0xfaaa 0xfaa8 0xfacc 0xfb20 0xfb69 0xfbb0 0xfbf8 0xfc59 0xfceb 
0x57a0 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb2 0xf54d 0x21fb 0xd7fa 0xfffd 0xfffb 0x0009 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057f 0x15ff 0x15ff 0x15ff 0x15ff 0x15fe 0x15fe 0x15fe 0xfdae 0xcc42 0xcf28 0xd724 0xfffc 0xfffa 0x000c 0x000d 
