1728234689
0xfc67 0xfc0d 0xfbdf 0xfb99 0xfb3a 0xfb0b 0xfafc 0xfada 0xfad6 0xfae8 0xfb1f 0xfb71 0xfb95 0xfbc8 0xfc3b 0xfcd6 
0xfc58 0xfc02 0xfbb7 0xfb65 0xfb0c 0xfaca 0xfaaa 0xfaa6 0xfa8b 0xfaa6 0xfadc 0xfb1b 0xfb6f 0xfbc4 0xfc21 0xfc83 
0xfc0e 0xfbbe 0xfb60 0xfaff 0xfab8 0xfa5b 0xfa59 0xfa42 0xfa2b 0xfa37 0xfa85 0xfae2 0xfb11 0xfb6c 0xfbee 0xfc4b 
0xfc0c 0xfb9a 0xfb3a 0xfae8 0xfa68 0xfa3e 0xfa17 0xf9ff 0xfa06 0xfa18 0xfa84 0xfabb 0xfb13 0xfb67 0xfbd7 0xfc5b 
0xfbeb 0xfb6d 0xfb08 0xfab4 0xfa43 0xf9f1 0xf9c9 0xf9bf 0xf9c6 0xf9db 0xfa2f 0xfa71 0xfac6 0xfb3c 0xfbc8 0xfc2e 
0xfbed 0xfb74 0xfb13 0xfaae 0xfa23 0xf9df 0xf9ce 0xf99e 0xf9b6 0xf9e0 0xfa1e 0xfa72 0xfaea 0xfb56 0xfbc6 0xfc34 
0xfbc4 0xfb55 0xfaf7 0xfa84 0xfa31 0xf9c8 0xf9a0 0xf9c8 0xf994 0xf9c7 0xfa30 0xfa72 0xfae2 0xfb45 0xfbc6 0xfc41 
0xfbe2 0xfb75 0xfb2a 0xfad5 0xfa4b 0xfa13 0xf9fb 0xf9cc 0xf9cc 0xfa01 0xfa55 0xfaa0 0xfb02 0xfb70 0xfbee 0xfc56 
0xfbd4 0xfb7e 0xfb1a 0xfae0 0xfa73 0xfa8c 0xfa05 0xf9fd 0xf9f5 0xfa1e 0xfa62 0xfad6 0xfb0c 0xfb8d 0xfbf3 0xfc72 
0xfc06 0xfbb8 0xfb5f 0xfb0f 0xfae1 0xfa90 0xfa63 0xfa5c 0xfa52 0xfa72 0xfacb 0xfb2a 0xfb7f 0xfbc6 0xfc32 0xfcab 
0xfc21 0xfbb7 0xfb7d 0xfb44 0xfafb 0xfac5 0xfab1 0xfaaa 0xfa8d 0xfabd 0xfb12 0xfb5c 0xfbbd 0xfc06 0xfc63 0xfd2e 
0xfc96 0xfbd8 0xfbad 0xfb5a 0xfb44 0xfb00 0xfb05 0xfade 0xfae6 0xfb14 0xfb76 0xfb90 0xfc0b 0xfc39 0xfcd9 0xfdc1 
0x5951 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd7b 0xf5d3 0x215d 0xd795 0xfffa 0xfffd 0x0005 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0581 0x1606 0x1606 0x1606 0x1606 0x1604 0x1604 0x1604 0xfd77 0xcb6c 0xce30 0xd6f7 0xfffd 0xfffa 0x0008 0x000d 
