1728234839
0xfcf5 0xfbfd 0xfbd0 0xfb6f 0xfb1f 0xfae7 0xfad0 0xfaae 0xfac2 0xfac0 0xfaf9 0xfb26 0xfb6c 0xfbe1 0xfd11 0xfd6e 
0xfc55 0xfbd7 0xfb85 0xfb2c 0xfad9 0xfa84 0xfa68 0xfa4b 0xfa3e 0xfa71 0xfac0 0xfae7 0xfb41 0xfb7f 0xfc85 0xfd45 
0xfbfb 0xfb87 0xfb35 0xfad7 0xfa7d 0xfa2c 0xf9f6 0xf9f1 0xf9dd 0xfa00 0xfa44 0xfa94 0xfad9 0xfb37 0xfbd8 0xfcf6 
0xfbed 0xfb6c 0xfb0e 0xfaa2 0xfa32 0xf9de 0xf9b1 0xf99a 0xf995 0xf9be 0xfa17 0xfa5a 0xfaa5 0xfb01 0xfb92 0xfc7f 
0xfbb8 0xfb21 0xfad0 0xfa6a 0xf9f1 0xf999 0xf975 0xf96f 0xf954 0xf995 0xf9d9 0xfa1f 0xfa59 0xfad3 0xfb63 0xfbf7 
0xfba2 0xfb3a 0xfacc 0xfa59 0xf9e1 0xf98e 0xf97d 0xf94c 0xf945 0xf979 0xf9c8 0xf9f5 0xfa5c 0xfacd 0xfb5b 0xfbef 
0xfb97 0xfb0e 0xfaae 0xfa43 0xf9c8 0xf969 0xf958 0xf95b 0xf928 0xf955 0xf996 0xf9f5 0xfa5e 0xfabf 0xfb63 0xfbd0 
0xfba8 0xfb2e 0xfad6 0xfa51 0xf9eb 0xf9a5 0xf9ab 0xf975 0xf95c 0xf992 0xf9d5 0xfa1d 0xfa73 0xfae6 0xfb6b 0xfbf8 
0xfba2 0xfb2a 0xfad8 0xfa7c 0xfa14 0xf9b9 0xf986 0xf991 0xf99e 0xf998 0xf9e4 0xfa5a 0xfa94 0xfaef 0xfb96 0xfbff 
0xfbc2 0xfb60 0xfb0c 0xfaaf 0xfa4e 0xfa13 0xfa13 0xf9d3 0xf9f5 0xf9ea 0xfa3f 0xfaba 0xfb0d 0xfb71 0xfbd6 0xfc34 
0xfbcc 0xfb6b 0xfb33 0xfaf3 0xfaa1 0xfa4e 0xfa51 0xfa25 0xfa23 0xfa50 0xfa90 0xfac8 0xfb28 0xfb74 0xfbe6 0xfc4d 
0xfc48 0xfb7f 0xfb51 0xfaec 0xfab3 0xfa8a 0xfa91 0xfa7a 0xfa83 0xfaa8 0xfae6 0xfb18 0xfb69 0xfbb6 0xfc1d 0xfc72 
0x5798 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd33 0xf54d 0x21f8 0xd7fb 0xfffa 0xfffa 0x000c 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0580 0x1601 0x1601 0x1601 0x1601 0x1600 0x1600 0x1600 0xfd2f 0xcc41 0xcf26 0xd724 0xfffa 0xfffa 0x000c 0x000d 
