1728234869
0xfcf7 0xfbff 0xfbd1 0xfb71 0xfb20 0xfae9 0xfad0 0xfaad 0xfac2 0xfac3 0xfafa 0xfb27 0xfb6e 0xfbb2 0xfc60 0xfd38 
0xfc52 0xfbd7 0xfb83 0xfb2c 0xfad9 0xfa88 0xfa6b 0xfa4b 0xfa40 0xfa71 0xfabf 0xfae8 0xfb43 0xfb7c 0xfbf8 0xfd17 
0xfbfe 0xfb87 0xfb38 0xfad7 0xfa7d 0xfa31 0xf9f9 0xf9f7 0xf9e0 0xfa02 0xfa45 0xfa94 0xfadb 0xfb3a 0xfbc1 0xfccd 
0xfbf0 0xfb6c 0xfb11 0xfaa5 0xfa34 0xf9df 0xf9b4 0xf99d 0xf998 0xf9c1 0xfa18 0xfa59 0xfaa9 0xfb05 0xfb93 0xfc94 
0xfbba 0xfb24 0xfad0 0xfa6d 0xf9f5 0xf99c 0xf976 0xf972 0xf958 0xf995 0xf9da 0xfa1f 0xfa5f 0xfad5 0xfb64 0xfc3f 
0xfba5 0xfb3b 0xfacd 0xfa57 0xf9e6 0xf992 0xf97f 0xf94d 0xf947 0xf981 0xf9c9 0xf9fa 0xfa60 0xfacf 0xfb5e 0xfc30 
0xfb9a 0xfb10 0xfaae 0xfa45 0xf9cf 0xf96d 0xf95a 0xf95e 0xf92b 0xf959 0xf99b 0xf9f7 0xfa62 0xfac1 0xfb64 0xfbfd 
0xfba9 0xfb2d 0xfad8 0xfa55 0xf9ec 0xf9ab 0xf9ae 0xf977 0xf95f 0xf997 0xf9d4 0xfa20 0xfa73 0xfaea 0xfb6b 0xfc13 
0xfba3 0xfb2c 0xfadb 0xfa7e 0xfa17 0xf9bb 0xf989 0xf992 0xf9a2 0xf999 0xf9e8 0xfa5d 0xfa98 0xfaf3 0xfb99 0xfc10 
0xfbc3 0xfb63 0xfb0e 0xfaae 0xfa50 0xfa16 0xfa13 0xf9d4 0xf9f8 0xf9eb 0xfa3f 0xfab5 0xfb0a 0xfb7a 0xfbde 0xfc49 
0xfbcb 0xfb6b 0xfb32 0xfaf1 0xfaa2 0xfa50 0xfa53 0xfa21 0xfa26 0xfa51 0xfa9f 0xface 0xfb2c 0xfb73 0xfbeb 0xfc6a 
0xfc44 0xfb80 0xfb53 0xfaea 0xfab5 0xfa8d 0xfa90 0xfa7c 0xfa80 0xfab2 0xfaea 0xfb1b 0xfb6b 0xfbba 0xfc1e 0xfc97 
0x57a5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd35 0xf54e 0x21fd 0xd7fa 0xfffb 0xfffa 0x0006 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057f 0x15fc 0x15fc 0x15fc 0x15fc 0x15fb 0x15fb 0x15fb 0xfd33 0xcc41 0xcf25 0xd723 0xfffd 0xfff8 0x000d 0x000b 
