1728234899
0xfc1d 0xfbbd 0xfb87 0xfb39 0xfad4 0xfa9d 0xfa90 0xfa69 0xfa68 0xfa78 0xfab5 0xfb0c 0xfb36 0xfb6b 0xfbf1 0xfc92 
0xfc08 0xfbaf 0xfb58 0xfafe 0xfa9e 0xfa53 0xfa31 0xfa2d 0xfa10 0xfa2f 0xfa68 0xfaaf 0xfb08 0xfb65 0xfbca 0xfc39 
0xfbb9 0xfb60 0xfaf6 0xfa8f 0xfa41 0xf9da 0xf9d8 0xf9bd 0xf9a5 0xf9b4 0xfa0a 0xfa6b 0xfaa6 0xfb07 0xfb95 0xfbf9 
0xfbb3 0xfb36 0xface 0xfa73 0xf9e6 0xf9bc 0xf98d 0xf975 0xf97e 0xf993 0xfa06 0xfa43 0xfa9f 0xfb02 0xfb7a 0xfc15 
0xfb8f 0xfb0a 0xfa99 0xfa3d 0xf9c2 0xf968 0xf93d 0xf933 0xf938 0xf94f 0xf9a8 0xf9f1 0xfa51 0xfad3 0xfb70 0xfbdf 
0xfb93 0xfb12 0xfaa0 0xfa34 0xf99f 0xf953 0xf940 0xf909 0xf922 0xf952 0xf995 0xf9f4 0xfa76 0xfaea 0xfb76 0xfbda 
0xfb68 0xfaee 0xfa86 0xfa08 0xf9ad 0xf93c 0xf911 0xf938 0xf901 0xf937 0xf9aa 0xf9f7 0xfa6d 0xfadd 0xfb65 0xfbea 
0xfb86 0xfb11 0xfabf 0xfa5f 0xf9c7 0xf98d 0xf970 0xf940 0xf940 0xf973 0xf9d4 0xfa25 0xfa8f 0xfb06 0xfb8d 0xfc03 
0xfb7a 0xfb1b 0xfab0 0xfa6e 0xf9f7 0xfa09 0xf97d 0xf975 0xf96c 0xf99d 0xf9e6 0xfa5c 0xfa98 0xfb1c 0xfb94 0xfc20 
0xfbaf 0xfb5f 0xfafc 0xfaa2 0xfa6e 0xfa15 0xf9e6 0xf9dd 0xf9d7 0xf9f7 0xfa54 0xfaba 0xfb03 0xfb55 0xfbda 0xfc5c 
0xfbd3 0xfb64 0xfb21 0xfadf 0xfa94 0xfa59 0xfa3c 0xfa35 0xfa15 0xfa48 0xfaa6 0xfaf3 0xfb37 0xfba5 0xfc0e 0xfcee 
0xfc5e 0xfb8c 0xfb5b 0xfb05 0xfae7 0xfa9a 0xfaa0 0xfa76 0xfa7b 0xfaad 0xfb13 0xfb31 0xfb91 0xfbe0 0xfc8e 0xfd90 
0x57d5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd4f 0xf5c3 0x20af 0xd791 0xfffa 0xfff9 0x0007 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a5 0x1694 0x1694 0x1694 0x1694 0x1692 0x1692 0x1692 0xfd4c 0xcb7c 0xce34 0xd6fb 0xfff9 0xfff5 0x0009 0x0007 
