1728234929
0xfc1c 0xfbb6 0xfb84 0xfb38 0xfad6 0xfa9e 0xfa8a 0xfa66 0xfa65 0xfa76 0xfab5 0xfb0a 0xfb36 0xfb6a 0xfbef 0xfc92 
0xfc07 0xfbaa 0xfb55 0xfaff 0xfa9c 0xfa4f 0xfa31 0xfa2c 0xfa0d 0xfa2d 0xfa68 0xfaac 0xfb06 0xfb60 0xfbcd 0xfc36 
0xfbb8 0xfb5e 0xfaf5 0xfa8d 0xfa3e 0xf9d9 0xf9d8 0xf9bf 0xf9a5 0xf9b3 0xfa09 0xfa6b 0xfaa1 0xfb03 0xfb94 0xfbf6 
0xfbb1 0xfb32 0xfacb 0xfa71 0xf9e5 0xf9b9 0xf98c 0xf975 0xf97c 0xf992 0xfa06 0xfa43 0xfa9c 0xfaff 0xfb77 0xfc13 
0xfb8d 0xfb04 0xfa96 0xfa3a 0xf9be 0xf962 0xf93b 0xf92f 0xf936 0xf94c 0xf9a7 0xf9f0 0xfa4d 0xface 0xfb6f 0xfbe0 
0xfb8f 0xfb0b 0xfa9e 0xfa35 0xf99a 0xf952 0xf93f 0xf908 0xf926 0xf950 0xf994 0xf9f3 0xfa73 0xfae7 0xfb75 0xfbd7 
0xfb65 0xfaec 0xfa86 0xfa06 0xf9aa 0xf938 0xf910 0xf938 0xf8fd 0xf934 0xf9a5 0xf9f4 0xfa69 0xfad3 0xfb61 0xfbe8 
0xfb85 0xfb0f 0xfaba 0xfa5c 0xf9c8 0xf988 0xf96e 0xf93e 0xf93d 0xf972 0xf9d1 0xfa25 0xfa8b 0xfb04 0xfb8b 0xfc00 
0xfb78 0xfb1a 0xfaac 0xfa6a 0xf9f4 0xfa0a 0xf97c 0xf974 0xf96a 0xf999 0xf9e3 0xfa5b 0xfa95 0xfb1a 0xfb91 0xfc1d 
0xfbae 0xfb5b 0xfaf8 0xfa9f 0xfa6d 0xfa13 0xf9e6 0xf9de 0xf9cf 0xf9f6 0xfa55 0xfab8 0xfafd 0xfb51 0xfbd8 0xfc5d 
0xfbcf 0xfb5f 0xfb1b 0xfadf 0xfa90 0xfa53 0xfa3c 0xfa32 0xfa12 0xfa47 0xfaa3 0xfaf0 0xfb34 0xfba3 0xfc0a 0xfcea 
0xfc5c 0xfb87 0xfb5d 0xfb01 0xfae6 0xfa96 0xfa9d 0xfa76 0xfa75 0xfaa6 0xfb13 0xfb30 0xfb90 0xfbd9 0xfc8c 0xfd8d 
0x57d9 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd49 0xf5c1 0x20b2 0xd792 0xfffa 0xfff9 0x0007 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a4 0x1692 0x1692 0x1692 0x1692 0x1690 0x1690 0x1690 0xfd46 0xcb7f 0xce34 0xd6fc 0xfffd 0xfffa 0x0009 0x000b 
