1728234959
0xfd22 0xfbe6 0xfb6d 0xfb40 0xfad0 0xfa96 0xfa66 0xfa60 0xfa53 0xfa65 0xfaa6 0xfadd 0xfb2c 0xfb71 0xfbfa 0xfce9 
0xfd21 0xfbc8 0xfb4e 0xfaea 0xfa71 0xfa29 0xfa0e 0xf9f3 0xf9da 0xf9f8 0xfa48 0xfa92 0xfade 0xfb53 0xfbd6 0xfc3e 
0xfc9e 0xfb53 0xfaf0 0xfa97 0xfa03 0xf9ab 0xf980 0xf96e 0xf966 0xf99b 0xf9e4 0xfa37 0xfa80 0xfafd 0xfb91 0xfc0b 
0xfcd1 0xfb54 0xfac9 0xfa66 0xf9c0 0xf95d 0xf946 0xf932 0xf92d 0xf946 0xf9a5 0xfa12 0xfa64 0xfae8 0xfb7e 0xfbf1 
0xfca5 0xfb16 0xfa8f 0xfa1b 0xf986 0xf933 0xf8fc 0xf8ec 0xf8d2 0xf90a 0xf960 0xf9c4 0xfa3d 0xfa96 0xfb2e 0xfbd3 
0xfcce 0xfb32 0xfa7b 0xfa07 0xf96e 0xf920 0xf8fc 0xf8e8 0xf8c8 0xf90b 0xf979 0xf9c6 0xfa2a 0xfad8 0xfb45 0xfbcd 
0xfcd6 0xfb40 0xfa69 0xf9ed 0xf965 0xf8f7 0xf8d0 0xf8c7 0xf8d5 0xf90d 0xf97c 0xf9c3 0xfa2c 0xfaad 0xfb4c 0xfbee 
0xfd05 0xfb9d 0xfa8b 0xfa0f 0xf995 0xf93c 0xf91b 0xf904 0xf8fb 0xf930 0xf980 0xf9da 0xfa60 0xfad7 0xfb77 0xfc03 
0xfd13 0xfbcf 0xfaa2 0xfa3e 0xf9b5 0xf964 0xf950 0xf931 0xf941 0xf95c 0xf9ed 0xfa5a 0xfa94 0xfaf0 0xfb87 0xfc1d 
0xfd2d 0xfc2d 0xfaea 0xfa8f 0xfa12 0xf9df 0xf9ba 0xf99f 0xf9aa 0xf9f9 0xfa57 0xfa91 0xfae2 0xfb55 0xfbe1 0xfc6c 
0xfd1c 0xfc67 0xfb24 0xfac0 0xfa68 0xfa1c 0xfa01 0xf9ec 0xfa0a 0xfa40 0xfa9d 0xfad4 0xfb2a 0xfb8b 0xfc1c 0xfcda 
0xfd36 0xfc96 0xfb9f 0xfaf4 0xfab2 0xfa6f 0xfa63 0xfa63 0xfa86 0xfa8f 0xfafb 0xfb30 0xfb7b 0xfbd7 0xfc91 0xfdd3 
0x52b0 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdcc 0xf5a2 0x1fc7 0xd950 0xfff9 0xfff7 0x0005 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0590 0x1640 0x1640 0x1640 0x1640 0x163f 0x163f 0x163f 0xfdc9 0xce0e 0xd0e3 0xd8ee 0xfffb 0xfff5 0x0007 0x0007 
