1728234959
0xfd10 0xfc10 0xfbe0 0xfb85 0xfb3c 0xfb04 0xfaea 0xfacc 0xfae4 0xfafa 0xfc14 0xfcf1 0xfd88 0xfdd1 0xfddb 0xfdda 
0xfc69 0xfbeb 0xfb98 0xfb42 0xfaf5 0xfaa6 0xfa89 0xfa6d 0xfa69 0xfad9 0xfc7b 0xfd13 0xfdb1 0xfe07 0xfe08 0xfdf3 
0xfc11 0xfb9c 0xfb4c 0xfaed 0xfa9c 0xfa53 0xfa1c 0xfa1d 0xfa0e 0xfaf9 0xfc79 0xfd1d 0xfd78 0xfe10 0xfe10 0xfe00 
0xfc02 0xfb86 0xfb26 0xfabe 0xfa56 0xfa08 0xf9db 0xf9ca 0xf9cf 0xfb7d 0xfd39 0xfd23 0xfd5d 0xfe10 0xfe3b 0xfe2a 
0xfbce 0xfb3e 0xfae6 0xfa84 0xfa17 0xf9c7 0xf9a1 0xf9a1 0xf9a5 0xfbfb 0xfd60 0xfd49 0xfd2c 0xfde4 0xfe3f 0xfe3e 
0xfbb9 0xfb53 0xfae4 0xfa74 0xfa06 0xf9bc 0xf9ad 0xf97f 0xf9cb 0xfc96 0xfd93 0xfd34 0xfd36 0xfdc4 0xfe54 0xfe56 
0xfbac 0xfb28 0xfac6 0xfa61 0xf9f2 0xf996 0xf986 0xf98e 0xfa08 0xfcf5 0xfd6f 0xfd0d 0xfd35 0xfdae 0xfe43 0xfe5e 
0xfbbd 0xfb45 0xfaee 0xfa6f 0xfa0f 0xf9d0 0xf9d6 0xf9aa 0xfa85 0xfcf4 0xfd4a 0xfd22 0xfd50 0xfdab 0xfe20 0xfe3e 
0xfbb6 0xfb43 0xfaf2 0xfa96 0xfa38 0xf9e5 0xf9b3 0xf9c3 0xfb08 0xfce2 0xfd1a 0xfd34 0xfd64 0xfd83 0xfe1c 0xfe0c 
0xfbd5 0xfb77 0xfb20 0xfac7 0xfa6f 0xfa38 0xfa3b 0xfa07 0xfb67 0xfce0 0xfd75 0xfd80 0xfd9b 0xfdab 0xfe18 0xfe68 
0xfbdf 0xfb7f 0xfb45 0xfb0e 0xfabc 0xfa73 0xfa75 0xfa56 0xfb76 0xfcdd 0xfdb1 0xfd63 0xfd68 0xfd90 0xfde4 0xfe5b 
0xfc5a 0xfb92 0xfb62 0xfb00 0xfacc 0xfaa7 0xfab2 0xfaa9 0xfb84 0xfd11 0xfdc2 0xfd91 0xfd72 0xfda1 0xfde2 0xfe44 
0x57b8 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd70 0xf54d 0x2206 0xd7fb 0xfffd 0xfffe 0x000a 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057d 0x15f6 0x15f6 0x15f6 0x15f6 0x15f5 0x15f5 0x15f5 0xfd6f 0xcc41 0xcf26 0xd723 0x0000 0xfffd 0x000b 0x000b 
