1728234959
0xfc1e 0xfbbb 0xfb89 0xfb3b 0xfad8 0xfaa0 0xfa8e 0xfa6b 0xfa68 0xfa78 0xfab5 0xfb0f 0xfb37 0xfb6d 0xfbf1 0xfc94 
0xfc09 0xfbb0 0xfb5a 0xfafe 0xfaa0 0xfa54 0xfa33 0xfa30 0xfa12 0xfa30 0xfa6d 0xfaaf 0xfb0b 0xfb65 0xfbd0 0xfc39 
0xfbba 0xfb5f 0xfaf9 0xfa8d 0xfa41 0xf9de 0xf9d8 0xf9c2 0xf9a9 0xf9b6 0xfa0b 0xfa6f 0xfaa6 0xfb07 0xfb97 0xfbf9 
0xfbb3 0xfb36 0xfad3 0xfa75 0xf9e9 0xf9be 0xf992 0xf975 0xf97f 0xf994 0xfa09 0xfa43 0xfaa1 0xfb02 0xfb79 0xfc18 
0xfb90 0xfb08 0xfa97 0xfa40 0xf9c4 0xf966 0xf93d 0xf934 0xf939 0xf952 0xf9aa 0xf9f4 0xfa51 0xfad1 0xfb73 0xfbe3 
0xfb94 0xfb0f 0xfaa2 0xfa37 0xf9a1 0xf955 0xf942 0xf90c 0xf927 0xf955 0xf995 0xf9f5 0xfa77 0xfaec 0xfb7b 0xfbdc 
0xfb66 0xfaf0 0xfa87 0xfa08 0xf9ae 0xf93d 0xf912 0xf93d 0xf904 0xf939 0xf9ab 0xf9f5 0xfa6f 0xfad8 0xfb66 0xfbeb 
0xfb87 0xfb10 0xfac1 0xfa61 0xf9cc 0xf98d 0xf972 0xf941 0xf941 0xf978 0xf9d6 0xfa26 0xfa91 0xfb07 0xfb8f 0xfc06 
0xfb7c 0xfb1a 0xfab0 0xfa6f 0xf9fb 0xfa0c 0xf984 0xf977 0xf96e 0xf99e 0xf9e6 0xfa60 0xfa97 0xfb1b 0xfb92 0xfc1e 
0xfbaf 0xfb61 0xfafb 0xfaa5 0xfa6f 0xfa16 0xf9e8 0xf9df 0xf9d6 0xf9f7 0xfa56 0xfabc 0xfb00 0xfb57 0xfbda 0xfc5d 
0xfbd1 0xfb64 0xfb20 0xfae3 0xfa95 0xfa59 0xfa3d 0xfa34 0xfa15 0xfa49 0xfaa8 0xfaf3 0xfb36 0xfba8 0xfc0e 0xfcee 
0xfc5b 0xfb8b 0xfb5a 0xfb02 0xfae7 0xfa9d 0xfaa0 0xfa78 0xfa7b 0xfaad 0xfb15 0xfb31 0xfb93 0xfbde 0xfc90 0xfd8f 
0x57e0 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd4d 0xf5c3 0x20b3 0xd791 0xfffa 0xfffa 0x0005 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a4 0x1690 0x1690 0x1690 0x1690 0x168f 0x168f 0x168f 0xfd48 0xcb7f 0xce36 0xd6fc 0xfffb 0xfff7 0x0006 0x0009 
