1728235019
0xfdc3 0xfda3 0xfd56 0xfd72 0xfd7a 0xfd8e 0xfd55 0xfd22 0xfb41 0xfa70 0xfa9d 0xfad5 0xfb29 0xfb71 0xfbf9 0xfcee 
0xfdbd 0xfdb8 0xfd89 0xfd6a 0xfd6d 0xfd83 0xfd54 0xfce9 0xfa61 0xf9f4 0xfa3a 0xfa84 0xfad3 0xfb4d 0xfbcd 0xfc3a 
0xfd93 0xfd79 0xfd54 0xfd52 0xfd07 0xfd47 0xfd28 0xfc52 0xf986 0xf990 0xf9d3 0xfa26 0xfa74 0xfaf3 0xfb84 0xfc02 
0xfdb6 0xfd99 0xfd4d 0xfd30 0xfcf0 0xfcdf 0xfce2 0xfb22 0xf929 0xf93f 0xf991 0xf9fe 0xfa56 0xfae4 0xfb75 0xfbe8 
0xfda0 0xfd6a 0xfd19 0xfd08 0xfc7f 0xfc2f 0xfbb0 0xf96e 0xf8c5 0xf900 0xf94c 0xf9ae 0xfa28 0xfa8b 0xfb21 0xfbc8 
0xfd96 0xfd6b 0xfd1e 0xfccf 0xfc54 0xfc43 0xfbba 0xf8ec 0xf8ba 0xf8ff 0xf969 0xf9b2 0xfa1b 0xfacd 0xfb38 0xfbc2 
0xfd7e 0xfd64 0xfd10 0xfc8c 0xfbfe 0xfc24 0xf9ea 0xf8b6 0xf8c8 0xf8fe 0xf968 0xf9af 0xfa1e 0xfaa1 0xfb3b 0xfbe4 
0xfdbd 0xfd98 0xfd50 0xfcc1 0xfc76 0xfbfd 0xf939 0xf8f3 0xf8ec 0xf922 0xf96b 0xf9c5 0xfa50 0xfaca 0xfb66 0xfbf8 
0xfda9 0xfd70 0xfd19 0xfcc6 0xfcb4 0xfa8d 0xf947 0xf91d 0xf931 0xf94c 0xf9dd 0xfa46 0xfa7e 0xfae3 0xfb79 0xfc14 
0xfd90 0xfd5c 0xfd2c 0xfd15 0xfbf0 0xf9fd 0xf9ab 0xf98f 0xf99d 0xf9eb 0xfa42 0xfa7b 0xfad5 0xfb4b 0xfbd4 0xfc62 
0xfd88 0xfd60 0xfd2c 0xfc78 0xfacd 0xfa1c 0xf9ef 0xf9d8 0xf9f9 0xfa34 0xfa8d 0xfac2 0xfb1f 0xfb84 0xfc11 0xfcd9 
0xfd89 0xfd1e 0xfcd0 0xfb7c 0xfac8 0xfa6b 0xfa53 0xfa52 0xfa78 0xfa86 0xfaea 0xfb25 0xfb74 0xfbd4 0xfc8b 0xfddb 
0x51f6 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfde8 0xf598 0x1f73 0xd94c 0xfffe 0xfffc 0x0003 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a1 0x1686 0x1686 0x1686 0x1686 0x1685 0x1685 0x1685 0xfde3 0xce13 0xd0e2 0xd8ee 0xfffa 0xfff9 0x0007 0x0007 
