1728235049
0xfd9b 0xfd6d 0xfd79 0xfd5d 0xfd11 0xfd07 0xfd01 0xfcdd 0xfce9 0xfd74 0xfd89 0xfdca 0xfd7c 0xfc4a 0xfc8a 0xfdb3 
0xfd94 0xfd6f 0xfd51 0xfd09 0xfcf0 0xfcd1 0xfcdc 0xfc9e 0xfcd3 0xfd7c 0xfdb3 0xfdb4 0xfd46 0xfc18 0xfc37 0xfcde 
0xfd5c 0xfd25 0xfced 0xfcbf 0xfc8c 0xfc69 0xfc6f 0xfc79 0xfcc5 0xfd66 0xfd96 0xfd54 0xfca7 0xfba5 0xfbdf 0xfc37 
0xfd60 0xfd24 0xfcf3 0xfc9c 0xfc86 0xfc60 0xfc71 0xfc63 0xfd31 0xfd80 0xfd79 0xfd19 0xfc06 0xfb8b 0xfbc3 0xfc2d 
0xfd3b 0xfd0e 0xfcc9 0xfc76 0xfc51 0xfc56 0xfc38 0xfc95 0xfcfb 0xfd36 0xfd19 0xfc8c 0xfb23 0xfb2b 0xfb80 0xfbf4 
0xfd56 0xfd1a 0xfcfb 0xfcb5 0xfc68 0xfc97 0xfc77 0xfcdb 0xfcd9 0xfd13 0xfcb8 0xfbc7 0xfabf 0xfb09 0xfb71 0xfbef 
0xfd38 0xfcf6 0xfcd7 0xfccb 0xfcba 0xfcb8 0xfcd5 0xfc6b 0xfc74 0xfc49 0xfca5 0xfaab 0xfa7c 0xfae4 0xfb5a 0xfbdb 
0xfd85 0xfd62 0xfd53 0xfd2d 0xfd30 0xfd33 0xfceb 0xfc46 0xfc12 0xfca2 0xfb12 0xfa66 0xfa88 0xfb02 0xfb95 0xfc01 
0xfd72 0xfd6b 0xfd6a 0xfd4e 0xfce2 0xfc5a 0xfc29 0xfc14 0xfc3d 0xfaef 0xfa26 0xfa5a 0xfa9d 0xfaff 0xfb8c 0xfc0a 
0xfd7a 0xfd49 0xfd0d 0xfcc3 0xfc81 0xfc3a 0xfc53 0xfc3b 0xfae3 0xfa45 0xfa65 0xfa99 0xfae8 0xfb4e 0xfbe5 0xfc3f 
0xfd12 0xfcf6 0xfce6 0xfce0 0xfcca 0xfc65 0xfbc9 0xfac1 0xfa5a 0xfa3e 0xfa86 0xfab2 0xfb1b 0xfb70 0xfbe9 0xfc7d 
0xfce3 0xfcbf 0xfccf 0xfc79 0xfbf6 0xfb3b 0xfaed 0xfa92 0xfa9e 0xfa87 0xfadf 0xfb0e 0xfb74 0xfbc9 0xfc52 0xfd33 
0x53ac 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc9 0xf5af 0x1eec 0xd76b 0xfffb 0xfffa 0x0005 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b0 0x16c0 0x16c0 0x16c0 0x16c0 0x16bf 0x16bf 0x16bf 0xfdc7 0xccc8 0xcece 0xd7ef 0xfffd 0xfff8 0x0008 0x000b 
