1728235049
0xfd7d 0xfd70 0xfd3e 0xfd33 0xfd31 0xfd3c 0xfd1d 0xfd53 0xfd4c 0xfd2b 0xfd4b 0xfcfc 0xfb7f 0xfb7b 0xfbee 0xfce5 
0xfd87 0xfd8c 0xfd73 0xfcfc 0xfcd4 0xfd1c 0xfd29 0xfd5a 0xfd46 0xfd27 0xfd3d 0xfc79 0xfb0a 0xfb4c 0xfbc3 0x0111 
0xfd40 0xfd3c 0xfd42 0xfd17 0xfcea 0xfcce 0xfd13 0xfd33 0xfd20 0xfd13 0xfd08 0xfb51 0xfa84 0xfae3 0xfb6a 0xfbef 
0xfd7c 0xfd5f 0xfd43 0xfcf5 0xfcdb 0xfc97 0xfcd9 0xfd2b 0xfd27 0xfd03 0xfc84 0xfa56 0xfa4a 0xfac1 0xfb52 0xfbc8 
0xfd50 0xfd31 0xfd26 0xfcc6 0xfc9a 0xfca1 0xfc66 0xfce7 0xfcd9 0xfcbc 0xfa97 0xf9ac 0xfa0b 0xfa62 0xfaf9 0xfba3 
0xfd5e 0xfd40 0xfcf5 0xfcb3 0xfc97 0xfc35 0xfc1d 0xfc09 0xfbd0 0xfac9 0xf977 0xf993 0xf9f4 0xfaa3 0xfb10 0xfb9d 
0xfd40 0xfd30 0xfcfa 0xfca1 0xfc2d 0xfbd1 0xfbd1 0xfc26 0xfb88 0xf92f 0xf946 0xf985 0xf9f2 0xfa78 0xfb13 0xfbbe 
0xfd7f 0xfd62 0xfd33 0xfcb2 0xfc2c 0xfbc3 0xfc32 0xfb9b 0xf949 0xf903 0xf942 0xf999 0xfa26 0xfa9d 0xfb3f 0xfbd3 
0xfd5e 0xfd33 0xfcf0 0xfca4 0xfc68 0xfc7f 0xfb7c 0xf975 0xf916 0xf92e 0xf9cc 0xf9ed 0xfa4a 0xfab8 0xfb52 0xfbed 
0xfd7a 0xfd4a 0xfd1f 0xfcee 0xfc57 0xfb10 0xf9d7 0xf97e 0xf97d 0xf9c3 0xf9ff 0xfa49 0xfaa9 0xfb21 0xfbaf 0xfc42 
0xfd17 0xfceb 0xfc6d 0xfb9f 0xfab2 0xfa22 0xf9de 0xf9b6 0xf9db 0xf9fb 0xfa60 0xfa95 0xfaf5 0xfb5b 0xfbf0 0xfcb8 
0xfcdd 0xfbcd 0xfb84 0xfb04 0xfaaa 0xfa55 0xfa36 0xfa2f 0xfa47 0xfa5a 0xfac2 0xfafa 0xfb4e 0xfbad 0xfc6b 0xfdc3 
0x5193 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc9 0xf593 0x1f47 0xd94a 0xfffc 0xfffc 0x0005 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05ab 0x16ad 0x16ad 0x16ad 0x16ad 0x16ac 0x16ac 0x16ac 0xfdc7 0xce14 0xd0e1 0xd8ed 0xfffb 0xfff9 0x0007 0x0008 
