1728235049
0xfc78 0xfc16 0xfbdd 0xfb8e 0xfb2b 0xfaf4 0xfae0 0xfabd 0xfabb 0xfacb 0xfb0b 0xfb60 0xfb89 0xfbc4 0xfc45 0xfced 
0xfc64 0xfc07 0xfbaf 0xfb54 0xfaf2 0xfaa8 0xfa86 0xfa80 0xfa63 0xfa81 0xfabe 0xfb04 0xfb5d 0xfbbb 0xfc26 0xfc90 
0xfc17 0xfbb6 0xfb4f 0xfae3 0xfa95 0xfa30 0xfa29 0xfa11 0xf9f9 0xfa08 0xfa5d 0xfabe 0xfaf8 0xfb5b 0xfbed 0xfc59 
0xfc12 0xfb91 0xfb26 0xfac9 0xfa41 0xfa0e 0xf9e4 0xf9c6 0xf9cf 0xf9e4 0xfa5a 0xfa96 0xfaf2 0xfb57 0xfbea 0xfc7c 
0xfbeb 0xfb62 0xfaef 0xfa93 0xfa16 0xf9b7 0xf98e 0xf982 0xf989 0xf9a3 0xf9fb 0xfa46 0xfaa2 0xfb28 0xfbc7 0xfc2a 
0xfbef 0xfb6a 0xfafb 0xfa88 0xf9f4 0xf9a7 0xf991 0xf95c 0xf975 0xf9a2 0xf9e9 0xfa46 0xfac8 0xfb3f 0xfbbc 0xfc31 
0xfbc5 0xfb4c 0xfae2 0xfa60 0xfa04 0xf991 0xf966 0xf989 0xf953 0xf987 0xf9fb 0xfa48 0xfabe 0xfb2d 0xfbb9 0xfc41 
0xfbe9 0xfb73 0xfb18 0xfab6 0xfa22 0xf9df 0xf9c5 0xf98f 0xf990 0xf9c7 0xfa28 0xfa77 0xfae1 0xfb5c 0xfbe4 0xfc5a 
0xfbe9 0xfb93 0xfb20 0xfae0 0xfa58 0xfa5b 0xf9d5 0xf9cb 0xf9c0 0xf9f2 0xfa39 0xfab1 0xfaee 0xfb73 0xfbee 0xfc78 
0xfc69 0xfc70 0xfd41 0x073d 0xfbe4 0xfa6f 0xfa3e 0xfa2f 0xfa29 0xfa4d 0xfaab 0xfb0f 0xfb58 0xfbb0 0xfc32 0xfcba 
0xfcad 0xfc1f 0xfc30 0xfceb 0xfb0e 0xfab0 0xfa92 0xfa89 0xfa6c 0xfaa0 0xfafc 0xfb4c 0xfb91 0xfbff 0xfc6a 0xfd50 
0xfd28 0xfc5a 0xfc06 0xfbfc 0xfb5e 0xfaf2 0xfaf6 0xfacf 0xfad4 0xfb05 0xfb6c 0xfb8d 0xfbee 0xfc3c 0xfcf5 0xfdfe 
0x574e 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfe07 0xf5bc 0x2073 0xd790 0xfff9 0xfff8 0x0006 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b1 0x16c6 0x16c6 0x16c6 0x16c6 0x16c5 0x16c5 0x16c5 0xfe03 0xcb84 0xce36 0xd6fd 0xfffa 0xfff7 0x0009 0x000a 
