1728235079
0xfd77 0xfd4b 0xfd63 0xfd78 0xfd08 0xfd1c 0xfd47 0xfd34 0xfd16 0xfd29 0xfd37 0xfd20 0xfcaa 0xfb97 0xfbeb 0xfcd8 
0xfd93 0xfd51 0xfd52 0xfd56 0xfd2f 0xfd2d 0xfd52 0xfd33 0xfce6 0xfd1d 0xfd22 0xfcf1 0xfbbb 0xfb4e 0xfbb0 0xfc13 
0xfd64 0xfd16 0xfd10 0xfd2b 0xfd05 0xfd15 0xfd1a 0xfd03 0xfcdd 0xfcf7 0xfce8 0xfc41 0xfa9e 0xfad6 0xfb5b 0xfbd4 
0xfd73 0xfd2f 0xfd21 0xfd0a 0xfd0b 0xfd0f 0xfd18 0xfce7 0xfce4 0xfcdc 0xfc98 0xfaa0 0xfa3c 0xfaaf 0xfb3c 0xfbba 
0xfd4e 0xfcf7 0xfd07 0xfccf 0xfc9c 0xfce5 0xfce3 0xfcdf 0xfca6 0xfc82 0xfa74 0xf98d 0xf9f0 0xfa49 0xfae5 0xfb8f 
0xfd3b 0xfcee 0xfcdf 0xfc98 0xfc49 0xfc71 0xfca6 0xfc8e 0xfc28 0xfa41 0xf93f 0xf96f 0xf9d5 0xfa8b 0xfaf9 0xfb8a 
0xfd30 0xfcd5 0xfc86 0xfc3c 0xfc01 0xfbbd 0xfbb6 0xfb3b 0xf94e 0xf8c1 0xf91e 0xf963 0xf9d3 0xfa5c 0xfaff 0xfbab 
0xfd48 0xfcef 0xfc87 0xfc1a 0xfc17 0xfc23 0xfade 0xf923 0xf8ac 0xf8d5 0xf91c 0xf977 0xfa08 0xfa81 0xfb29 0xfbc1 
0xfd24 0xfcd4 0xfcaf 0xfc80 0xfb74 0xf9f5 0xf923 0xf8d9 0xf8e1 0xf918 0xf99a 0xf9c5 0xfa2d 0xfa9f 0xfb3b 0xfbda 
0xfc82 0xfc10 0xfb75 0xfac6 0xf9fe 0xf9a5 0xf966 0xf941 0xf95b 0xf99d 0xf9dd 0xfa29 0xfa8b 0xfb09 0xfb9b 0xfc2e 
0xfbde 0xfb65 0xfafb 0xfa95 0xfa28 0xf9cd 0xf9a5 0xf98e 0xf9bb 0xf9db 0xfa45 0xfa7b 0xfad9 0xfb43 0xfbde 0xfcab 
0xfc7b 0xfb61 0xfb28 0xfab7 0xfa6e 0xfa23 0xfa10 0xfa13 0xfa2e 0xfa3f 0xfaa7 0xfae3 0xfb35 0xfb98 0xfc5b 0xfdb9 
0x5137 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc2 0xf58e 0x1f1d 0xd947 0xfffa 0xfffb 0x0003 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b4 0x16d0 0x16d0 0x16d0 0x16d0 0x16ce 0x16ce 0x16ce 0xfdc0 0xce18 0xd0df 0xd8ed 0xfffc 0xfff7 0x0005 0x0009 
