1728235109
0xfd8f 0xfd97 0xfd85 0xfd7b 0xfd46 0xfd40 0xfd2b 0xfd18 0xfce2 0xfc93 0xfc11 0xfacf 0xfaef 0xfb35 0xfbc5 0xfcd1 
0xfdbb 0xfdb1 0xfda6 0xfd76 0xfd1d 0xfd2b 0xfd12 0xfce5 0xfc93 0xfc05 0xfa76 0xfa40 0xfa8c 0xfb0e 0xfb98 0xfc62 
0xfd89 0xfd8f 0xfd81 0xfd57 0xfd0a 0xfcef 0xfcc2 0xfc8c 0xfbee 0xfa0e 0xf983 0xf9d2 0xfa21 0xfaae 0xfb59 0xfd61 
0xfdb6 0xfd98 0xfd7a 0xfd45 0xfcf7 0xfccb 0xfc99 0xfc0c 0xf9bf 0xf8de 0xf934 0xf9a4 0xfa06 0xfa9e 0x00f6 0x0025 
0xfd63 0xfd5e 0xfd4c 0xfd1d 0xfcc2 0xfc79 0xfbc7 0xf956 0xf859 0xf892 0xf8e6 0xf94e 0xf9d5 0xfa3e 0xfae9 0xfb9e 
0xfd3c 0xfd17 0xfd06 0xfcb9 0xfc2e 0xfb30 0xf910 0xf869 0xf84a 0xf890 0xf906 0xf955 0xf9c5 0xfa80 0xfaf5 0xfb8c 
0xfce3 0xfc96 0xfc5b 0xfbf1 0xfa7d 0xf8b2 0xf853 0xf842 0xf856 0xf88f 0xf906 0xf951 0xf9c4 0xfa51 0xfafa 0xfbad 
0xfccb 0xfc99 0xfc09 0xfa5e 0xf938 0xf8c5 0xf89c 0xf882 0xf880 0xf8b9 0xf90c 0xf96a 0xf9fd 0xfa7c 0xfb27 0xfbc2 
0xfc80 0xfb7c 0xfa7c 0xf9e7 0xf94c 0xf8f2 0xf8d6 0xf8b4 0xf8ca 0xf902 0xf987 0xf9ba 0xfa25 0xfa98 0xfb39 0xfbe0 
0xfba6 0xfb11 0xfa96 0xfa30 0xf9a6 0xf971 0xf948 0xf92c 0xf94c 0xf98a 0xf9d1 0xfa22 0xfa85 0xfb04 0xfb9a 0xfc33 
0xfba5 0xfb24 0xfac0 0xfa64 0xfa04 0xf9b4 0xf995 0xf980 0xf9b4 0xf9ce 0xfa3b 0xfa76 0xfad7 0xfb42 0xfbdd 0xfcb1 
0xfc61 0xfb40 0xfb0d 0xfaa0 0xfa5d 0xfa14 0xfa04 0xfa09 0xfa25 0xfa36 0xfaa4 0xfae0 0xfb33 0xfb9a 0xfc62 0xfdc6 
0x50d3 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdda 0xf58a 0x1ef1 0xd945 0xfffa 0xfffa 0x0003 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05be 0x16f8 0x16f8 0x16f8 0x16f8 0x16f7 0x16f7 0x16f7 0xfdd9 0xce1c 0xd0e1 0xd8ec 0xfff9 0xfff7 0x0004 0x0005 
