1728235109
0xfc41 0xfbd8 0xfb9c 0xfb45 0xfae1 0xfaa2 0xfa8c 0xfa68 0xfa67 0xfa79 0xfab8 0xfb12 0xfb42 0xfb80 0xfc05 0xfcb8 
0xfc29 0xfbc5 0xfb66 0xfb06 0xfaa0 0xfa50 0xfa2a 0xfa25 0xfa06 0xfa25 0xfa65 0xfaaf 0xfb13 0xfb73 0xfbe3 0xfc56 
0xfbd8 0xfb71 0xfb00 0xfa90 0xfa3e 0xf9d2 0xf9c8 0xf9b0 0xf998 0xf9a8 0xfa01 0xfa66 0xfaa8 0xfb11 0xfba5 0xfc1d 
0xfbce 0xfb46 0xfad6 0xfa71 0xf9df 0xf9ac 0xf97a 0xf961 0xf969 0xf97f 0xf9f7 0xfa39 0xfaa1 0xfb09 0xfba9 0xfc37 
0xfba6 0xfb17 0xfa9c 0xfa38 0xf9b8 0xf953 0xf924 0xf917 0xf91e 0xf93a 0xf997 0xf9e4 0xfa4d 0xfada 0xfb78 0xfbe6 
0xfbaa 0xfb1d 0xfaa6 0xfa31 0xf993 0xf941 0xf925 0xf8ee 0xf90b 0xf93c 0xf983 0xf9e6 0xfa70 0xfaf2 0xfb71 0xfbee 
0xfb7f 0xfafd 0xfa8a 0xfa04 0xf9a1 0xf929 0xf8f8 0xf91c 0xf8e7 0xf922 0xf998 0xf9e9 0xfa6b 0xfae1 0xfb71 0xfc01 
0xfba3 0xfb20 0xfac4 0xfa5b 0xf9c0 0xf97d 0xf95b 0xf926 0xf92a 0xf963 0xf9c4 0xfa1e 0xfa8e 0xfb0e 0xfb9b 0xfc1c 
0xfb9a 0xfb2f 0xfaba 0xfa71 0xf9f2 0xf9ff 0xf96f 0xf962 0xf95c 0xf990 0xf9dd 0xfa5c 0xfa9d 0xfb28 0xfba8 0xfc3b 
0xfbd9 0xfb77 0xfb0a 0xfaaa 0xfa70 0xfa16 0xf9e0 0xf9d4 0xf9cb 0xf9ef 0xfa51 0xfabc 0xfb0a 0xfb67 0xfbf2 0xfc83 
0xfc26 0xfb82 0xfb36 0xfaec 0xfaa4 0xfa7e 0xfa44 0xfa34 0xfa14 0xfa4d 0xfaad 0xfafb 0xfb4b 0xfbbf 0xfc2a 0xfd23 
0xfcb7 0xfbb6 0xfb74 0xfb1f 0xfc0b 0x0ce2 0xfac1 0xfa81 0xfa82 0xfab9 0xfb1e 0xfb47 0xfba9 0xfc02 0xfcbd 0xfddc 
0x5652 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfde5 0xf5b2 0x2001 0xd78e 0xfff9 0xfff7 0x0005 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c9 0x1724 0x1724 0x1724 0x1724 0x1723 0x1723 0x1723 0xfde3 0xcb91 0xce39 0xd6fe 0xfffc 0xfff5 0x0008 0x000c 
