1728235139
0xfd02 0xfc0c 0xfbdb 0xfb82 0xfb35 0xfaff 0xfaea 0xfb1b 0xfc46 0xfc78 0xfcfa 0xfd94 0xfd8c 0xfdab 0xfdd3 0xfde6 
0xfc61 0xfbe2 0xfb95 0xfb3d 0xfaee 0xfa9e 0xfa81 0xfa69 0xfb0c 0xfc23 0xfcdf 0xfd60 0xfda7 0xfd98 0xfdbd 0xfde9 
0xfc0c 0xfb97 0xfb49 0xfaea 0xfa95 0xfa49 0xfa14 0xfa16 0xfa0b 0xfb13 0xfc5c 0xfd09 0xfd81 0xfd88 0xfda7 0xfdbb 
0xfbfe 0xfb7f 0xfb24 0xfab8 0xfa4d 0xf9fd 0xf9d2 0xf9be 0xf9bb 0xf9fa 0xfb84 0xfcb2 0xfd59 0xfd83 0xfd9c 0xfdae 
0xfbca 0xfb38 0xfae3 0xfa7f 0xfa0f 0xf9ba 0xf994 0xf990 0xf97b 0xf9bc 0xfa28 0xfbfe 0xfccb 0xfd7b 0xfd7b 0xfd96 
0xfbb7 0xfb4e 0xfae0 0xfa6f 0xfa00 0xf9af 0xf9a0 0xf96b 0xf96a 0xf9a0 0xf9ea 0xfa5f 0xfc3c 0xfd14 0xfd91 0xfda1 
0xfbaa 0xfb25 0xfac3 0xfa5a 0xf9ed 0xf98a 0xf975 0xf97a 0xf94b 0xf978 0xf9bb 0xfa18 0xfac5 0xfc4a 0xfd5f 0xfd81 
0xfbba 0xfb40 0xfae9 0xfa6b 0xfa0a 0xf9c8 0xf9c6 0xf995 0xf97c 0xf9b5 0xf9f3 0xfa3b 0xfa95 0xfb49 0xfcd4 0xfd8c 
0xfbb2 0xfb41 0xfaf1 0xfa93 0xfa31 0xf9d8 0xf9a4 0xf9af 0xf9c0 0xf9b7 0xfa0c 0xfa89 0xfab2 0xfb0e 0xfbe5 0xfd34 
0xfbd1 0xfb72 0xfb20 0xfac3 0xfa69 0xfa31 0xfa2e 0xf9f0 0xfa11 0xfa14 0xfa81 0xfac8 0xfaf9 0xfb5a 0xfbd8 0xfc65 
0xfbdb 0xfb7f 0xfb41 0xfb08 0xfab9 0xfa6b 0xfa68 0xfa3d 0xfa41 0xfa7d 0xfa93 0xfad0 0xfb33 0xfb7f 0xfbf2 0xfc5e 
0xfc55 0xfb8f 0xfb65 0xfb02 0xfacd 0xfaa1 0xfaa9 0xfa91 0xfa9a 0xfac2 0xfaf6 0xfb26 0xfb7c 0xfbc5 0xfc27 0xfc7e 
0x57dd 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd49 0xf551 0x2219 0xd7fb 0xfffe 0xfffe 0x0009 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0579 0x15e7 0x15e7 0x15e7 0x15e7 0x15e6 0x15e6 0x15e6 0xfd44 0xcc41 0xcf26 0xd725 0xfffd 0xfffb 0x000b 0x000a 
