1728235169
0xfd08 0xfc10 0xfbe3 0xfb86 0xfb38 0xfb0a 0xfafc 0xfbc4 0xfc75 0xfcca 0xfd11 0xfd45 0xfd97 0xfdcf 0xfdf1 0xfe05 
0xfc67 0xfbed 0xfb97 0xfb44 0xfaf3 0xfaa9 0xfa8d 0xfb0d 0xfc3f 0xfc84 0xfcf6 0xfd28 0xfd88 0xfdcc 0xfdff 0xfe1a 
0xfc0f 0xfb9d 0xfb4d 0xfaef 0xfa9a 0xfa53 0xfa1d 0xfa48 0xfbdb 0xfc20 0xfcae 0xfd4d 0xfd67 0xfd75 0xfdd7 0xfe0c 
0xfc02 0xfb85 0xfb26 0xfac0 0xfa54 0xfa07 0xf9dd 0xf9ce 0xfaf3 0xfc16 0xfcad 0xfd58 0xfd6e 0xfd8c 0xfdbc 0xfde7 
0xfbce 0xfb3a 0xfae8 0xfa88 0xfa16 0xf9c3 0xf99f 0xf99d 0xf9d8 0xfbce 0xfcac 0xfd67 0xfd57 0xfd9c 0xfdb9 0xfdee 
0xfbb8 0xfb54 0xfae3 0xfa79 0xfa08 0xf9ba 0xf9a9 0xf978 0xf979 0xfb0b 0xfc87 0xfd3d 0xfd4f 0xfd76 0xfdc5 0xfde9 
0xfbad 0xfb26 0xfac8 0xfa63 0xf9f4 0xf993 0xf980 0xf985 0xf957 0xf9dc 0xfc31 0xfd34 0xfd51 0xfd43 0xfda0 0xfdca 
0xfbbd 0xfb45 0xfaef 0xfa70 0xfa0f 0xf9d0 0xf9d2 0xf99e 0xf989 0xf9c5 0xfb50 0xfcdb 0xfd67 0xfd50 0xfd79 0xfdcc 
0xfbb7 0xfb41 0xfaf1 0xfa9b 0xfa39 0xf9e1 0xf9ab 0xf9b8 0xf9ca 0xf9c4 0xfa37 0xfc42 0xfd4d 0xfd27 0xfd68 0xfd9b 
0xfbd3 0xfb77 0xfb24 0xfac7 0xfa6e 0xfa37 0xfa32 0xf9f7 0xfa1d 0xfa1b 0xfa9f 0xfb50 0xfcda 0xfd4a 0xfd68 0xfdaf 
0xfbdf 0xfb7e 0xfb45 0xfb09 0xfabf 0xfa71 0xfa6f 0xfa45 0xfa48 0xfa8a 0xfaaa 0xfaf2 0xfbeb 0xfd25 0xfd5d 0xfda9 
0xfc56 0xfb94 0xfb64 0xfb03 0xfacd 0xfaa5 0xfaad 0xfa96 0xfa9c 0xface 0xfb02 0xfb38 0xfba4 0xfc79 0xfd94 0xfdb0 
0x57db 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd5b 0xf550 0x2216 0xd7fb 0xfffd 0xffff 0x0008 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057a 0x15e9 0x15e9 0x15e9 0x15e9 0x15e8 0x15e8 0x15e8 0xfd5c 0xcc3f 0xcf25 0xd723 0x0002 0xfffc 0x000a 0x000b 
