1728235169
0xfbdb 0xfb6a 0xfb2b 0xfad1 0xfa61 0xfa21 0xfa0c 0xf9e5 0xf9e2 0xf9f6 0xfa3e 0xfa9c 0xface 0xfb0c 0xfba2 0xfc5a 
0xfbbc 0xfb53 0xfaf1 0xfa8a 0xfa1d 0xf9c8 0xf9a1 0xf99d 0xf97d 0xf99e 0xf9e2 0xfa30 0xfa97 0xfafd 0xfb76 0xfbf4 
0xfb66 0xfafa 0xfa85 0xfa0c 0xf9b4 0xf941 0xf93c 0xf91d 0xf906 0xf915 0xf977 0xf9e4 0xfa26 0xfa97 0xfb38 0xfbb8 
0xfb57 0xfacb 0xfa55 0xf9e9 0xf94e 0xf918 0xf8e8 0xf8cc 0xf8d2 0xf8e7 0xf96d 0xf9b3 0xfa1b 0xfa8a 0xfb49 0xfbd5 
0xfb30 0xfa99 0xfa16 0xf9ab 0xf924 0xf8ba 0xf88d 0xf87d 0xf886 0xf89f 0xf905 0xf959 0xf9c5 0xfa56 0xfb03 0xfb78 
0xfb34 0xfaa0 0xfa20 0xf9a3 0xf8fb 0xf8a5 0xf88c 0xf853 0xf86e 0xf8a2 0xf8ed 0xf95b 0xf9ec 0xfa72 0xfafa 0xfb7f 
0xfb07 0xfa7a 0xfa06 0xf975 0xf90c 0xf88c 0xf85d 0xf881 0xf848 0xf888 0xf906 0xf95b 0xf9e4 0xfa61 0xfafc 0xfb92 
0xfb2a 0xfaa0 0xfa43 0xf9d4 0xf92a 0xf8e7 0xf8c4 0xf88c 0xf88b 0xf8ca 0xf937 0xf991 0xfa08 0xfa8f 0xfb2d 0xfbae 
0xfb21 0xfab3 0xfa37 0xf9e9 0xf963 0xf973 0xf8d9 0xf8c9 0xf8c2 0xf8fb 0xf94d 0xf9d3 0xfa18 0xfaa9 0xfb34 0xfbd1 
0xfb61 0xfaff 0xfa8f 0xfa28 0xf9e9 0xf986 0xf951 0xf944 0xf93b 0xf963 0xf9cd 0xfa3d 0xfa8c 0xfaed 0xfb83 0xfc18 
0xfb8a 0xfb0c 0xfabd 0xfa73 0xfa18 0xf9d6 0xf9b5 0xf9ad 0xf988 0xf9c2 0xfa2a 0xfa81 0xfad0 0xfb4a 0xfbbf 0xfcc2 
0xfc2f 0xfb3e 0xfb06 0xfaa2 0xfa7d 0xfa27 0xfa2b 0xf9ff 0xf9ff 0xfa39 0xfaab 0xfacc 0xfb37 0xfb8e 0xfc5a 0xfd7f 
0x558f 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd6e 0xf5a9 0x1fad 0xd78d 0xfff6 0xfff8 0x0007 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05db 0x176d 0x176d 0x176d 0x176d 0x176c 0x176c 0x176c 0xfd6a 0xcb98 0xce3c 0xd701 0xfff7 0xfff5 0x0006 0x0007 
