1728235199
0xfd0a 0xfc0d 0xfbde 0xfb84 0xfb37 0xfafc 0xfae5 0xfac6 0xfade 0xfaf8 0xfc24 0xfc9d 0xfd1b 0xfd79 0xfdb2 0xfde0 
0xfc66 0xfbea 0xfb93 0xfb3f 0xfaf2 0xfaa1 0xfa80 0xfa65 0xfa5e 0xfaa6 0xfbff 0xfc7c 0xfd17 0xfd7e 0xfdbb 0xfdf5 
0xfc0e 0xfb9a 0xfb49 0xfaea 0xfa95 0xfa4a 0xfa12 0xfa12 0xfa00 0xfa30 0xfbb7 0xfc69 0xfcfd 0xfd5c 0xfdb4 0xfde7 
0xfc00 0xfb81 0xfb24 0xfabd 0xfa52 0xfa00 0xf9d1 0xf9bc 0xf9ba 0xf9ed 0xfb92 0xfc47 0xfcea 0xfd24 0xfd94 0xfdd6 
0xfbce 0xfb37 0xfae5 0xfa83 0xfa13 0xf9bc 0xf996 0xf991 0xf97c 0xf9bd 0xfb27 0xfc20 0xfc9e 0xfd05 0xfd82 0xfdc7 
0xfbb8 0xfb4f 0xfae1 0xfa71 0xfa03 0xf9b4 0xf99f 0xf96f 0xf96a 0xf9a4 0xfaba 0xfbf3 0xfc84 0xfd03 0xfd97 0xfdfc 
0xfba9 0xfb26 0xfac4 0xfa5f 0xf9ee 0xf98b 0xf976 0xf97c 0xf94b 0xf97c 0xfa2f 0xfbfc 0xfcaf 0xfd30 0xfd70 0xfded 
0xfbba 0xfb46 0xfaeb 0xfa6a 0xfa0b 0xf9c9 0xf9c9 0xf996 0xf982 0xf9b9 0xfa2d 0xfc14 0xfcfd 0xfd5c 0xfd85 0xfdd8 
0xfbb2 0xfb3e 0xfaef 0xfa96 0xfa35 0xf9d9 0xf9a4 0xf9ae 0xf9c2 0xf9be 0xfa17 0xfc13 0xfd13 0xfd47 0xfdad 0xfdcb 
0xfbd3 0xfb73 0xfb20 0xfac2 0xfa6c 0xfa31 0xfa30 0xf9f2 0xfa16 0xfa10 0xfa80 0xfc10 0xfd32 0xfd5b 0xfdaf 0xfde2 
0xfbde 0xfb7d 0xfb42 0xfb06 0xfabc 0xfa6c 0xfa6b 0xfa3e 0xfa41 0xfa6f 0xfaba 0xfb68 0xfd1a 0xfd3b 0xfd83 0xfdcf 
0xfc58 0xfb8f 0xfb60 0xfafe 0xfacc 0xfaa0 0xfaa9 0xfa92 0xfa93 0xfadb 0xfb07 0xfb57 0xfce7 0xfd36 0xfd79 0xfdc1 
0x57d6 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd5c 0xf551 0x2215 0xd7fb 0xfffd 0xfffc 0x0009 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057a 0x15eb 0x15eb 0x15eb 0x15eb 0x15ea 0x15ea 0x15ea 0xfd5b 0xcc3e 0xcf24 0xd723 0xffff 0xfffa 0x0009 0x000a 
