1728235229
0xfcff 0xfc03 0xfbd6 0xfb7a 0xfb29 0xfaf2 0xfadb 0xfab9 0xfacc 0xfacd 0xfb04 0xfb31 0xfb75 0xfbce 0xfce0 0xfd3e 
0xfc5a 0xfbdd 0xfb8d 0xfb36 0xfae3 0xfa92 0xfa74 0xfa56 0xfa4b 0xfa7d 0xfacb 0xfaf1 0xfb4b 0xfb97 0xfca1 0xfd33 
0xfc02 0xfb8e 0xfb3e 0xfae2 0xfa88 0xfa3b 0xfa05 0xfa05 0xf9ee 0xfa11 0xfa53 0xfaa2 0xfae6 0xfb55 0xfc81 0xfd04 
0xfbf3 0xfb74 0xfb1b 0xfab2 0xfa41 0xf9ed 0xf9c0 0xf9ab 0xf9a7 0xf9cd 0xfa26 0xfa64 0xfab1 0xfb23 0xfc67 0xfcf9 
0xfbc0 0xfb2d 0xfada 0xfa77 0xfa01 0xf9a8 0xf984 0xf97d 0xf966 0xf9a6 0xf9e7 0xfa2a 0xfa6b 0xfaff 0xfc56 0xfcf6 
0xfbac 0xfb43 0xfad5 0xfa64 0xf9f1 0xf99e 0xf98e 0xf95d 0xf957 0xf98e 0xf9d7 0xfa0b 0xfa6d 0xfb06 0xfc6b 0xfd24 
0xfb9e 0xfb16 0xfab6 0xfa50 0xf9da 0xf978 0xf967 0xf96a 0xf938 0xf967 0xf9a6 0xfa08 0xfa6c 0xfb05 0xfc72 0xfd1b 
0xfbaf 0xfb37 0xfadf 0xfa60 0xf9f7 0xf9b5 0xf9b9 0xf985 0xf96e 0xf9a5 0xf9e1 0xfa2d 0xfa83 0xfb33 0xfc75 0xfd29 
0xfba6 0xfb35 0xfae4 0xfa89 0xfa23 0xf9c7 0xf994 0xf99f 0xf9af 0xf9a8 0xf9f3 0xfa6c 0xfab3 0xfb53 0xfca0 0xfd30 
0xfbc9 0xfb67 0xfb15 0xfab9 0xfa5b 0xfa22 0xfa1e 0xf9e1 0xfa03 0xf9f9 0xfa4e 0xfae3 0xfb18 0xfbc1 0xfcf3 0xfd6e 
0xfbd0 0xfb71 0xfb3a 0xfafe 0xfaab 0xfa5c 0xfa5e 0xfa32 0xfa33 0xfa4f 0xfab0 0xfad7 0xfb32 0xfc04 0xfd26 0xfd7c 
0xfc48 0xfb86 0xfb58 0xfaf4 0xfabb 0xfa94 0xfa9e 0xfa88 0xfa84 0xfac5 0xfafc 0xfb23 0xfb76 0xfc64 0xfd3c 0xfd88 
0x57d2 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd3f 0xf54e 0x2215 0xd7fc 0xfffb 0xfffb 0x0008 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057b 0x15ec 0x15ec 0x15ec 0x15ec 0x15eb 0x15eb 0x15eb 0xfd41 0xcc3f 0xcf27 0xd723 0xfffd 0xfffa 0x000b 0x000a 
