1728235259
0xfdec 0xfdcc 0xfdc1 0xfdc2 0xfdc7 0xfdca 0xfdd3 0xfdd7 0xfdb4 0xfda2 0xfd8c 0xfdb3 0xfdde 0xfdf2 0xfe18 0xfe56 
0xfe05 0xfde6 0xfdce 0xfdb1 0xfdb1 0xfdb6 0xfdd2 0xfdbf 0xfdaa 0xfd8f 0xfd70 0xfd76 0xfde9 0xfe0a 0xfe27 0xfe44 
0xfdda 0xfdc2 0xfd93 0xfd92 0xfd6a 0xfd67 0xfd92 0xfd96 0xfd59 0xfd5d 0xfd47 0xfd74 0xfdc2 0xfde5 0xfe06 0xfe27 
0xfddf 0xfdc2 0xfda2 0xfd77 0xfd62 0xfd4a 0xfd77 0xfd6d 0xfd36 0xfd32 0xfd47 0xfd7b 0xfdad 0xfdfa 0xfe16 0xfe34 
0xfda4 0xfd94 0xfd6f 0xfd45 0xfd23 0xfd01 0xfd15 0xfd2a 0xfcb3 0xfce1 0xfd4b 0xfd64 0xfda9 0xfdd8 0xfdef 0xfe0a 
0xfda2 0xfd8b 0xfd67 0xfd31 0xfd19 0xfcf7 0xfcfa 0xfd02 0xfcc1 0xfd0c 0xfd2c 0xfd75 0xfd9e 0xfdbc 0xfdd7 0xfdf0 
0xfd5a 0xfd5f 0xfd3a 0xfd00 0xfcdd 0xfc9f 0xfc75 0xfcb8 0xfcb6 0xfceb 0xfd18 0xfd50 0xfd30 0xfd7a 0xfda6 0xfdb8 
0xfcdd 0xfd4f 0xfd42 0xfcfb 0xfcb2 0xfc65 0xfc7c 0xfca2 0xfca6 0xfcb9 0xfd2c 0xfd1f 0xfd1e 0xfd69 0xfda9 0xfdab 
0xfc57 0xfcad 0xfd06 0xfcb6 0xfc63 0xfc48 0xfc2c 0xfc82 0xfc73 0xfc97 0xfcdd 0xfcee 0xfd14 0xfd38 0xfd6b 0xfd82 
0xfc5f 0xfc26 0xfc6b 0xfc8d 0xfc37 0xfc38 0xfc2f 0xfc5e 0xfc7c 0xfcad 0xfcad 0xfcd5 0xfd0c 0xfd3f 0xfd79 0xfd48 
0xfc2d 0xfbee 0xfbbd 0xfbc8 0xfbee 0xfbee 0xfbfc 0xfbfd 0xfc29 0xfc58 0xfc77 0xfca6 0xfd14 0xfd1a 0xfce3 0xfd1b 
0xfc3f 0xfbe3 0xfbc9 0xfb73 0xfb56 0xfb5c 0xfba8 0xfbc4 0xfc0e 0xfc0c 0xfc46 0xfc5a 0xfc72 0xfc85 0xfcdf 0xfda0 
0x53ef 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdfc 0xf5b2 0x1f09 0xd76b 0xffff 0xffff 0x0005 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05aa 0x16a8 0x16a8 0x16a8 0x16a8 0x16a7 0x16a7 0x16a7 0xfdfb 0xccc4 0xcecc 0xd7ed 0xffff 0xfffc 0x0007 0x000a 
