1728235259
0xfd04 0xfcbd 0xfc7c 0xfc56 0xfbf8 0xfbc2 0xfb63 0xf9d7 0xf955 0xf956 0xf99b 0xf9de 0xfa3d 0xfa9b 0xfb43 0xfc6c 
0xfd00 0xfcc1 0xfc81 0xfc27 0xfbc7 0xfb97 0xfb58 0xfa4f 0xf8d0 0xf8ca 0xf91c 0xf977 0xf9d7 0xfa69 0xfb06 0xfb8f 
0xfcca 0xfc76 0xfc49 0xfc02 0xfb82 0xfb46 0xfb14 0xfa8e 0xf885 0xf856 0xf8a0 0xf902 0xf963 0xf9fc 0xfaab 0xfb49 
0xfcf1 0xfc87 0xfc35 0xfbf1 0xfb6c 0xfb1a 0xfb14 0xface 0xf8f3 0xf7f6 0xf84e 0xf8d2 0xf938 0xf9df 0xfa91 0xfb24 
0xfcc9 0xfc6d 0xfc11 0xfbb6 0xfb45 0xfb05 0xfaf3 0xfaa7 0xf96c 0xf7b0 0xf800 0xf86e 0xf906 0xf977 0xfa35 0xfafd 
0xfccd 0xfc79 0xfc22 0xfbb9 0xfb46 0xfb00 0xfae4 0xfac3 0xfa0c 0xf7c5 0xf823 0xf871 0xf8f1 0xf9c3 0xfa4a 0xfaf3 
0xfcac 0xfc5d 0xfc17 0xfbc6 0xfb59 0xfaeb 0xfac8 0xfabb 0xfa7c 0xf7e6 0xf823 0xf872 0xf8f3 0xf995 0xfa53 0xfb18 
0xfcaa 0xfc5e 0xfc29 0xfbdb 0xfb80 0xfb37 0xfb1f 0xfb06 0xfade 0xf843 0xf82b 0xf892 0xf935 0xf9c5 0xfa85 0xfb37 
0xfc92 0xfc52 0xfc1b 0xfbe4 0xfb84 0xfb54 0xfb4b 0xfb33 0xfb20 0xf89d 0xf8cb 0xf8f4 0xf964 0xf9e9 0xfaa0 0xfb55 
0xfca4 0xfc72 0xfc49 0xfc18 0xfbc7 0xfbb0 0xfba5 0xfb95 0xfb62 0xf936 0xf91d 0xf969 0xf9d6 0xfa64 0xfb0c 0xfbb9 
0xfcba 0xfc84 0xfc59 0xfc33 0xfc01 0xfbd9 0xfbcc 0xfbc8 0xfb4e 0xf969 0xf999 0xf9ca 0xfa37 0xfaad 0xfb5b 0xfc4b 
0xfd0d 0xfc88 0xfc84 0xfc49 0xfc27 0xfc04 0xfc08 0xfc02 0xfb24 0xf9c9 0xfa14 0xfa46 0xfa9e 0xfb14 0xfbf2 0xfd85 
0x4e77 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdaf 0xf56d 0x1de8 0xd939 0xfff6 0xfff7 0x0001 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05f7 0x17dc 0x17dc 0x17dc 0x17dc 0x17db 0x17db 0x17db 0xfdad 0xce2f 0xd0dc 0xd8ea 0xfff6 0xfff2 0x0005 0x0006 
