1728235259
0xfbdb 0xfb68 0xfb29 0xfac9 0xfa56 0xfa15 0xf9fe 0xf9d6 0xf9d2 0xf9e5 0xfa30 0xfa92 0xfac7 0xfb07 0xfba3 0xfc64 
0xfbbf 0xfb52 0xfaec 0xfa81 0xfa0e 0xf9b8 0xf98f 0xf987 0xf966 0xf98a 0xf9ce 0xfa20 0xfa8d 0xfaf9 0xfb76 0xfbf5 
0xfb66 0xfaf5 0xfa7e 0xfa01 0xf99f 0xf92e 0xf925 0xf907 0xf8ea 0xf8fe 0xf960 0xf9d3 0xfa15 0xfa8c 0xfb33 0xfbbb 
0xfb58 0xfac5 0xfa4c 0xf9dd 0xf93a 0xf901 0xf8cd 0xf8b0 0xf8b8 0xf8ce 0xf955 0xf9a0 0xfa0a 0xfa7f 0xfb49 0xfbd5 
0xfb30 0xfa91 0xfa0c 0xf99c 0xf90a 0xf8a0 0xf86e 0xf85f 0xf866 0xf882 0xf8ee 0xf942 0xf9b1 0xfa4a 0xfaff 0xfb76 
0xfb2f 0xfa96 0xfa16 0xf98f 0xf8e4 0xf889 0xf86e 0xf834 0xf84e 0xf881 0xf8d5 0xf941 0xf9d6 0xfa64 0xfaf4 0xfb7c 
0xfb04 0xfa72 0xf9f7 0xf963 0xf8f3 0xf871 0xf83e 0xf866 0xf827 0xf867 0xf8ec 0xf945 0xf9ce 0xfa52 0xfaf4 0xfb90 
0xfb28 0xfa9b 0xfa38 0xf9c3 0xf914 0xf8ca 0xf8a6 0xf870 0xf86e 0xf8ac 0xf91c 0xf97d 0xf9f6 0xfa83 0xfb25 0xfbae 
0xfb20 0xfaad 0xfa2e 0xf9da 0xf94e 0xf95b 0xf8c3 0xf8b2 0xf8a7 0xf8e2 0xf938 0xf9c2 0xfa0a 0xfaa2 0xfb31 0xfbd1 
0xfb72 0xfb00 0xfa88 0xfa1c 0xf9d7 0xf973 0xf93c 0xf930 0xf921 0xf94b 0xf9ba 0xfa2d 0xfa7e 0xfae4 0xfb80 0xfc1d 
0x0160 0xfb18 0xfab8 0xfa6c 0xfa0e 0xf9c5 0xf9a3 0xf99a 0xf97a 0xf9b0 0xfa1e 0xfa74 0xfaca 0xfb45 0xfbc3 0xfcce 
0xfcfc 0xfb43 0xfb06 0xfa99 0xfa73 0xfa19 0xfa1f 0xf9f1 0xf9f2 0xfa2b 0xfaa2 0xfac7 0xfb35 0xfb90 0xfc63 0xfd97 
0x54b9 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9a 0xf59e 0x1f50 0xd78c 0xfff5 0xfff6 0x0005 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05ef 0x17bc 0x17bc 0x17bc 0x17bc 0x17bb 0x17bb 0x17bb 0xfd97 0xcba0 0xce3f 0xd704 0xfff7 0xfff3 0x0009 0x0009 
