1728235319
0xfcf3 0xfc9d 0xfc5b 0xfc35 0xfbd5 0xfb9f 0xfb92 0xfa7c 0xf92e 0xf92b 0xf976 0xf9c0 0xfa23 0xfa8d 0xfd08 0xfcda 
0xfce1 0xfc8f 0xfc43 0xfbf9 0xfb96 0xfb50 0xfb31 0xfa42 0xf88b 0xf896 0xf8ef 0xf951 0xf9b9 0xfa66 0x0415 0xfc82 
0xfc8e 0xfc38 0xfbff 0xfbc7 0xfb49 0xfafc 0xfab6 0xf9fb 0xf7f1 0xf818 0xf86c 0xf8d5 0xf941 0xf9e3 0xfaa4 0xfb3d 
0xfca4 0xfc3d 0xfbea 0xfbac 0xfb27 0xfab9 0xfa7e 0xf9ab 0xf797 0xf7ac 0xf816 0xf8a2 0xf913 0xf9c1 0xfa76 0xfb13 
0xfc72 0xfbff 0xfbc2 0xfb6c 0xfafb 0xfa99 0xfa14 0xf923 0xf722 0xf75e 0xf7c2 0xf83c 0xf8db 0xf954 0xfa17 0xfae7 
0xfc75 0xfc07 0xfbb3 0xfb67 0xfae8 0xfa92 0xfa30 0xf8de 0xf713 0xf761 0xf7e3 0xf83d 0xf8c7 0xf9a2 0xfa28 0xfadf 
0xfc5a 0xfbf3 0xfb98 0xfb47 0xfae9 0xfa74 0xfa40 0xf830 0xf723 0xf75c 0xf7df 0xf83c 0xf8ca 0xf971 0xfa37 0xfb05 
0xfc6d 0xfc0c 0xfbba 0xfb68 0xfb18 0xfa9d 0xfa43 0xf7dd 0xf754 0xf78d 0xf7e6 0xf85a 0xf90b 0xf9a4 0xfa67 0xfb20 
0xfc66 0xfc07 0xfbbe 0xfb7c 0xfb02 0xfaca 0xfa45 0xf7c0 0xf7a6 0xf7dd 0xf87a 0xf8bb 0xf93c 0xf9c8 0xfa83 0xfb41 
0xfc90 0xfc39 0xfbee 0xfbad 0xfb49 0xfb1c 0xfa04 0xf82f 0xf83c 0xf881 0xf8d5 0xf936 0xf9b4 0xfa49 0xfaf1 0xfba9 
0xfc8e 0xfc44 0xfc09 0xfbd3 0xfb8e 0xfb41 0xf95d 0xf88c 0xf8ba 0xf8dd 0xf959 0xf99d 0xfa17 0xfa91 0xfb46 0xfc40 
0xfcee 0xfc47 0xfc31 0xfbed 0xfbbb 0xfb09 0xf962 0xf934 0xf94a 0xf95c 0xf9d7 0xfa20 0xfa86 0xfaff 0xfbe0 0xfd8c 
0x4db0 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc5 0xf564 0x1d95 0xd936 0xfff8 0xfffa 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x060a 0x1829 0x1829 0x1829 0x1829 0x1828 0x1828 0x1828 0xfdc0 0xce33 0xd0d9 0xd8e8 0xfff9 0xfff5 0xffff 0x0003 
