1728235349
0xfd00 0xfc05 0xfbdd 0xfb7e 0xfb2f 0xfaf8 0xfae2 0xfac2 0xfad4 0xfad9 0xfb91 0xfc91 0xfd31 0xfd81 0xfdcc 0xfded 
0xfc5f 0xfbe0 0xfb90 0xfb39 0xfae6 0xfa95 0xfa7a 0xfa5e 0xfa54 0xfa86 0xfaf3 0xfc00 0xfcde 0xfd4d 0xfdb4 0xfdea 
0xfc07 0xfb92 0xfb44 0xfae3 0xfa8e 0xfa42 0xfa0c 0xfa0d 0xf9f7 0xfa19 0xfa5f 0xfb56 0xfc4f 0xfcf6 0xfd94 0xfdda 
0xfbfc 0xfb79 0xfb1c 0xfab5 0xfa45 0xf9f4 0xf9ca 0xf9b3 0xf9b0 0xf9d8 0xfa30 0xfaa0 0xfbdd 0xfca9 0xfd58 0xfdc6 
0xfbc5 0xfb32 0xfae0 0xfa7c 0xfa07 0xf9b3 0xf98b 0xf989 0xf971 0xf9ad 0xf9f3 0xfa3a 0xfb34 0xfc6d 0xfd26 0xfdac 
0xfbb0 0xfb4a 0xfadd 0xfa6a 0xf9f8 0xf9a8 0xf998 0xf964 0xf95e 0xf994 0xf9de 0xfa11 0xfab4 0xfc39 0xfd13 0xfda8 
0xfba5 0xfb1f 0xfabe 0xfa58 0xf9e1 0xf980 0xf96c 0xf973 0xf940 0xf96e 0xf9b1 0xfa11 0xfa7c 0xfbb4 0xfce8 0xfd83 
0xfbb5 0xfb3b 0xfae6 0xfa65 0xfa01 0xf9be 0xf9bf 0xf98e 0xf974 0xf9ac 0xf9ea 0xfa36 0xfa8b 0xfb54 0xfcca 0xfd7e 
0xfbac 0xfb3a 0xfaec 0xfa90 0xfa2c 0xf9cf 0xf99e 0xf9a6 0xf9b5 0xf9af 0xfa0c 0xfa7b 0xfaac 0xfb0c 0xfc83 0xfd59 
0xfbce 0xfb6f 0xfb19 0xfabf 0xfa60 0xfa28 0xfa28 0xf9ea 0xfa0b 0xfa13 0xfa80 0xfabd 0xfaf1 0xfb57 0xfc14 0xfd43 
0xfbd6 0xfb78 0xfb41 0xfb05 0xfab3 0xfa63 0xfa65 0xfa39 0xfa38 0xfa76 0xfa8d 0xfacb 0xfb2f 0xfb7a 0xfbf8 0xfd0b 
0xfc52 0xfb88 0xfb61 0xfaf9 0xfac3 0xfa9a 0xfaa2 0xfa8d 0xfa9c 0xfab8 0xfaf4 0xfb24 0xfb77 0xfbc0 0xfc27 0xfcb6 
0x57d5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd47 0xf550 0x2215 0xd7fd 0xfffc 0xfffd 0x000c 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057a 0x15eb 0x15eb 0x15eb 0x15eb 0x15ea 0x15ea 0x15ea 0xfd45 0xcc41 0xcf27 0xd725 0xffff 0xfff8 0x000b 0x000d 
