1728235379
0xfd02 0xfc0c 0xfbdd 0xfb80 0xfb32 0xfafe 0xfae9 0xfb27 0xfc30 0xfce0 0xfd53 0xfd96 0xfdc3 0xfdd7 0xfe00 0xfe0b 
0xfc61 0xfbe2 0xfb93 0xfb3c 0xfaec 0xfa9f 0xfa81 0xfa6b 0xfb0b 0xfc29 0xfce4 0xfd56 0xfdb6 0xfdd9 0xfdff 0xfe13 
0xfc0b 0xfb94 0xfb44 0xfae8 0xfa93 0xfa48 0xfa10 0xfa15 0xfa0e 0xfb03 0xfc13 0xfcde 0xfd61 0xfdb2 0xfdf2 0xfe14 
0xfbfc 0xfb7e 0xfb1e 0xfab5 0xfa4a 0xf9fc 0xf9cf 0xf9bc 0xf9b9 0xf9fe 0xfb4c 0xfc77 0xfd0f 0xfd91 0xfdf5 0xfe23 
0xfbc7 0xfb34 0xfae0 0xfa7d 0xfa0d 0xf9b8 0xf992 0xf98e 0xf979 0xf9b5 0xfa24 0xfb93 0xfc8a 0xfd2b 0xfdc2 0xfe1c 
0xfbb3 0xfb4b 0xfadc 0xfa6c 0xf9fa 0xf9ac 0xf99c 0xf96a 0xf967 0xf99f 0xf9e6 0xfa5d 0xfbfe 0xfced 0xfd7e 0xfdf1 
0xfba7 0xfb20 0xfac2 0xfa58 0xf9e7 0xf986 0xf972 0xf978 0xf945 0xf976 0xf9b6 0xfa17 0xfac3 0xfc46 0xfd5d 0xfdb8 
0xfbb8 0xfb41 0xfae9 0xfa66 0xfa0a 0xf9c3 0xf9c5 0xf98f 0xf97c 0xf9b0 0xf9f1 0xfa3c 0xfa90 0xfb3f 0xfcc3 0xfdc3 
0xfbaf 0xfb3d 0xfaf0 0xfa94 0xfa30 0xf9d4 0xf9a1 0xf9aa 0xf9ba 0xf9b4 0xfa08 0xfa88 0xfaaf 0xfb0a 0xfbd9 0xfd31 
0xfbd0 0xfb72 0xfb1c 0xfac2 0xfa67 0xfa2c 0xfa2d 0xf9ec 0xfa0f 0xfa12 0xfa83 0xfac2 0xfaf7 0xfb5b 0xfbd5 0xfc60 
0xfbd9 0xfb7c 0xfb3f 0xfb06 0xfab7 0xfa66 0xfa68 0xfa3b 0xfa3f 0xfa78 0xfa92 0xface 0xfb34 0xfb7d 0xfbf1 0xfc5f 
0xfc56 0xfb90 0xfb62 0xfaff 0xfac8 0xfaa1 0xfaa8 0xfa92 0xfa9e 0xfabf 0xfaf6 0xfb26 0xfb79 0xfbc8 0xfc28 0xfc7b 
0x57cb 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd4b 0xf550 0x2211 0xd7fb 0xfffd 0xfffe 0x0009 0x000c 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057b 0x15ee 0x15ee 0x15ee 0x15ee 0x15ed 0x15ed 0x15ed 0xfd4a 0xcc41 0xcf26 0xd723 0xfffd 0xfffa 0x000c 0x000a 
