1728235379
0xfb9c 0xfb1d 0xfad1 0xfa6e 0xf9f4 0xf9ae 0xf991 0xf96b 0xf964 0xf97b 0xf9c9 0xfa33 0xfa6f 0xfab7 0xfb58 0xfc29 
0xfb75 0xfaff 0xfa91 0xfa1d 0xf9a6 0xf944 0xf917 0xf914 0xf8f0 0xf916 0xf95f 0xf9b8 0xfa2b 0xfaa1 0xfb28 0xfbb2 
0xfb1a 0xfa9e 0xfa17 0xf994 0xf92b 0xf8b1 0xf8a6 0xf888 0xf86a 0xf881 0xf8e8 0xf960 0xf9ac 0xfa2b 0xfae2 0xfb71 
0xfb08 0xfa6a 0xf9e2 0xf96a 0xf8be 0xf87f 0xf846 0xf826 0xf832 0xf84a 0xf8d9 0xf92a 0xf99f 0xfa20 0xfaf7 0xfb92 
0xfada 0xfa32 0xf9a0 0xf927 0xf88b 0xf817 0xf7e1 0xf7d0 0xf7dc 0xf7f7 0xf86a 0xf8c4 0xf941 0xf9e4 0xfaa5 0xfb2a 
0xfad9 0xfa37 0xf9a6 0xf91b 0xf860 0xf7ff 0xf7e1 0xf7a1 0xf7c2 0xf7fa 0xf850 0xf8c6 0xf968 0xfa02 0xfa9c 0xfb2d 
0xfaaf 0xfa11 0xf98b 0xf8e9 0xf871 0xf7e4 0xf7ad 0xf7d7 0xf79b 0xf7df 0xf869 0xf8c9 0xf95f 0xf9ef 0xfa9b 0xfb43 
0xfad3 0xfa3b 0xf9ce 0xf953 0xf895 0xf847 0xf81d 0xf7e3 0xf7e5 0xf825 0xf89e 0xf907 0xf98e 0xfa22 0xfacf 0xfb65 
0xfad1 0xfa52 0xf9c6 0xf969 0xf8d8 0xf8df 0xf83c 0xf829 0xf820 0xf860 0xf8bc 0xf953 0xf9a3 0xfa45 0xfadb 0xfb8a 
0xfb14 0xfaa6 0xfa2a 0xf9b4 0xf96b 0xf8fe 0xf8c2 0xf8b5 0xf8aa 0xf8d5 0xf94a 0xf9c9 0xfa1f 0xfa8e 0xfb33 0xfbdb 
0xfb49 0xfab9 0xfa5e 0xfa0b 0xf9a6 0xf95b 0xf936 0xf928 0xf905 0xf946 0xf9ba 0xfa16 0xfa71 0xfaf8 0xfb7d 0xfc9c 
0xfc09 0xfaf7 0xfab3 0xfa43 0xfa1a 0xf9b9 0xf9bc 0xf98a 0xf990 0xf9c9 0xfa4b 0xfa6f 0xfae5 0xfb48 0xfc2b 0xfd78 
0x534a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd81 0xf58f 0x1eb3 0xd789 0xfff3 0xfff4 0x0004 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0611 0x1845 0x1845 0x1845 0x1845 0x1844 0x1844 0x1844 0xfd7e 0xcbb2 0xce42 0xd708 0xfff4 0xfff0 0x0005 0x0004 
