1728235409
0xfcfb 0xfc06 0xfbd7 0xfb7b 0xfb29 0xfaf6 0xfae3 0xfb2e 0xfc16 0xfcb3 0xfd2d 0xfd81 0xfda2 0xfdc0 0xfdf0 0xfdf6 
0xfc5d 0xfbe1 0xfb8d 0xfb37 0xfae1 0xfa94 0xfa7b 0xfa5f 0xfa9d 0xfba0 0xfc8e 0xfd26 0xfd8d 0xfdb4 0xfdeb 0xfe01 
0xfc02 0xfb8f 0xfb3f 0xfae2 0xfa8a 0xfa3f 0xfa0a 0xfa09 0xf9f5 0xfa43 0xfb54 0xfc72 0xfd0e 0xfd84 0xfddd 0xfdfc 
0xfbf5 0xfb77 0xfb17 0xfaae 0xfa42 0xf9f2 0xf9c3 0xf9b1 0xf9ae 0xf9d7 0xfa3e 0xfb32 0xfc66 0xfd11 0xfdb8 0xfdef 
0xfbc1 0xfb2e 0xfada 0xfa77 0xfa04 0xf9ad 0xf987 0xf983 0xf96c 0xf9a9 0xf9f0 0xfa36 0xfaea 0xfc5a 0xfd30 0xfdb3 
0xfba9 0xfb44 0xfad4 0xfa64 0xf9f0 0xf9a0 0xf98f 0xf95f 0xf959 0xf993 0xf9da 0xfa0d 0xfa74 0xfb0f 0xfc8c 0xfd9b 
0xfb9f 0xfb19 0xfab9 0xfa51 0xf9de 0xf97b 0xf968 0xf96d 0xf93b 0xf969 0xf9ab 0xfa0b 0xfa70 0xfacf 0xfb7d 0xfc96 
0xfbb0 0xfb36 0xfadf 0xfa5e 0xf9fc 0xf9ba 0xf9ba 0xf986 0xf970 0xf9a5 0xf9e2 0xfa2e 0xfa83 0xfaf5 0xfb74 0xfc05 
0xfba9 0xfb36 0xfae3 0xfa8a 0xfa27 0xf9c9 0xf998 0xf9a3 0xf9af 0xf9a8 0xf9f6 0xfa7c 0xfaa5 0xfafd 0xfb9e 0xfc04 
0xfbcc 0xfb6b 0xfb16 0xfabb 0xfa60 0xfa23 0xfa23 0xf9e2 0xfa07 0xfa01 0xfa70 0xfabd 0xfaed 0xfb52 0xfbc9 0xfc35 
0xfbd3 0xfb76 0xfb3b 0xfafe 0xfab0 0xfa61 0xfa62 0xfa33 0xfa36 0xfa6e 0xfa88 0xfac7 0xfb2a 0xfb73 0xfbeb 0xfc4f 
0xfc4e 0xfb87 0xfb5b 0xfaf7 0xfac0 0xfa99 0xfaa0 0xfa88 0xfa90 0xfab6 0xfaee 0xfb1e 0xfb72 0xfbbe 0xfc1f 0xfc77 
0x57be 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd3e 0xf54e 0x2209 0xd7fb 0xfffd 0xfffb 0x0008 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057d 0x15f4 0x15f4 0x15f4 0x15f4 0x15f2 0x15f2 0x15f2 0xfd39 0xcc42 0xcf28 0xd725 0xfffd 0xfff8 0x000b 0x0008 
