1728235409
0xfb8d 0xfb0d 0xfac7 0xfa5c 0xf9e0 0xf999 0xf97f 0xf955 0xf94e 0xf967 0xf9b6 0xfa23 0xfa5e 0xfaa8 0xfb4b 0xfc20 
0xfb66 0xfaf2 0xfa80 0xfa0b 0xf991 0xf92f 0xf901 0xf8fb 0xf8d9 0xf903 0xf94a 0xf9a4 0xfa1a 0xfa92 0xfb18 0xfba6 
0xfb09 0xfa8d 0xfa06 0xf97d 0xf915 0xf898 0xf88c 0xf86e 0xf852 0xf864 0xf8d0 0xf94b 0xf997 0xfa18 0xfad2 0xfb65 
0xfaf9 0xfa57 0xf9cc 0xf955 0xf8aa 0xf865 0xf82e 0xf80d 0xf818 0xf831 0xf8c1 0xf913 0xf98a 0xfa0a 0xfaed 0xfb87 
0xfacc 0xfa1f 0xf98b 0xf910 0xf872 0xf7ff 0xf7c5 0xf7b5 0xf7c3 0xf7de 0xf853 0xf8ae 0xf92b 0xf9cf 0xfa93 0xfb1b 
0xfacc 0xfa25 0xf994 0xf904 0xf84b 0xf7e3 0xf7c5 0xf787 0xf7a4 0xf7e0 0xf837 0xf8b0 0xf952 0xf9ee 0xfa8b 0xfb20 
0xfa9f 0xf9fe 0xf975 0xf8d2 0xf859 0xf7cd 0xf792 0xf7ba 0xf77c 0xf7c1 0xf854 0xf8b4 0xf94a 0xf9db 0xfa89 0xfb36 
0xfac2 0xfa2b 0xf9ba 0xf93c 0xf87e 0xf82d 0xf802 0xf7c9 0xf7ca 0xf80c 0xf886 0xf8f1 0xf978 0xfa11 0xfabf 0xfb56 
0xfabe 0xfa3f 0xf9b2 0xf956 0xf8c3 0xf8c8 0xf823 0xf810 0xf807 0xf845 0xf8a4 0xf93b 0xf98e 0xfa32 0xfacc 0xfb7f 
0xfb04 0xfa96 0xfa16 0xf9a3 0xf955 0xf8e7 0xf8a8 0xf89c 0xf88f 0xf8c0 0xf937 0xf9b4 0xfa0e 0xfa7d 0xfb25 0xfbcf 
0xfb3b 0xfaa8 0xfa4c 0xf9f9 0xf990 0xf947 0xf921 0xf914 0xf8ef 0xf92f 0xf9a5 0xfa05 0xfa61 0xfae7 0xfb6f 0xfc95 
0xfbfe 0xfae7 0xfaa4 0xfa31 0xfa06 0xf9a7 0xf9a8 0xf977 0xf97c 0xf9b7 0xfa35 0xfa60 0xfad8 0xfb3a 0xfc23 0xfd74 
0x5306 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd7e 0xf58c 0x1e97 0xd789 0xfff3 0xfff4 0x0003 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0617 0x185e 0x185e 0x185e 0x185e 0x185d 0x185d 0x185d 0xfd77 0xcbb6 0xce44 0xd708 0xfff1 0xfff0 0x0006 0x0004 
