1728235439
0xfca9 0xfc5c 0xfc1e 0xfc1d 0xfbd3 0xfb65 0xfa63 0xfa47 0xfa95 0xfa71 0xfa8a 0xfa25 0xf9d3 0xfa2f 0xfae5 0xfc32 
0xfc84 0xfc41 0xfc10 0xfbee 0xfb85 0xfae8 0xf9f5 0xfa0f 0xfa61 0xfa42 0xf99e 0xf8ee 0xf947 0xf9e9 0xfa97 0xfb33 
0xfc14 0xfbbc 0xfbae 0xfb96 0xfb0b 0xfa81 0xf9a0 0xf9b5 0xf992 0xf8a1 0xf7ef 0xf84e 0xf8bf 0xf96a 0xfa35 0xfae3 
0xfc2f 0xfbc5 0xfb97 0xfb34 0xfa41 0xfa1b 0xf9b3 0xf91a 0xf7b1 0xf70b 0xf77d 0xf814 0xf88c 0xf949 0xfa12 0xfaba 
0xfbdd 0xfb77 0xfb54 0xfae2 0xf9b2 0xf987 0xf8b4 0xf6e7 0xf661 0xf6aa 0xf721 0xf7a4 0xf850 0xf8d5 0xf9ad 0xfa8f 
0xfbbf 0xfb6c 0xfb0c 0xfa57 0xf96f 0xf813 0xf6aa 0xf670 0xf64e 0xf6ac 0xf73f 0xf7a7 0xf83c 0xf92a 0xf9c1 0xfa86 
0xfb93 0xfb16 0xfa78 0xf951 0xf78e 0xf6a2 0xf65c 0xf64b 0xf661 0xf6a9 0xf740 0xf7a6 0xf840 0xf8f6 0xf9d1 0xfaaf 
0xfb71 0xfa80 0xf934 0xf82d 0xf76f 0xf6ee 0xf6bb 0xf69b 0xf69c 0xf6e3 0xf749 0xf7cb 0xf886 0xf92b 0xfa08 0xfad0 
0xfa79 0xf99f 0xf8f7 0xf85e 0xf7a0 0xf733 0xf70e 0xf6df 0xf6fb 0xf735 0xf7ee 0xf837 0xf8c8 0xf968 0xfa31 0xfb00 
0xfa83 0xf9e1 0xf950 0xf8ce 0xf822 0xf7d9 0xf7a1 0xf77d 0xf7b2 0xf82d 0xf854 0xf8c0 0xfb65 0x0289 0xfbb5 0xfbc8 
0xfab6 0xfa18 0xf99c 0xf91f 0xf8a5 0xf83b 0xf812 0xf7f4 0xf82f 0xf85d 0xf8e6 0xf931 0xf9be 0xfbdc 0xfb6e 0xfc54 
0xfbbc 0xfa4f 0xfa04 0xf97b 0xf922 0xf8c8 0xf8ab 0xf8ac 0xf8cb 0xf8e7 0xf973 0xf9bf 0xfa30 0xfb43 0xfbf6 0xfda4 
0x4bf1 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc6 0xf54d 0x1cde 0xd92e 0xfff1 0xfff3 0xfffc 0xfffd 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0634 0x18d1 0x18d1 0x18d1 0x18d1 0x18cf 0x18cf 0x18cf 0xfdc4 0xce43 0xd0d9 0xd8e9 0xfff3 0xfff0 0x0001 0x0000 
