1728235469
0xfc8e 0xfc36 0xfbf9 0xfbfd 0xfb9d 0xfaf4 0xfa1b 0xf9e6 0xfa12 0xfa4f 0xfa84 0xfabb 0xfae9 0xfa42 0xfad8 0xfc21 
0xfc73 0xfc24 0xfc04 0xfbd2 0xfb59 0xfa96 0xf9bf 0xf987 0xfa4f 0xfa7a 0xfaa4 0xfac1 0xf9f8 0xf9e9 0xfa83 0xfb17 
0xfc1a 0xfbc9 0xfbb6 0xfb92 0xfaff 0xfa49 0xf941 0xf8fc 0xf98e 0xf9ed 0xfa45 0xfa09 0xf8dd 0xf956 0xfa17 0xfabf 
0xfc12 0xfbb7 0xfb9c 0xfb61 0xfad2 0xfa55 0xf97f 0xf90d 0xf951 0xf9b2 0xf9af 0xf88d 0xf877 0xf924 0xf9eb 0xfa93 
0xfbb3 0xfb59 0xfb3c 0xfb05 0xfa5d 0xfa1a 0xf99b 0xf93a 0xf93d 0xf905 0xf801 0xf790 0xf827 0xf8a7 0xf980 0xfa67 
0xfbc3 0xfb5c 0xfb1f 0xface 0xf9ef 0xf918 0xf94f 0xf971 0xf902 0xf7b0 0xf727 0xf777 0xf807 0xf8f7 0xf995 0xfa5b 
0xfb95 0xfb23 0xfb00 0xfab0 0xfa1b 0xf915 0xf927 0xf92e 0xf731 0xf688 0xf70f 0xf76f 0xf80d 0xf8c6 0xf9a2 0xfa85 
0xfb93 0xfb2e 0xfaf5 0xfa88 0xf9e4 0xf93c 0xf89f 0xf6eb 0xf677 0xf6af 0xf711 0xf794 0xf850 0xf8f9 0xf9d9 0xfaa0 
0xfb9f 0xfb32 0xfae2 0xfa5b 0xf947 0xf7e8 0xf710 0xf6b8 0xf6c3 0xf6fe 0xf7b3 0xf7fd 0xf88b 0xf927 0xf9f9 0xface 
0xfb6c 0xfad5 0xfa27 0xf937 0xf836 0xf7c5 0xf779 0xf74a 0xf763 0xf7ae 0xf81c 0xf886 0xf90c 0xf9b2 0xfa7d 0xfeac 
0xfad6 0xfa32 0xf9a7 0xf917 0xf88a 0xf813 0xf7e2 0xf7ba 0xf7ef 0xf81f 0xf8ae 0xf8f8 0xf97c 0xfa08 0xfad9 0xfd6e 
0xfbbe 0xfa48 0xf9f4 0xf95e 0xf8fb 0xf899 0xf87b 0xf87a 0xf894 0xf8af 0xf93e 0xf990 0xf9fb 0xfa85 0xfb88 0xfd67 
0x4b94 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda5 0xf54a 0x1cb7 0xd92e 0xfff3 0xfff3 0x0000 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x063d 0x18f4 0x18f4 0x18f4 0x18f4 0x18f2 0x18f2 0x18f2 0xfda3 0xce44 0xd0d7 0xd8ea 0xfff2 0xfff0 0x0004 0x0002 
