1728235499
0xfc88 0xfc32 0xfbbf 0xfb26 0xfa3f 0xf9fd 0xf9e2 0xfa0f 0xfa05 0xfa24 0xfa55 0xfaf0 0xfaab 0xfa29 0xfac3 0xfc0d 
0xfc64 0xfc27 0xfba3 0xfac2 0xf9da 0xf97b 0xf99a 0xfa27 0xfa19 0xfa54 0xfa7b 0xfad0 0xfa3e 0xf9e1 0xfa6e 0xfb02 
0xfc06 0xfbcf 0xfb6d 0xfa80 0xf97d 0xf8fa 0xf92b 0xfa04 0xf9f1 0xf9f9 0xfa5f 0xfa66 0xf964 0xf953 0xfa04 0xfaaa 
0xfc24 0xfbda 0xfb72 0xfa9f 0xf959 0xf8b9 0xf8a4 0xf8fb 0xf969 0xf9a5 0xf9e6 0xfa3a 0xf8c5 0xf921 0xf9d8 0xfa7e 
0xfbfb 0xfba6 0xfb47 0xfab7 0xf99d 0xf8be 0xf86e 0xf88d 0xf8d3 0xf98e 0xf949 0xf933 0xf845 0xf89c 0xf96b 0xfa4a 
0xfbe4 0xfba8 0xfb4d 0xfacc 0xfa3b 0xf970 0xf8d6 0xf8e0 0xf914 0xf929 0xf970 0xf81b 0xf80a 0xf8e1 0xf979 0xfa3c 
0xfbaa 0xfb66 0xfb2e 0xfab6 0xfa25 0xf9c6 0xf95b 0xf91f 0xf94e 0xf911 0xf892 0xf78b 0xf7fd 0xf8a7 0xf985 0xfa67 
0xfba4 0xfb6c 0xfb23 0xfa99 0xf9bc 0xf936 0xf908 0xf960 0xf99b 0xf8e2 0xf762 0xf78b 0xf834 0xf8d8 0xf9b6 0xfa87 
0xfba1 0xfb42 0xfb14 0xfadc 0xfa34 0xf99b 0xf917 0xf97c 0xf923 0xf78c 0xf7b1 0xf7e5 0xf86b 0xf905 0xf9d9 0xfaae 
0xfbb2 0xfb5c 0xfb38 0xfaf3 0xfa6e 0xf9fa 0xf9a2 0xf926 0xf7e5 0xf7bc 0xf807 0xf869 0xf8ec 0xf992 0xfa52 0xfb20 
0xfbc0 0xfb55 0xfb20 0xfada 0xfa75 0xf9f4 0xf8f7 0xf804 0xf805 0xf812 0xf897 0xf8da 0xf95e 0xf9e6 0xfab8 0xfbd2 
0xfc51 0xfb53 0xfb29 0xfa9a 0xf9d3 0xf8f8 0xf89d 0xf880 0xf88b 0xf899 0xf922 0xf970 0xf9da 0xfa65 0xfb68 0xfd44 
0x4b53 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8b 0xf545 0x1c9f 0xd92b 0xfff2 0xfff2 0x0001 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0643 0x190d 0x190d 0x190d 0x190d 0x190c 0x190c 0x190c 0xfd86 0xce44 0xd0d6 0xd8e8 0xfff5 0xfff1 0x0004 0x0003 
