1728235499
0xfce8 0xfbf2 0xfbc5 0xfb66 0xfb14 0xfadd 0xfac7 0xfaa4 0xfab6 0xfab7 0xfaee 0xfb1c 0xfb61 0xfba4 0xfc15 0xfcae 
0xfc49 0xfbc9 0xfb78 0xfb21 0xfacc 0xfa7b 0xfa5c 0xfa3d 0xfa32 0xfa62 0xfab3 0xfadb 0xfb32 0xfb71 0xfbda 0xfc37 
0xfbee 0xfb78 0xfb2b 0xfacb 0xfa70 0xfa1f 0xf9e8 0xf9e7 0xf9d2 0xf9f5 0xfa38 0xfa87 0xfacc 0xfb27 0xfbaf 0xfc05 
0xfbe0 0xfb5f 0xfb04 0xfa95 0xfa24 0xf9d1 0xf9a7 0xf991 0xf989 0xf9b4 0xfa0a 0xfa48 0xfa98 0xfaef 0xfb83 0xfbea 
0xfbaa 0xfb15 0xfac4 0xfa5c 0xf9e6 0xf98e 0xf968 0xf964 0xf94a 0xf987 0xf9cb 0xfa10 0xfa4b 0xfac3 0xfb52 0xfbcc 
0xfb95 0xfb2e 0xfabe 0xfa4d 0xf9d6 0xf981 0xf972 0xf93c 0xf93a 0xf971 0xf9b8 0xf9e9 0xfa4f 0xfac0 0xfb4c 0xfbe1 
0xfb88 0xfb01 0xfaa2 0xfa36 0xf9be 0xf95e 0xf94a 0xf952 0xf91c 0xf947 0xf987 0xf9e8 0xfa4d 0xfaac 0xfb55 0xfbc3 
0xfb9a 0xfb20 0xfac9 0xfa45 0xf9df 0xf99b 0xf99e 0xf968 0xf951 0xf985 0xf9c5 0xfa0f 0xfa61 0xfadb 0xfb5a 0xfbe9 
0xfb93 0xfb1c 0xfad1 0xfa6e 0xfa07 0xf9ac 0xf97b 0xf984 0xf991 0xf98b 0xf9e7 0xfa4f 0xfa89 0xfae1 0xfb8a 0xfbeb 
0xfbb5 0xfb55 0xfb00 0xfaa3 0xfa42 0xfa08 0xfa08 0xf9c7 0xf9e8 0xf9f7 0xfa4b 0xfa92 0xfacf 0xfb37 0xfbb2 0xfc21 
0xfbc0 0xfb61 0xfb25 0xfae8 0xfa96 0xfa46 0xfa45 0xfa16 0xfa1c 0xfa54 0xfa6a 0xfaab 0xfb0f 0xfb5b 0xfbd6 0xfc3d 
0xfc39 0xfb72 0xfb49 0xfae1 0xfaa8 0xfa7e 0xfa85 0xfa71 0xfa8a 0xfa99 0xfad7 0xfb09 0xfb59 0xfba8 0xfc0a 0xfc60 
0x57ab 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd15 0xf54d 0x2200 0xd7fa 0xfffa 0xfffd 0x000a 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057e 0x15fa 0x15fa 0x15fa 0x15fa 0x15f9 0x15f9 0x15f9 0xfd14 0xcc43 0xcf28 0xd724 0xfffc 0xfff6 0x000b 0x000d 
