1728235559
0xfc3c 0xfba9 0xfb53 0xfb43 0xfb1f 0xfb29 0xfa99 0xf8c8 0xf852 0xf85d 0xf8b6 0xf90e 0xf97e 0xf9f5 0xfab4 0xfc19 
0xfc03 0xfb86 0xfb1d 0xfabc 0xfa76 0xfac0 0xfab9 0xf8c6 0xf7a0 0xf7b7 0xf81a 0xf88c 0xf902 0xf9ad 0xfa68 0xfb0c 
0xfb97 0xfb1f 0xfac5 0xfa94 0xfa89 0xfa41 0xfa52 0xf8f3 0xf6f8 0xf723 0xf787 0xf7fb 0xf879 0xf92d 0xfa02 0xfab9 
0xfbba 0xfb66 0xfb2f 0xfadc 0xfa4c 0xf96c 0xfa21 0xf94a 0xf69b 0xf6ab 0xf724 0xf7c6 0xf841 0xf908 0xf9dc 0xfa91 
0xfbaa 0xfb69 0xfb31 0xfae1 0xfa17 0xf934 0xf99f 0xf939 0xf629 0xf654 0xf6c7 0xf74d 0xf805 0xf895 0xf973 0xfaa7 
0xfbdb 0xfb7a 0xfb09 0xfac8 0xf9fd 0xf970 0xf952 0xf941 0xf61d 0xf65a 0xf6ea 0xf752 0xf7ef 0xf8e4 0xf988 0xfa57 
0xfbd2 0xfb22 0xfaac 0xfaa2 0xf9ef 0xf8f4 0xf8e6 0xf916 0xf636 0xf652 0xf6e9 0xf753 0xf7f6 0xf8b2 0xf996 0xfa81 
0xfbf6 0xfb69 0xfaab 0xfa82 0xfa22 0xf919 0xf920 0xf929 0xf672 0xf68b 0xf6ef 0xf777 0xf83c 0xf8ea 0xf9cf 0xfaa1 
0xfb91 0xfb0f 0xfaaf 0xfaa9 0xfa2b 0xf944 0xf948 0xf90c 0xf6cf 0xf701 0xf79a 0xf7e5 0xf87a 0xf919 0xf9ef 0xfacb 
0xfb80 0xfb2b 0xfadf 0xfad3 0xfa88 0xf9e3 0xf9e1 0xf927 0xf77f 0xf7ac 0xf806 0xf873 0xf901 0xf9aa 0xfa6b 0xfb3d 
0xfba3 0xfb4e 0xfb1e 0xfade 0xfabb 0xfa85 0xfa49 0xf901 0xf812 0xf819 0xf8a2 0xf8ee 0xf974 0xf9ff 0xfad2 0xfbf2 
0xfc73 0xfb93 0xfb86 0xfb2f 0xfaef 0xfac1 0xfa8d 0xf920 0xf8a9 0xf8ad 0xf936 0xf988 0xf9f6 0xfa81 0xfb85 0xfd68 
0x4afa 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdcc 0xf542 0x1c7a 0xd929 0xfff2 0xfff3 0xfffe 0xfffc 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x064b 0x192e 0x192e 0x192e 0x192e 0x192c 0x192c 0x192c 0xfdc9 0xce49 0xd0d6 0xd8e7 0xfff0 0xffed 0xfffe 0xffff 
