1728235589
0xfd43 0xfd59 0xfd85 0xfda0 0xfd25 0xfcf5 0xfd50 0xfd7c 0xfdae 0xfde9 0xfdde 0xfdf4 0xfdcf 0xfdd5 0xfdfd 0xfe47 
0xfd5a 0xfd70 0xfd45 0xfd44 0xfcfc 0xfc78 0xfcb0 0xfd4a 0xfd80 0xfdc6 0xfda4 0xfd83 0xfda8 0xfdbc 0xfdda 0xfe03 
0xfd46 0xfd1a 0xfce1 0xfcf2 0xfc93 0xfc42 0xfc23 0xfcc3 0xfd22 0xfd85 0xfd66 0xfd33 0xfd31 0xfd4f 0xfd85 0xfdcd 
0xfd3a 0xfcfb 0xfcdd 0xfcb8 0xfc71 0xfc2d 0xfc0c 0xfc19 0xfce8 0xfd5a 0xfd6b 0xfd40 0xfd90 0xfd81 0xfd7c 0xfdea 
0xfd03 0xfcca 0xfcac 0xfc7c 0xfc44 0xfbdf 0xfbd9 0xfbf0 0xfc27 0xfcd1 0xfd73 0xfd77 0xfd9c 0xfd28 0xfd46 0xfdb7 
0xfd19 0xfcda 0xfcac 0xfc6a 0xfc40 0xfc06 0xfbf3 0xfbca 0xfc0b 0xfc35 0xfcfe 0xfd85 0xfdb8 0xfd1a 0xfd32 0xfdb1 
0xfcec 0xfca7 0xfca1 0xfc6e 0xfc77 0xfc3d 0xfbec 0xfbc4 0xfbb1 0xfbdb 0xfc74 0xfd63 0xfd56 0xfcd3 0xfd10 0xfdcb 
0xfd10 0xfcb6 0xfcb1 0xfc69 0xfc40 0xfc60 0xfc34 0xfbf9 0xfc08 0xfc1d 0xfc59 0xfcd7 0xfcea 0xfcd8 0xfd4c 0xfde8 
0xfcdc 0xfca6 0xfc87 0xfc47 0xfc02 0xfc21 0xfc40 0xfbe1 0xfbb6 0xfbf2 0xfc0d 0xfc31 0xfc6a 0xfcb8 0xfd69 0xfdf9 
0xfcbc 0xfce2 0xfc93 0xfc60 0xfc3d 0xfcac 0xfc8a 0xfc1b 0xfc2b 0xfc23 0xfc32 0xfc40 0xfc8a 0xfd19 0xfddc 0xfe00 
0xfc64 0xfca1 0xfc7b 0xfc4e 0xfc53 0xfc90 0xfc26 0xfbf6 0xfbfb 0xfbf8 0xfc2f 0xfc67 0xfcef 0xfd85 0xfdcb 0xfdf0 
0xfc6c 0xfc38 0xfc7e 0xfc42 0xfc5a 0xfc7a 0xfc74 0xfc2d 0xfc4a 0xfc54 0xfcd5 0xfd38 0xfd88 0xfda8 0xfdde 0xfe2a 
0x536d 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfe0a 0xf5ab 0x1ed1 0xd769 0xfffe 0xfffe 0x0005 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b6 0x16d9 0x16d9 0x16d9 0x16d9 0x16d8 0x16d8 0x16d8 0xfe06 0xccc9 0xcecd 0xd7ef 0xffff 0xfff9 0x0009 0x000c 
