1728235589
0xfc57 0xfbe5 0xfb83 0xfa7c 0xf905 0xf89f 0xf858 0xf84c 0xf840 0xf85e 0xf8c0 0xf917 0xf987 0xf9fd 0xfac7 0xfc60 
0xfc5d 0xfc2a 0xfbaa 0xfac5 0xf887 0xf7f9 0xf7cd 0xf7a0 0xf787 0xf7b3 0xf821 0xf894 0xf90a 0xf9bc 0xfa9f 0xfb6b 
0xfbe6 0xfbbf 0xfb82 0xfad5 0xf859 0xf742 0xf704 0xf6dd 0xf6d7 0xf71c 0xf78d 0xf808 0xf881 0xf940 0xfb0a 0xfb38 
0xfc00 0xfbb6 0xfb69 0xfad6 0xf8be 0xf6ca 0xf6a5 0xf679 0xf673 0xf6a1 0xf727 0xf7cc 0xf84f 0xfa9c 0xff02 0xfb21 
0xfbf8 0xfb3d 0xfb25 0xfaac 0xf925 0xf695 0xf632 0xf611 0xf5f4 0xf647 0xf6c9 0xf756 0xf80b 0xf8a7 0xfa5b 0xfb3e 
0xfbe5 0xfb1f 0xfab9 0xfaa0 0xf95f 0xf697 0xf62b 0xf606 0xf5e8 0xf64c 0xf6ea 0xf75a 0xf7f5 0xf8f0 0xf996 0xfa6a 
0xfbd4 0xfb20 0xfa6b 0xfa6a 0xf98e 0xf6b0 0xf5ff 0xf5e5 0xf5fb 0xf646 0xf6e9 0xf756 0xf7fc 0xf8ba 0xf9a5 0xfa8f 
0xfbfd 0xfb54 0xfab0 0xfa3e 0xf9da 0xf75c 0xf660 0xf63c 0xf63a 0xf681 0xf6f2 0xf77d 0xf840 0xf8f1 0xf9db 0xfab1 
0xfbf3 0xfb4a 0xfaa1 0xfa2a 0xf9f9 0xf810 0xf6bc 0xf686 0xf69d 0xf6f2 0xf799 0xf7eb 0xf87f 0xf922 0xf9ff 0xfad7 
0xfc0e 0xfb94 0xfadd 0xfa7b 0xfa1b 0xf915 0xf75c 0xf72d 0xf757 0xf7a3 0xf809 0xf877 0xf906 0xf9b4 0xfa7a 0xfb4c 
0xfbf9 0xfba8 0xfb15 0xfaa3 0xfa53 0xf9af 0xf7db 0xf7a9 0xf7f0 0xf80e 0xf8a4 0xf8f0 0xf979 0xfa0a 0xfae1 0xfc03 
0xfc88 0xfba4 0xfb74 0xfad5 0xfaad 0xfa28 0xf889 0xf871 0xf890 0xf8a6 0xf938 0xf98e 0xf9fa 0xfa8f 0xfb93 0xfd7a 
0x4ac5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfde7 0xf53f 0x1c65 0xd928 0xffee 0xfff2 0xfffe 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0650 0x1943 0x1943 0x1943 0x1943 0x1942 0x1942 0x1942 0xfde8 0xce4a 0xd0d6 0xd8e6 0xfff1 0xffee 0x0001 0xffff 
