1728235589
0xfcf8 0xfbf9 0xfbcc 0xfb6c 0xfb1c 0xfae1 0xfacc 0xfaaa 0xfabf 0xfabd 0xfaf5 0xfb22 0xfb68 0xfbad 0xfca6 0xfd13 
0xfc50 0xfbd1 0xfb7f 0xfb28 0xfad4 0xfa82 0xfa63 0xfa44 0xfa39 0xfa6d 0xfabb 0xfae3 0xfb3b 0xfb7f 0xfc8e 0xfcf6 
0xfbf8 0xfb80 0xfb34 0xfad1 0xfa78 0xfa2b 0xf9f2 0xf9f0 0xf9d8 0xf9ff 0xfa3e 0xfa91 0xfad5 0xfb53 0xfc8c 0xfd04 
0xfbe9 0xfb65 0xfb09 0xfa9d 0xfa2d 0xf9dd 0xf9ae 0xf996 0xf993 0xf9ba 0xfa12 0xfa56 0xfaa8 0xfb5a 0xfcc7 0xfd2b 
0xfbb3 0xfb1e 0xfaca 0xfa65 0xf9ee 0xf999 0xf970 0xf96d 0xf954 0xf991 0xf9d6 0xfa1c 0xfa5d 0xfb98 0xfce1 0xfd72 
0xfb9c 0xfb35 0xfac6 0xfa53 0xf9e1 0xf98f 0xf97a 0xf947 0xf942 0xf977 0xf9c2 0xf9f4 0xfa64 0xfbfd 0xfd08 0xfdc9 
0xfb8f 0xfb08 0xfaa6 0xfa3f 0xf9ca 0xf967 0xf951 0xf956 0xf922 0xf953 0xf995 0xf9f7 0xfa70 0xfc51 0xfd25 0xfdd8 
0xfba2 0xfb25 0xfad0 0xfa4c 0xf9e6 0xf9a3 0xf9a8 0xf971 0xf95b 0xf992 0xf9cf 0xfa1f 0xfab2 0xfcb3 0xfd46 0xfdf5 
0xfb9a 0xfb24 0xfad1 0xfa75 0xfa10 0xf9b4 0xf980 0xf98b 0xf99d 0xf9a0 0xf9fd 0xfa5f 0xfb20 0xfcd8 0xfd75 0xfe01 
0xfbbb 0xfb5a 0xfb06 0xfaa6 0xfa48 0xfa0f 0xfa0f 0xf9d0 0xf9f6 0xfa42 0xfa53 0xfaa6 0xfbcc 0xfd19 0xfd9f 0xfe0f 
0xfbc5 0xfb64 0xfb29 0xfaed 0xfa9b 0xfa4a 0xfa4f 0xfa23 0xfa52 0xfa61 0xfa7a 0xfac0 0xfc5d 0xfd24 0xfd9f 0xfe07 
0xfc3f 0xfb77 0xfb4b 0xfae8 0xfab0 0xfa84 0xfa8e 0xfa7a 0xfab3 0xfaa0 0xfae4 0xfb2b 0xfcc4 0xfd47 0xfdb2 0xfdf2 
0x5797 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd45 0xf54c 0x21f7 0xd7fb 0xfffb 0xfffa 0x0008 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0580 0x1602 0x1602 0x1602 0x1602 0x1601 0x1601 0x1601 0xfd43 0xcc44 0xcf28 0xd723 0xfffc 0xfff9 0x000a 0x000b 
