1728235589
0xfb37 0xfaa4 0xfa4f 0xf9d8 0xf94e 0xf8fd 0xf8dd 0xf8ae 0xf8a7 0xf8c5 0xf91e 0xf995 0xf9d9 0xfa2f 0xfae7 0xfbd4 
0xfb03 0xfa7d 0xf9ff 0xf977 0xf8f0 0xf87f 0xf84b 0xf844 0xf820 0xf84e 0xf89e 0xf906 0xf98a 0xfa0e 0xfaaa 0xfb46 
0xfa9b 0xfa0a 0xf976 0xf8dc 0xf861 0xf7d9 0xf7ca 0xf7a7 0xf78a 0xf7a0 0xf818 0xf8a0 0xf8fa 0xf98d 0xfa58 0xfaf7 
0xfa83 0xf9cf 0xf934 0xf8aa 0xf7e6 0xf79e 0xf75d 0xf73c 0xf744 0xf763 0xf800 0xf860 0xf8e4 0xf978 0xfa52 0xfb0e 
0xfa53 0xf990 0xf8ea 0xf860 0xf7ad 0xf72c 0xf6eb 0xf6d6 0xf6e4 0xf708 0xf788 0xf7ee 0xf87a 0xf934 0xfa11 0xfaa5 
0xfa4f 0xf999 0xf8f2 0xf851 0xf780 0xf70d 0xf6e7 0xf6a3 0xf6c4 0xf703 0xf768 0xf7ed 0xf8a5 0xf955 0xfa05 0xfaac 
0xfa24 0xf96a 0xf8d3 0xf81f 0xf790 0xf6f5 0xf6b3 0xf6da 0xf69a 0xf6e5 0xf788 0xf7f2 0xf89c 0xf942 0xfa06 0xfac3 
0xfa4b 0xf99f 0xf921 0xf890 0xf7be 0xf75e 0xf72c 0xf6ef 0xf6ec 0xf735 0xf7bf 0xf83c 0xf8d1 0xf979 0xfa40 0xfae9 
0xfa4c 0xf9b9 0xf91b 0xf8b0 0xf805 0xf80c 0xf756 0xf73f 0xf737 0xf77b 0xf7e8 0xf88c 0xf8ee 0xf9a1 0xfa51 0xfb13 
0xfa98 0xfa1a 0xf98d 0xf908 0xf8ad 0xf833 0xf7ef 0xf7dd 0xf7cd 0xf800 0xf886 0xf914 0xf97a 0xf9f8 0xfab3 0xfb72 
0xfad9 0xfa37 0xf9cf 0xf96e 0xf8f7 0xf8a6 0xf876 0xf867 0xf840 0xf886 0xf907 0xf971 0xf9da 0xfa71 0xfb0b 0xfc53 
0xfbbe 0xfa81 0xfa36 0xf9b3 0xf981 0xf919 0xf914 0xf8dd 0xf8db 0xf91f 0xf9af 0xf9db 0xfa62 0xfad1 0xfbd5 0xfd55 
0x5088 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd7d 0xf56d 0x1d90 0xd786 0xffee 0xfff1 0x0000 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0652 0x194b 0x194b 0x194b 0x194b 0x194a 0x194a 0x194a 0xfd7c 0xcbd2 0xce49 0xd70c 0xfff1 0xffeb 0x0002 0x0001 
