1728235649
0xfd24 0xfd2b 0xfd7b 0xfdda 0xfddf 0xfde6 0xfde2 0xfdd7 0xfdbb 0xfda0 0xfd70 0xfd6e 0xfd62 0xfd75 0xfdb5 0xfe2d 
0xfd25 0xfd76 0xfdb0 0xfdd8 0xfdef 0xfdea 0xfdd1 0xfdbc 0xfda1 0xfcff 0xfced 0xfcf8 0xfd29 0xfd45 0xfd81 0xfdd4 
0xfd3f 0xfd29 0xfd4c 0xfdac 0xfdb7 0xfda8 0xfd0c 0xfd80 0xfd19 0xfca6 0xfcb8 0xfcf7 0xfd55 0xfd74 0xfd7e 0xfda1 
0xfd66 0xfd25 0xfcfa 0xfd57 0xfdad 0xfd8f 0xfc61 0xfd2a 0xfd24 0xfd61 0xfd38 0xfd64 0xfdb5 0xfda1 0xfd6f 0xfda5 
0xfd2d 0xfcf1 0xfce2 0xfce0 0xfd26 0xfd12 0xfc04 0xfcf1 0xfd60 0xfd7a 0xfd97 0xfd88 0xfd73 0xfd94 0xfd90 0xfd9c 
0xfd38 0xfcd1 0xfcbe 0xfc9c 0xfcc2 0xfce7 0xfc16 0xfc72 0xfd93 0xfd34 0xfd77 0xfd88 0xfda0 0xfd99 0xfdcc 0xfdda 
0xfcf5 0xfc8f 0xfc78 0xfc86 0xfc94 0xfc70 0xfbff 0xfb93 0xfc38 0xfd0f 0xfd68 0xfdb6 0xfdd2 0xfde5 0xfdfc 0xfe10 
0xfd0c 0xfc9a 0xfc9b 0xfc79 0xfc5d 0xfc5a 0xfc13 0xfbaf 0xfbd1 0xfcf1 0xfd64 0xfdbc 0xfdd8 0xfdf8 0xfdf6 0xfdf3 
0xfce4 0xfc97 0xfc88 0xfc62 0xfc1a 0xfc2f 0xfbfb 0xfbbb 0xfba2 0xfcc3 0xfd1c 0xfd94 0xfd77 0xfd7b 0xfdbf 0xfdd6 
0xfce4 0xfcb5 0xfc95 0xfc84 0xfc43 0xfc50 0xfc14 0xfbf4 0xfbd0 0xfc89 0xfd35 0xfd95 0xfd78 0xfd6f 0xfd97 0xfded 
0xfc7d 0xfcba 0xfc81 0xfc8d 0xfc49 0xfc3e 0xfc2f 0xfc09 0xfc0a 0xfc31 0xfd05 0xfd7d 0xfd71 0xfd7f 0xfd80 0xfde2 
0xfc7c 0xfc7f 0xfca3 0xfc73 0xfc47 0xfc4b 0xfc67 0xfc33 0xfc3f 0xfc4e 0xfccf 0xfd5f 0xfdae 0xfd6c 0xfdc5 0xfe21 
0x5329 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfe08 0xf5a8 0x1eb2 0xd768 0x0001 0xfffd 0x0007 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05bd 0x16f6 0x16f6 0x16f6 0x16f6 0x16f4 0x16f4 0x16f4 0xfe04 0xcccc 0xcece 0xd7ed 0xffff 0xfffb 0x0005 0x0009 
