1728235679
0xfc73 0xfc05 0xfb8f 0xfb44 0xfa2e 0xf999 0xf81c 0xf7f8 0xf7e9 0xf806 0xf86b 0xf8c4 0xf93c 0xf9b5 0xfa83 0xfbf8 
0xfc77 0xfc09 0xfbb4 0xfb34 0xfa29 0xf93e 0xf7a2 0xf744 0xf72b 0xf759 0xf7c5 0xf83f 0xf8ba 0xf96d 0xfa30 0xfade 
0xfc29 0xfbc2 0xfb76 0xfb0b 0xfa2a 0xf8ca 0xf717 0xf680 0xf679 0xf6bd 0xf72d 0xf7a9 0xf82b 0xf8e7 0xf9c7 0xfa85 
0xfc3e 0xfbca 0xfb6b 0xfaf4 0xfa21 0xf8ea 0xf708 0xf618 0xf613 0xf641 0xf6c2 0xf76c 0xf7f1 0xf8c0 0xf99d 0xfa5a 
0xfbfd 0xfb82 0xfb2c 0xfabc 0xfa09 0xf92b 0xf6eb 0xf5ad 0xf58f 0xf5e2 0xf665 0xf6f3 0xf7b1 0xf846 0xf930 0xfa29 
0xfbf3 0xfb7f 0xfb1d 0xfaad 0xfa06 0xf950 0xf71f 0xf5a2 0xf57e 0xf5e8 0xf687 0xf6f6 0xf799 0xf89b 0xf946 0xfa1e 
0xfbd6 0xfb64 0xfb04 0xfa98 0xfa0e 0xf94b 0xf72b 0xf582 0xf595 0xf5e3 0xf688 0xf6f6 0xf7a0 0xf867 0xf958 0xfa71 
0xfbed 0xfb87 0xfb2b 0xfabb 0xfa3b 0xf983 0xf7d1 0xf5de 0xf5d5 0xf61f 0xf68d 0xf71c 0xf7eb 0xf89e 0xf992 0xfa6d 
0xfbe0 0xfb7f 0xfb36 0xfad9 0xfa37 0xf96b 0xf817 0xf629 0xf63d 0xf688 0xf739 0xf78e 0xf82b 0xf8d1 0xf9b6 0xfa9a 
0xfbdf 0xfba6 0xfb63 0xfb03 0xfa84 0xf982 0xf86c 0xf6da 0xf6f5 0xf745 0xf7af 0xf823 0xf8b8 0xf969 0xfa35 0xfb10 
0xfbca 0xfb9f 0xfb6b 0xfb1f 0xfaba 0xf96f 0xf88d 0xf75b 0xf795 0xf7b9 0xf852 0xf8a2 0xf92f 0xf9c4 0xfaa2 0xfbcf 
0xfc64 0xfb89 0xfb90 0xfb29 0xfae7 0xf9a8 0xf8d4 0xf82a 0xf841 0xf85b 0xf8ed 0xf945 0xf9ba 0xfa4e 0xfb60 0xfd57 
0x4a10 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdc6 0xf537 0x1c1d 0xd925 0xfff0 0xfff1 0xfffd 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0662 0x1989 0x1989 0x1989 0x1989 0x1988 0x1988 0x1988 0xfdc2 0xce50 0xd0d6 0xd8e6 0xfff3 0xffef 0xffff 0xfffd 
