1728235679
0xfb1d 0xfa86 0xfa2b 0xf9b0 0xf91e 0xf8cd 0xf8af 0xf87c 0xf873 0xf88e 0xf8ef 0xf969 0xf9af 0xfa0c 0xfac8 0xfbc4 
0xfae5 0xfa5c 0xf9d7 0xf94a 0xf8bb 0xf847 0xf817 0xf80f 0xf7e1 0xf810 0xf867 0xf8d4 0xf95b 0xf9ea 0xfa8c 0xfb2f 
0xfa7b 0xf9e4 0xf948 0xf8a7 0xf826 0xf79a 0xf78a 0xf766 0xf747 0xf75c 0xf7db 0xf869 0xf8c7 0xf960 0xfa36 0xfadc 
0xfa62 0xf9a7 0xf904 0xf873 0xf7a9 0xf759 0xf719 0xf6f6 0xf6fe 0xf71f 0xf7c2 0xf824 0xf8ae 0xf949 0xfa3a 0xfaf6 
0xfa30 0xf966 0xf8b6 0xf825 0xf76b 0xf6e2 0xf6a3 0xf68d 0xf69d 0xf6bd 0xf747 0xf7ae 0xf840 0xf903 0xf9ec 0xfa87 
0xfa2a 0xf969 0xf8be 0xf814 0xf739 0xf6c4 0xf69d 0xf656 0xf677 0xf6ba 0xf727 0xf7af 0xf86a 0xf923 0xf9e0 0xfa8c 
0xf9fe 0xf93d 0xf89e 0xf7e0 0xf74d 0xf6a9 0xf669 0xf68e 0xf64a 0xf6a2 0xf746 0xf7b5 0xf865 0xf913 0xf9e0 0xfaa4 
0xfa26 0xf973 0xf8ee 0xf855 0xf779 0xf717 0xf6e6 0xf6a5 0xf6a0 0xf6f0 0xf77f 0xf801 0xf89c 0xf94c 0xfa19 0xfacc 
0xfa28 0xf98d 0xf8ea 0xf879 0xf7c7 0xf7c9 0xf711 0xf6fb 0xf6f3 0xf737 0xf7ac 0xf858 0xf8bc 0xf976 0xfa2e 0xfafa 
0xfa7b 0xf9f4 0xf963 0xf8d6 0xf875 0xf7f6 0xf7af 0xf7a3 0xf7a7 0xf7d7 0xf856 0xf8e4 0xf94c 0xf9d3 0xfa95 0xfb5f 
0xfac1 0xfa12 0xf9a9 0xf943 0xf8c4 0xf870 0xf83f 0xf83f 0x00b7 0xff67 0xf919 0xf956 0xf9bb 0xfa51 0xfaf2 0xfc48 
0xfbb0 0xfa62 0xfa14 0xf98c 0xf956 0xf8e7 0xf8ee 0xf908 0xfa7b 0xfa19 0xfa48 0xf9f9 0xfa4b 0xfab7 0xfbc8 0xfd57 
0x4f87 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8e 0xf562 0x1d2a 0xd783 0xffef 0xffec 0x0000 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x066a 0x19ab 0x19ab 0x19ab 0x19ab 0x19aa 0x19aa 0x19aa 0xfd8a 0xcbde 0xce4d 0xd70f 0xffef 0xffeb 0x0004 0x0003 
