1728235709
0xfc78 0xfc16 0xfbcc 0xfb90 0xfb34 0xfaf5 0xfab7 0xfa3a 0xf99b 0xf9cc 0xf8a1 0xf8bd 0xf920 0xf994 0xfa61 0xfbd0 
0xfc63 0xfc0f 0xfbbf 0xfb69 0xfafd 0xfab6 0xfa95 0xfa3f 0xf947 0xf96d 0xf831 0xf83c 0xf8a0 0xf94a 0xfa08 0xfab5 
0xfc03 0xfbb2 0xfb70 0xfb29 0xfaa9 0xfa5b 0xfa20 0xf9e5 0xf94c 0xf8d4 0xf7e0 0xf7a9 0xf80e 0xf8c2 0xf99f 0xfa5c 
0xfc12 0xfba5 0xfb4d 0xfaf9 0xfa72 0xfa1f 0xf9fd 0xf9ca 0xf971 0xf87d 0xf7b5 0xf770 0xf7d3 0xf89a 0xf976 0xfa30 
0xfbd5 0xfb5f 0xfb10 0xfaab 0xfa32 0xf9f6 0xf9c0 0xf990 0xf93c 0xf87a 0xf766 0xf6ef 0xf793 0xf820 0xf907 0xf9fe 
0xfbd0 0xfb63 0xfb00 0xfa99 0xfa1c 0xf9e2 0xf9cb 0xf984 0xf946 0xf8ae 0xf760 0xf6f2 0xf778 0xf874 0xf91a 0xf9f5 
0xfbb0 0xfb48 0xfaef 0xfa82 0xfa0e 0xf9c0 0xf9a6 0xf974 0xf956 0xf893 0xf70d 0xf6e8 0xf780 0xf840 0xf92e 0xfa22 
0xfbcd 0xfb63 0xfb14 0xfaa5 0xfa3d 0xfa02 0xf9ee 0xf9b0 0xf966 0xf879 0xf6ce 0xf70e 0xf7c9 0xf878 0xf965 0xfa43 
0xfbb8 0xfb5d 0xfb1a 0xfacc 0xfa59 0xfa12 0xfa05 0xf9b4 0xf96c 0xf84a 0xf756 0xf77c 0xf809 0xf8ad 0xf98e 0xfa6e 
0xfbc4 0xfb88 0xfb4c 0xfb04 0xfa80 0xfa62 0xfa50 0xf9a5 0xf97a 0xf800 0xf7b6 0xf80b 0xf897 0xf944 0xfa0f 0xfaeb 
0xfbba 0xfb8b 0xfb59 0xfb1b 0xfabe 0xfa95 0xfa3c 0xf924 0xf941 0xf7f1 0xf84f 0xf88d 0xf911 0xf99d 0xfa7d 0xfbab 
0xfc54 0xfb8b 0xfb7f 0xfb1a 0xfafe 0xfac3 0xf9b2 0xf9d3 0xf8bc 0xf868 0xf8e1 0xf92c 0xf997 0xfa29 0xfb3c 0xfd34 
0x49f6 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8c 0xf534 0x1c13 0xd925 0xfff1 0xfff3 0xfffe 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0664 0x1991 0x1991 0x1991 0x1991 0x1990 0x1990 0x1990 0xfd86 0xce50 0xd0d5 0xd8e6 0xfff4 0xffee 0x0000 0x0001 
