1728235709
0xfb16 0xfa7b 0xfa23 0xf9a0 0xf90b 0xf8b8 0xf895 0xf862 0xf85e 0xf87a 0xf8df 0xf957 0xf9a1 0xfa00 0xfac2 0xfbc0 
0xfade 0xfa51 0xf9c9 0xf939 0xf8a6 0xf830 0xf7fb 0xf7f4 0xf7c8 0xf7fb 0xf852 0xf8c1 0xf94b 0xf9dd 0xfa80 0xfb29 
0xfa77 0xf9d9 0xf938 0xf895 0xf812 0xf782 0xf76e 0xf747 0xf72a 0xf743 0xf7c5 0xf855 0xf8b9 0xf952 0xfa29 0xfad3 
0xfa56 0xf99b 0xf8f5 0xf860 0xf793 0xf73d 0xf6fe 0xf6d8 0xf6e1 0xf703 0xf7ab 0xf80f 0xf8a4 0xf93e 0xfa27 0xfae8 
0xfa23 0xf955 0xf8a7 0xf812 0xf753 0xf6c7 0xf685 0xf66c 0xf67f 0xf6a0 0xf72d 0xf799 0xf841 0xf906 0xf9ee 0xfa94 
0xfa1f 0xf95a 0xf8ab 0xf7fd 0xf721 0xf6a9 0xf680 0xf637 0xf658 0xf69c 0xf70f 0xf7bc 0xf8f4 0xf9ae 0xfa16 0xfaab 
0xf9f3 0xf92c 0xf88a 0xf7cc 0xf733 0xf68c 0xf64b 0xf672 0xf62b 0xf685 0xf762 0x0cd2 0xfa37 0xf995 0xfa14 0xfac1 
0xfa1b 0xf966 0xf8da 0xf840 0xf75f 0xf6f9 0xf6c4 0xf685 0xf685 0xf6d4 0xf777 0xfb5b 0xf9bd 0xf9aa 0xfa49 0xfae6 
0xfa1d 0xf982 0xf8db 0xf864 0xf7ae 0xf7ae 0xf6f4 0xf6db 0xf6d6 0xf71b 0xf799 0xf885 0xf957 0xf9bd 0xfa57 0xfb0e 
0xfa6f 0xf9e7 0xf952 0xf8c0 0xf85d 0xf7e0 0xf796 0xf784 0xf776 0xf7ae 0xf844 0xf8db 0xf95c 0xfa02 0xfab1 0xfb6e 
0xfab5 0xfa09 0xf999 0xf931 0xf8af 0xf85a 0xf82b 0xf817 0xf7ef 0xf83a 0xf8c7 0xf936 0xf9aa 0xfa52 0xfafe 0xfc58 
0xfbae 0xfa5a 0xfa05 0xf97c 0xf945 0xf8d1 0xf8cf 0xf899 0xf899 0xf8df 0xf976 0xf9a8 0xfa37 0xfaad 0xfbc7 0xfd5d 
0x4f19 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9c 0xf55c 0x1cfe 0xd783 0xffeb 0xffed 0xfffe 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0675 0x19d4 0x19d4 0x19d4 0x19d4 0x19d3 0x19d3 0x19d3 0xfd9c 0xcbe1 0xce4e 0xd711 0xfff1 0xfff0 0x0004 0x0001 
