1728235829
0xfe11 0xfdfa 0xfe00 0xfe06 0xfdef 0xfdd4 0xfdce 0xfdb7 0xfc97 0xfc2b 0xfc7b 0xfcfc 0xfbdd 0xfbc2 0xfc41 0xfd89 
0xfe36 0xfe1f 0xfe21 0xfe0b 0xfdf7 0xfde8 0xfdea 0xfdcf 0xfcf0 0xfbf2 0xfc23 0xfca5 0xfb76 0xfb8a 0xfbe4 0xfca7 
0xfe20 0xfe0c 0xfdfc 0xfe02 0xfdd1 0xfdba 0xfdbc 0xfdbd 0xfd4f 0xfbb4 0xfbab 0xfbb1 0xfae4 0xfb1c 0xfb8a 0xfbfb 
0xfe2e 0xfe0d 0xfe05 0xfde6 0xfdbc 0xfd9b 0xfdaa 0xfda0 0xfd95 0xfc7f 0xfb8b 0xfab1 0xfa8b 0xfb11 0xfb6e 0xfbf3 
0xfdfc 0xfde7 0xfdd7 0xfdbd 0xfd85 0xfd49 0xfd58 0xfd62 0xfd51 0xfd21 0xfbda 0xfa14 0xfa3f 0xfabd 0xfb32 0xfbb9 
0xfe10 0xfde1 0xfdcd 0xfdac 0xfd83 0xfd2e 0xfd1a 0xfd22 0xfd02 0xfc81 0xfa4c 0xf9d1 0xfa29 0xfaa6 0xfb26 0xfbb9 
0xfdd0 0xfdb0 0xfd9c 0xfd92 0xfd57 0xfd24 0xfcf9 0xfc88 0xfc11 0xfa6b 0xf987 0xf9b6 0xfa02 0xfa8a 0xfb17 0xfbab 
0xfdde 0xfdab 0xfda4 0xfd79 0xfd34 0xfcdb 0xfc60 0xfc3e 0xfb02 0xf963 0xf9a8 0xf9d7 0xfa22 0xfab4 0xfb5c 0xfbcd 
0xfda1 0xfd7e 0xfd5c 0xfd05 0xfc49 0xfbcc 0xfbf8 0xfb09 0xf95b 0xf969 0xf98e 0xf9eb 0xfa49 0xfabd 0xfb58 0xfbe0 
0xfda7 0xfd5e 0xfcf2 0xfc8d 0xfc54 0xfbfb 0xfae0 0xf9c5 0xf988 0xf9ac 0xf9f7 0xfa44 0xfaa0 0xfb19 0xfbb6 0xfc1b 
0xfd13 0xfccd 0xfcb3 0xfc89 0xfbc8 0xfa98 0xfa31 0xf9ee 0xf9d5 0xf9d0 0xfa30 0xfa69 0xfade 0xfb3d 0xfbbf 0xfc5a 
0xfca8 0xfc4d 0xfc03 0xfb58 0xfadf 0xfa80 0xfa6a 0xfa20 0xfa3e 0xfa30 0xfa99 0xfad6 0xfb41 0xfb9c 0xfc30 0xfd20 
0x52a6 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdcf 0xf5a2 0x1e7a 0xd767 0xfffb 0xfff8 0x0005 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05ca 0x1729 0x1729 0x1729 0x1729 0x1728 0x1728 0x1728 0xfdcc 0xccd1 0xcecf 0xd7ec 0xfff9 0xfff7 0x0005 0x0008 
