1728235859
0xfcbd 0xfc4f 0xfc00 0xfbaf 0xfaea 0xfa55 0xfacc 0xfb22 0xfb19 0xfafb 0xfabf 0xf954 0xf97f 0xf9e7 0xfaa8 0xfc0f 
0xfc9b 0xfc43 0xfbf6 0xfb73 0xfa6b 0xfa0e 0xface 0xfae3 0xfab8 0xfa8a 0xf957 0xf89c 0xf8f5 0xf99e 0xfa59 0xfb03 
0xfc37 0xfbde 0xfb8b 0xfafa 0xf9ef 0xf9a2 0xfa5c 0xfa7b 0xfa45 0xf98f 0xf7bd 0xf7f2 0xf865 0xf91b 0xf9f4 0xfaae 
0xfc40 0xfbc5 0xfb60 0xfac1 0xf9d3 0xf9ba 0xfa5b 0xfa46 0xf99a 0xf74c 0xf716 0xf7b1 0xf82d 0xf8f5 0xf9ce 0xfa81 
0xfc07 0xfb8b 0xfb19 0xfa8d 0xf9cb 0xf9ad 0xfa10 0xf9cf 0xf73f 0xf63f 0xf6b3 0xf73b 0xf7ee 0xf87e 0xf962 0xfa54 
0xfbfe 0xfb7d 0xfb1b 0xfa8e 0xf9a2 0xf9cf 0xf9df 0xf7c8 0xf5e4 0xf63c 0xf6d2 0xf73b 0xf7d4 0xf8d2 0xf978 0xfa49 
0xfbc4 0xfb6b 0xfb29 0xfaa6 0xfa14 0xf991 0xf7bf 0xf5e6 0xf5ed 0xf633 0xf6d0 0xf73c 0xf7dd 0xf89d 0xf98b 0xfa75 
0xfbf9 0xfb90 0xfb43 0xfaaf 0xf9e7 0xf7e8 0xf65d 0xf62b 0xf628 0xf66b 0xf6d6 0xf762 0xf825 0xf8d4 0xf9c0 0xfa94 
0xfbd1 0xfb57 0xfb05 0xfa27 0xf805 0xf6de 0xf6a3 0xf66c 0xf686 0xf6e3 0xf788 0xf7d0 0xf864 0xf908 0xf9e3 0xfabf 
0xfbc5 0xfb33 0xfa0e 0xf8d0 0xf7db 0xf778 0xf738 0xf713 0xf73e 0xf790 0xf7ee 0xf85c 0xf8ea 0xf996 0xfa61 0xfb37 
0xfaf7 0xfa2a 0xf981 0xf8e3 0xf852 0xf7dc 0xf7b2 0xf78c 0xf7d8 0xf7f7 0xf88c 0xf8da 0xf962 0xf9f0 0xfac9 0xfbee 
0xfbbd 0xfa2c 0xf9d0 0xf935 0xf8cb 0xf870 0xf851 0xf854 0xf875 0xf890 0xf920 0xf979 0xf9e4 0xfa76 0xfb81 0xfd6c 
0x4ab7 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdcb 0xf53e 0x1c61 0xd928 0xffef 0xfff0 0x0000 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0652 0x1949 0x1949 0x1949 0x1949 0x1948 0x1948 0x1948 0xfdc7 0xce49 0xd0d5 0xd8e6 0xfff3 0xffef 0x0000 0x0001 
