1728235859
0xfabd 0xfa16 0xf9b2 0xf92a 0xf88d 0xf82f 0xf80a 0xf7d7 0xf7cf 0xf7ef 0xf857 0xf8dd 0xf92e 0xf994 0xfa61 0xfb72 
0xfa7e 0xf9e4 0xf952 0xf8b9 0xf81e 0xf79d 0xf762 0xf75c 0xf72d 0xf765 0xf7c0 0xf83a 0xf8d0 0xf968 0xfa18 0xfacb 
0xfa0b 0xf966 0xf8b8 0xf808 0xf77d 0xf6e2 0xf6cf 0xf6a5 0xf687 0xf6a3 0xf72b 0xf7c5 0xf82e 0xf8d6 0xf9bc 0xfa68 
0xf9ed 0xf920 0xf86a 0xf7ce 0xf6f2 0xf698 0xf654 0xf62a 0xf636 0xf659 0xf70a 0xf777 0xf811 0xf8b7 0xf9a0 0xfa7e 
0xf9b7 0xf8da 0xf81a 0xf777 0xf6ae 0xf61a 0xf5d1 0xf5ba 0xf5cc 0xf5ee 0xf685 0xf6f5 0xf79f 0xf870 0xf96c 0xfa18 
0xf9ad 0xf8db 0xf81f 0xf766 0xf678 0xf5f7 0xf5cb 0xf581 0xf5a5 0xf5ec 0xf65e 0xf6f7 0xf7c9 0xf895 0xf95e 0xfa1c 
0xf981 0xf8ac 0xf800 0xf72f 0xf68b 0xf5d9 0xf591 0xf5ba 0xf575 0xf5cf 0xf683 0xf6fc 0xf7c0 0xf880 0xf95d 0xfa35 
0xf9ab 0xf8e8 0xf855 0xf7af 0xf6bf 0xf652 0xf619 0xf5d4 0xf5d3 0xf623 0xf6c2 0xf751 0xf7fc 0xf8bc 0xf9a6 0xfa6d 
0xf9b2 0xf907 0xf854 0xf7d3 0xf716 0xf713 0xf64c 0xf631 0xf62a 0xf670 0xf6f4 0xf7af 0xf820 0xf8ef 0xfc64 0xff32 
0xfa0a 0xf978 0xf8d3 0xf83b 0xf7d1 0xf748 0xf6f9 0xf6e7 0xf6d6 0xf712 0xf7aa 0xf848 0xf8bd 0xf950 0xfa2b 0xfc00 
0xfa6d 0xf99d 0xf927 0xf8b4 0xf829 0xf7cc 0xf799 0xf786 0xf75b 0xf7aa 0xf83f 0xf8b8 0xf930 0xf9d8 0xfa8c 0xfc28 
0xfb7d 0xf9f7 0xf99a 0xf907 0xf8c8 0xf850 0xf84d 0xf814 0xf812 0xf85a 0xf8fd 0xf933 0xf9c8 0xfa4b 0xfb76 0xfd2e 
0x4da5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd74 0xf54b 0x1c71 0xd781 0xffe9 0xffeb 0xfffe 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0697 0x1a5c 0x1a5c 0x1a5c 0x1a5c 0x1a5b 0x1a5b 0x1a5b 0xfd71 0xcbf3 0xce52 0xd714 0xffeb 0xffea 0x0001 0x0001 
