1728235889
0xfac8 0xfa1d 0xf9b7 0xf92f 0xf891 0xf835 0xf80b 0xf7d6 0xf7d3 0xf7f1 0xf858 0xf8e0 0xf931 0xf99b 0xfa6a 0xfb76 
0xfa87 0xf9ed 0xf959 0xf8bc 0xf81f 0xf7a0 0xf764 0xf75e 0xf72f 0xf765 0xf7c2 0xf83c 0xf8d3 0xf96d 0xfa1c 0xfad3 
0xfa14 0xf96b 0xf8bb 0xf80c 0xf77f 0xf6e4 0xf6cf 0xf6a5 0xf68a 0xf6a3 0xf72b 0xf7c6 0xf831 0xf8da 0xf9be 0xfa6d 
0xf9f3 0xf925 0xf870 0xf7ce 0xf6f4 0xf69a 0xf652 0xf62b 0xf636 0xf657 0xf70b 0xf77a 0xf818 0xf8be 0xf9a3 0xfa85 
0xf9bb 0xf8df 0xf81c 0xf777 0xf6ae 0xf619 0xf5d1 0xf5b8 0xf5cb 0xf5f2 0xf684 0xf6f9 0xf79b 0xf873 0xf96d 0xfa1c 
0xf9b6 0xf8e4 0xf822 0xf767 0xf67a 0xf5f6 0xf5c9 0xf57e 0xf5a4 0xf5ec 0xf65c 0xf6f9 0xf7c8 0xf898 0xf95f 0xfa21 
0xf989 0xf8b3 0xf800 0xf72e 0xf68d 0xf5dd 0xf590 0xf5b7 0xf574 0xf5cf 0xf680 0xf6fc 0xf7c0 0xf882 0xf962 0xfa3a 
0xf9b3 0xf8ef 0xf856 0xf7af 0xf6c0 0xf652 0xf616 0xf5d1 0xf5d1 0xf623 0xf6c2 0xf750 0xf7fe 0xf8c1 0xf9a4 0xfa68 
0xf9b9 0xf90c 0xf856 0xf7d6 0xf719 0xf714 0xf64e 0xf633 0xf629 0xf674 0xf6f6 0xf7af 0xf82d 0xf911 0xfa41 0xfb26 
0xfa10 0xf97c 0xf8d7 0xf83d 0xf7d4 0xf74e 0xf6fa 0xf6e4 0xf6d9 0xf714 0xf7ac 0xf84a 0xf8db 0x025c 0xfaee 0xfb5e 
0xfa61 0xf9a4 0xf928 0xf8b7 0xf82f 0xf7d0 0xf79b 0xf789 0xf760 0xf7ab 0xf843 0xf8bb 0xf93c 0xfb0c 0xfafd 0xfc45 
0xfb6d 0xf9fc 0xf99e 0xf90c 0xf8cf 0xf855 0xf84f 0xf813 0xf818 0xf85f 0xf8ff 0xf93a 0xf9d3 0xfab1 0xfbc6 0xfd64 
0x4d72 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8a 0xf54a 0x1c5c 0xd780 0xffec 0xffeb 0xfffb 0xfff9 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x069b 0x1a6f 0x1a6f 0x1a6f 0x1a6f 0x1a6f 0x1a6f 0x1a6f 0xfd8a 0xcbf6 0xce53 0xd715 0xffeb 0xffea 0x0000 0x0000 
