1728235949
0xfcda 0xfbd2 0xfba0 0xfb3a 0xfae1 0xfaa9 0xfa8f 0xfa6a 0xfa7d 0xfa80 0xfabc 0xfaec 0xfb38 0xfb7e 0xfbf8 0xfcdd 
0xfc2a 0xfba4 0xfb4c 0xfaef 0xfa94 0xfa3b 0xfa1b 0xf9fe 0xf9f1 0xfa24 0xfa7c 0xfaa4 0xfb04 0xfb42 0xfbb9 0xfc6b 
0xfbcc 0xfb4d 0xfaf8 0xfa90 0xfa32 0xf9de 0xf9a2 0xf9a1 0xf987 0xf9b0 0xf9f5 0xfa4a 0xfa93 0xfafa 0xfb8a 0xfc01 
0xfbb8 0xfb30 0xfacd 0xfa5a 0xf9e2 0xf989 0xf959 0xf942 0xf93d 0xf967 0xf9c4 0xfa0a 0xfa5a 0xfabe 0xfb59 0xfbcd 
0xfb80 0xfae3 0xfa8a 0xfa1e 0xf99e 0xf941 0xf919 0xf913 0xf8f8 0xf93b 0xf983 0xf9cc 0xfa0f 0xfa8e 0xfb26 0xfbaa 
0xfb6c 0xfaf9 0xfa86 0xfa0a 0xf98c 0xf932 0xf924 0xf8ee 0xf8e7 0xf91f 0xf96f 0xf9a3 0xfa11 0xfa86 0xfb1f 0xfbc0 
0xfb60 0xfacb 0xfa66 0xf9f2 0xf974 0xf90d 0xf8fb 0xf8fc 0xf8c7 0xf8f6 0xf93f 0xf9a3 0xfa0e 0xfa7a 0xfb2b 0xfb9e 
0xfb72 0xfaee 0xfa90 0xfa01 0xf995 0xf94a 0xf950 0xf919 0xf8ff 0xf939 0xf97d 0xf9cc 0xfa25 0xfaa3 0xfb31 0xfbc7 
0xfb6d 0xfaec 0xfa98 0xfa31 0xf9c5 0xf963 0xf930 0xf936 0xf948 0xf967 0xf997 0xfa0d 0xfa4c 0xfaaf 0xfb5f 0xfbcc 
0xfb8d 0xfb25 0xface 0xfa68 0xfa04 0xf9c1 0xf9bf 0xf97f 0xf9cd 0xf9e3 0xf9f3 0xfa56 0xfa97 0xfb09 0xfb8e 0xfc04 
0xfb99 0xfb34 0xfaf6 0xfab4 0xfa5d 0xfa04 0xfa0b 0xf9da 0xfa2e 0xfa00 0xfa2b 0xfa72 0xfae0 0xfb32 0xfbb2 0xfc22 
0xfc25 0xfb4e 0xfb1c 0xfab3 0xfa76 0xfa47 0xfa4e 0xfa4b 0xfa5e 0xfa5e 0xfaa4 0xfad7 0xfb2f 0xfb83 0xfbee 0xfc4d 
0x5692 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd3b 0xf543 0x2178 0xd7f9 0xfff8 0xfff9 0x000a 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0599 0x1666 0x1666 0x1666 0x1666 0x1665 0x1665 0x1665 0xfd3b 0xcc52 0xcf2d 0xd722 0xfff9 0xfff5 0x000c 0x000c 
