1728235979
0xfcc8 0xfc7a 0xfc44 0xfc2b 0xfbde 0xfbb1 0xfba4 0xfb94 0xfaf9 0xfb01 0xfabe 0xf99b 0xf9bd 0xfa12 0xfac2 0xfc18 
0xfcc3 0xfc80 0xfc46 0xfc06 0xfbb6 0xfb83 0xfb7e 0xfb5d 0xfb23 0xfaca 0xfb33 0xf9a2 0xf95f 0xf9d9 0xfa7a 0xfb11 
0xfc78 0xfc34 0xfc09 0xfbda 0xfb77 0xfb33 0xfb33 0xfb22 0xfaf4 0xfaf2 0xfb05 0xfa1c 0xf8f7 0xf966 0xfa1c 0xfac1 
0xfc93 0xfc38 0xfbfc 0xfbbb 0xfb53 0xfb1b 0xfb27 0xfb10 0xfaf8 0xfaf2 0xfaff 0xfabe 0xf8eb 0xf94b 0xf9fc 0xfa9a 
0xfc66 0xfc02 0xfbcb 0xfb88 0xfb1a 0xfaf5 0xfaea 0xfae0 0xfac5 0xfaca 0xfad7 0xfacd 0xf8e4 0xf8df 0xf996 0xfa6e 
0xfc60 0xfbfd 0xfbbc 0xfb6f 0xfb12 0xfaea 0xfaf0 0xfadb 0xfab6 0xfad4 0xfaf7 0xfaed 0xf8f5 0xf932 0xf9ae 0xfa63 
0xfc3d 0xfbec 0xfbad 0xfb5b 0xfaf4 0xfaa8 0xfa97 0xfa99 0xfab2 0xfab8 0xfae3 0xfae9 0xf8fe 0xf908 0xf9bf 0xfa91 
0xfc1f 0xfbe0 0xfbac 0xfb5f 0xfb14 0xfad4 0xfabb 0xfab7 0xfa9f 0xfab1 0xfad1 0xfae0 0xf920 0xf93a 0xf9f5 0xfab1 
0xfbdf 0xfba7 0xfb72 0xfb35 0xfae6 0xfac3 0xfab4 0xfa9a 0xfaa6 0xfad3 0xfb26 0xfac6 0xf926 0xf961 0xfa16 0xfad9 
0xfbc6 0xfb96 0xfb67 0xfb2b 0xfab3 0xfab0 0xfacf 0xfad7 0xfaf8 0xfb2a 0xfb4e 0xfa86 0xf983 0xf9e8 0xfa8c 0xfb4b 
0xfbeb 0xfbac 0xfb78 0xfb2d 0xfaca 0xfab4 0xfaf0 0xfb12 0xfb35 0xfb44 0xfb75 0xfa0f 0xf9d7 0xfa37 0xfaec 0xfbfb 
0xfc8a 0xfbc6 0xfbae 0xfb65 0xfb35 0xfb34 0xfb56 0xfb63 0xfb7c 0xfb73 0xfb34 0xfa20 0xfa3f 0xfaac 0xfb9e 0xfd6c 
0x4b37 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda1 0xf543 0x1c94 0xd92c 0xfff4 0xfff4 0xffff 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0645 0x1916 0x1916 0x1916 0x1916 0x1915 0x1915 0x1915 0xfd9d 0xce47 0xd0d8 0xd8e7 0xfff4 0xfff1 0x0003 0x0003 
